"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;15;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Gateway";NA;19;0
"Building";"Pylon";NA;23;0
"Unit";"Adept";"Gateway";24;2
"Building";"Pylon";NA;24;0
"Unit";"Adept";"Gateway";24;2
"Building";"Stargate";NA;24;0
"Unit";"Oracle";"Stargate";28;3
"Building";"ShieldBattery";NA;28;0
"Unit";"Stalker";"Gateway";28;2
"Unit";"Stalker";"Gateway";28;2
"Unit";"Stalker";"Gateway";35;2
"Unit";"Sentry";"Gateway";35;2
"Building";"Nexus";NA;28;0
"Building";"RoboticsFacility";NA;31;0
"Building";"Gateway";NA;31;0
"Unit";"Stalker";"Gateway";40;2
"Unit";"Stalker";"Gateway";40;2
"Building";"Pylon";NA;40;0
"Unit";"Immortal";"Robotics Facility";40;4
"Building";"Pylon";NA;44;0
"Unit";"Sentry";"Gateway";48;2
"Unit";"Sentry";"Gateway";48;2
"Unit";"Sentry";"Gateway";53;2
"Building";"Pylon";NA;53;0
"Unit";"Stalker";"Gateway";55;2
"Unit";"Stalker";"Gateway";55;2
"Unit";"Stalker";"Gateway";55;2
"Building";"Pylon";NA;61;0
"Unit";"Stalker";"Gateway";61;2
"Unit";"Stalker";"Gateway";61;2
"Unit";"Stalker";"Gateway";61;2
"Unit";"Stalker";"Gateway";67;2
"Unit";"Stalker";"Gateway";67;2
