"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;15;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;19;0
"Building";"CyberneticsCore";NA;18;0
"Building";"Gateway";NA;18;0
"Unit";"Sentry";"Gateway";22;2
"Unit";"Stalker";"Gateway";22;2
"Building";"Pylon";NA;23;0
"Unit";"Stalker";"Gateway";27;2
"Unit";"Stalker";"Gateway";27;2
"Building";"ShieldBattery";NA;27;0
"Building";"Pylon";NA;32;0
"Unit";"Stalker";"Gateway";32;2
"Unit";"Sentry";"Gateway";32;2
"Unit";"Phoenix";"Stargate";32;2
"Building";"RoboticsFacility";NA;27;0
"Unit";"Observer";"Robotics Facility";37;1
"Building";"ShieldBattery";NA;39;0
"Building";"ShieldBattery";NA;40;0
"Unit";"Immortal";"Robotics Facility";40;4
"Building";"Nexus";NA;39;0
"Building";"Pylon";NA;45;0
"Building";"RoboticsBay";NA;40;0
"Building";"Pylon";NA;45;0
"Unit";"Zealot";"Gateway";45;2
"Unit";"Stalker";"Gateway";47;2
"Building";"ShieldBattery";NA;45;0
"Unit";"Disruptor";"Robotics Facility";45;3
"Unit";"Sentry";"Gateway";52;2
"Unit";"Disruptor";"Robotics Facility";49;3
"Unit";"Adept";"Gateway";57;2
"Unit";"Adept";"Gateway";57;2
"Unit";"Disruptor";"Robotics Facility";54;3
"Building";"Pylon";NA;57;0
"Unit";"Stalker";"Gateway";66;2
"Unit";"Disruptor";"Robotics Facility";64;3
"Unit";"Stalker";"Gateway";68;2
"Building";"Nexus";NA;57;0
"Building";"TwilightCouncil";NA;66;0
"Unit";"Stalker";"Gateway";74;2
"Unit";"Stalker";"Gateway";74;2
"Unit";"Adept";"Gateway";78;2
"Unit";"Adept";"Gateway";78;2
"Unit";"Immortal";"Robotics Facility";78;4
"Building";"Pylon";NA;86;0
"Building";"Pylon";NA;86;0
"Unit";"Adept";"Gateway";86;2
"Unit";"Adept";"Gateway";86;2
"Building";"Nexus";NA;86;0
"Building";"DarkShrine";NA;86;0
"Unit";"Stalker";"Gateway";90;2
"Unit";"Stalker";"Gateway";90;2
