"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;19;0
"Building";"Gateway";NA;19;0
"Unit";"Stalker";"Gateway";23;2
"Unit";"Stalker";"Gateway";23;2
"Building";"Pylon";NA;24;0
"Building";"Pylon";NA;24;0
"Unit";"Stalker";"Gateway";24;2
"Unit";"Stalker";"Gateway";28;2
"Building";"TwilightCouncil";NA;28;0
"Building";"ShieldBattery";NA;28;0
"Building";"ShieldBattery";NA;33;0
"Building";"Pylon";NA;33;0
"Unit";"Stalker";"Gateway";33;2
"Unit";"Stalker";"Gateway";33;2
"Building";"Pylon";NA;33;0
"Building";"DarkShrine";NA;33;0
"Building";"Gateway";NA;37;0
"Building";"DarkTemplar";NA;37;0
"Building";"Gateway";NA;37;0
"Building";"DarkTemplar";NA;37;0
"Building";"Gateway";NA;37;0
"Building";"RoboticsFacility";NA;37;0
"Building";"DarkTemplar";NA;37;0
"Upgrade";"Charge";"TwilightCouncil";37;0
"Building";"Gateway";NA;37;0
"Building";"Pylon";NA;38;0
"Unit";"Zealot";"Gateway";38;2
"Unit";"Sentry";"Gateway";38;2
"Unit";"Archon";"High Templar";38;0
"Unit";"Immortal";"Robotics Facility";37;4
"Building";"Pylon";NA;38;0
"Unit";"Sentry";"Gateway";46;2
"Unit";"Immortal";"Robotics Facility";42;4
"Building";"DarkTemplar";NA;49;0
"Building";"ShieldBattery";NA;46;0
"Unit";"Zealot";"Gateway";54;2
"Building";"Nexus";NA;38;0
"Unit";"Zealot";"Gateway";56;2
"Unit";"Zealot";"Gateway";58;2
"Building";"ShieldBattery";NA;56;0
"Building";"ShieldBattery";NA;56;0
"Unit";"Zealot";"Gateway";62;2
"Unit";"Sentry";"Gateway";62;2
"Unit";"Zealot";"Gateway";66;2
"Unit";"Immortal";"Robotics Facility";60;4
"Building";"Pylon";NA;72;0
"Building";"DarkTemplar";NA;72;0
"Building";"Pylon";NA;79;0
"Building";"Pylon";NA;79;0
"Unit";"Observer";"Robotics Facility";79;1
"Building";"Pylon";NA;79;0
"Building";"Pylon";NA;79;0
"Building";"DarkTemplar";NA;83;0
"Building";"DarkTemplar";NA;83;0
