"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;19;0
"Building";"CyberneticsCore";NA;19;0
"Building";"Gateway";NA;21;0
"Unit";"Adept";"Gateway";23;2
"Building";"Pylon";NA;24;0
"Building";"RoboticsFacility";NA;23;0
"Unit";"Adept";"Gateway";24;2
"Building";"Pylon";NA;26;0
"Unit";"Immortal";"Robotics Facility";26;4
"Building";"Pylon";NA;35;0
"Unit";"Immortal";"Robotics Facility";30;4
"Building";"ShieldBattery";NA;35;0
"Building";"Gateway";NA;31;0
"Unit";"Immortal";"Robotics Facility";35;4
"Unit";"Stalker";"Gateway";39;2
"Unit";"Stalker";"Gateway";39;2
"Unit";"Observer";"Robotics Facility";39;1
"Unit";"Stalker";"Gateway";47;2
"Unit";"Stalker";"Gateway";47;2
"Unit";"Stalker";"Gateway";47;2
"Unit";"Stalker";"Gateway";54;2
"Building";"Pylon";NA;54;0
"Unit";"Immortal";"Robotics Facility";48;4
"Unit";"Sentry";"Gateway";56;2
"Unit";"Sentry";"Gateway";56;2
"Unit";"Stalker";"Gateway";64;2
"Unit";"Stalker";"Gateway";64;2
"Unit";"Stalker";"Gateway";64;2
"Building";"Pylon";NA;70;0
"Unit";"Stalker";"Gateway";71;2
"Unit";"Stalker";"Gateway";71;2
"Unit";"Zealot";"Gateway";75;2
"Unit";"Zealot";"Gateway";75;2
"Unit";"Zealot";"Gateway";75;2
