"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Pylon";NA;14;0
"Building";"Gateway";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Assimilator";NA;18;0
"Building";"Gateway";NA;19;0
"Building";"CyberneticsCore";NA;21;0
"Building";"Pylon";NA;22;0
"Unit";"Adept";"Gateway";24;2
"Unit";"Adept";"Gateway";26;2
"Building";"TwilightCouncil";NA;28;0
"Building";"Pylon";NA;28;0
"Unit";"Stalker";"Gateway";29;2
"Unit";"Stalker";"Gateway";31;2
"Building";"DarkShrine";NA;34;0
"Building";"Nexus";NA;35;0
"Building";"Pylon";NA;36;0
"Building";"ShieldBattery";NA;37;0
"Building";"Gateway";NA;39;0
"Building";"DarkTemplar";NA;39;0
"Building";"DarkTemplar";NA;39;0
"Building";"ShieldBattery";NA;40;0
"Building";"DarkTemplar";NA;44;0
"Building";"DarkTemplar";NA;47;0
"Building";"Assimilator";NA;49;0
"Building";"Assimilator";NA;49;0
"Unit";"Stalker";"Gateway";49;2
"Building";"Gateway";NA;53;0
"Unit";"Stalker";"Gateway";53;2
"Building";"Gateway";NA;57;0
"Building";"Pylon";NA;58;0
"Building";"Forge";NA;58;0
"Building";"Pylon";NA;58;0
"Building";"RoboticsFacility";NA;58;0
"Building";"Pylon";NA;58;0
"Unit";"Stalker";"Gateway";59;2
"Unit";"Stalker";"Gateway";61;2
"Building";"Pylon";NA;65;0
"Building";"Nexus";NA;65;0
"Unit";"Stalker";"Gateway";65;2
"Unit";"Stalker";"Gateway";67;2
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";69;0
"Building";"Gateway";NA;71;0
"Unit";"Observer";"Robotics Facility";71;1
"Unit";"Stalker";"Gateway";73;2
"Unit";"Stalker";"Gateway";75;2
"Unit";"Immortal";"Robotics Facility";79;4
"Unit";"Stalker";"Gateway";83;2
"Unit";"Adept";"Gateway";88;2
"Unit";"Adept";"Gateway";90;2
"Building";"Pylon";NA;94;0
"Unit";"Immortal";"Robotics Facility";95;4
"Building";"Assimilator";NA;102;0
"Building";"Assimilator";NA;102;0
"Building";"TemplarArchive";NA;102;0
"Upgrade";"Charge";"TwilightCouncil";102;0
"Unit";"Zealot";"Gateway";102;2
"Unit";"Zealot";"Gateway";104;2
"Unit";"Zealot";"Gateway";106;2
"Unit";"Zealot";"Gateway";108;2
"Building";"Pylon";NA;110;0
"Building";"Gateway";NA;110;0
"Unit";"Immortal";"Robotics Facility";110;4
"Building";"Gateway";NA;114;0
"Building";"Gateway";NA;114;0
"Building";"HighTemplar";NA;116;0
"Building";"HighTemplar";NA;116;0
"Building";"HighTemplar";NA;116;0
"Building";"HighTemplar";NA;116;0
"Unit";"Archon";"High Templar";116;0
"Unit";"Archon";"High Templar";116;0
"Building";"ShieldBattery";NA;116;0
"Unit";"Immortal";"Robotics Facility";116;4
"Building";"ShieldBattery";NA;120;0
"Building";"Pylon";NA;120;0
"Building";"DarkTemplar";NA;120;0
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";120;0
"Unit";"Zealot";"Gateway";120;2
"Building";"Pylon";NA;122;0
"Building";"HighTemplar";NA;122;0
"Building";"HighTemplar";NA;122;0
"Unit";"Zealot";"Gateway";122;2
"Unit";"Archon";"High Templar";124;0
"Unit";"Zealot";"Gateway";124;2
"Unit";"Zealot";"Gateway";126;2
"Building";"DarkTemplar";NA;128;0
"Building";"DarkTemplar";NA;128;0
"Unit";"Immortal";"Robotics Facility";128;4
"Unit";"Zealot";"Gateway";132;2
"Unit";"Zealot";"Gateway";134;2
"Unit";"Zealot";"Gateway";136;2
"Unit";"Archon";"High Templar";138;0
"Unit";"Zealot";"Gateway";138;2
"Unit";"Zealot";"Gateway";140;2
"Unit";"Zealot";"Gateway";142;2
"Unit";"Zealot";"Gateway";144;2
"Unit";"Zealot";"Gateway";146;2
"Unit";"Zealot";"Gateway";148;2
"Unit";"Zealot";"Gateway";150;2
"Building";"DarkTemplar";NA;152;0
"Building";"DarkTemplar";NA;152;0
"Building";"DarkTemplar";NA;153;0
"Building";"DarkTemplar";NA;153;0
"Building";"DarkTemplar";NA;153;0
"Unit";"Archon";"High Templar";156;0
"Unit";"Archon";"High Templar";156;0
"Building";"HighTemplar";NA;156;0
"Building";"HighTemplar";NA;156;0
"Unit";"Zealot";"Gateway";156;2
"Unit";"Zealot";"Gateway";158;2
"Unit";"Zealot";"Gateway";160;2
"Unit";"Archon";"High Templar";162;0
"Unit";"Zealot";"Gateway";162;2
"Unit";"Zealot";"Gateway";164;2
"Unit";"Zealot";"Gateway";166;2
"Unit";"Zealot";"Gateway";168;2
"Building";"Pylon";NA;170;0
"Building";"Pylon";NA;170;0
"Building";"PhotonCannon";NA;170;0
"Building";"Pylon";NA;170;0
"Building";"Pylon";NA;170;0
"Building";"Pylon";NA;170;0
"Building";"Pylon";NA;170;0
"Building";"HighTemplar";NA;170;0
"Building";"HighTemplar";NA;170;0
"Building";"HighTemplar";NA;170;0
"Building";"HighTemplar";NA;170;0
"Building";"HighTemplar";NA;170;0
"Building";"HighTemplar";NA;170;0
"Building";"HighTemplar";NA;170;0
"Unit";"Zealot";"Gateway";170;2
"Unit";"Archon";"High Templar";172;0
"Unit";"Archon";"High Templar";172;0
"Unit";"Archon";"High Templar";172;0
"Building";"DarkTemplar";NA;174;0
"Unit";"Archon";"High Templar";174;0
"Unit";"Zealot";"Gateway";174;2
"Unit";"Zealot";"Gateway";176;2
"Unit";"Zealot";"Gateway";178;2
"Unit";"Zealot";"Gateway";180;2
"Unit";"Zealot";"Gateway";182;2
"Unit";"Zealot";"Gateway";184;2
"Unit";"Zealot";"Gateway";186;2
"Unit";"Immortal";"Robotics Facility";188;4
"Unit";"Zealot";"Gateway";192;2
"Unit";"Zealot";"Gateway";194;2
"Unit";"Zealot";"Gateway";196;2
"Unit";"Zealot";"Gateway";198;2
"Unit";"Zealot";"Gateway";200;2
"Unit";"Zealot";"Gateway";202;2
"Unit";"Zealot";"Gateway";204;2
"Unit";"Zealot";"Gateway";206;2
"Unit";"Zealot";"Gateway";208;2
"Unit";"Zealot";"Gateway";210;2
