"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Pylon";NA;14;0
"Building";"Gateway";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Assimilator";NA;18;0
"Building";"Gateway";NA;20;0
"Building";"CyberneticsCore";NA;21;0
"Building";"Pylon";NA;22;0
"Unit";"Stalker";"Gateway";24;2
"Unit";"Stalker";"Gateway";26;2
"Building";"Pylon";NA;28;0
"Building";"Stargate";NA;28;0
"Unit";"Stalker";"Gateway";28;2
"Unit";"Stalker";"Gateway";30;2
"Unit";"Oracle";"Stargate";32;3
"Building";"Nexus";NA;35;0
"Building";"Pylon";NA;35;0
"Unit";"Oracle";"Stargate";35;3
"Building";"ShieldBattery";NA;38;0
"Building";"RoboticsFacility";NA;40;0
"Unit";"Stalker";"Gateway";40;2
"Unit";"Stalker";"Gateway";42;2
"Unit";"Immortal";"Robotics Facility";46;4
"Building";"ShieldBattery";NA;50;0
"Unit";"Sentry";"Gateway";52;2
"Unit";"Zealot";"Gateway";54;2
"Building";"Pylon";NA;58;0
"Unit";"Observer";"Robotics Facility";58;1
"Building";"Forge";NA;61;0
"Unit";"Immortal";"Robotics Facility";62;4
"Building";"OracleStasisTrap";NA;67;0
"Unit";"Phoenix";"Stargate";68;2
"Building";"Pylon";NA;71;0
"Building";"OracleStasisTrap";NA;71;0
"Building";"Assimilator";NA;71;0
"Building";"Assimilator";NA;71;0
"Unit";"Sentry";"Gateway";73;2
"Building";"Pylon";NA;77;0
"Building";"Nexus";NA;79;0
"Unit";"Oracle";"Stargate";81;3
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";84;0
"Unit";"Phoenix";"Stargate";86;2
"Building";"Pylon";NA;88;0
"Unit";"Immortal";"Robotics Facility";88;4
"Building";"TwilightCouncil";NA;92;0
"Building";"Gateway";NA;94;0
"Building";"Gateway";NA;96;0
"Building";"Gateway";NA;96;0
"Building";"Gateway";NA;96;0
"Unit";"Observer";"Robotics Facility";96;1
"Building";"PhotonCannon";NA;99;0
"Building";"Gateway";NA;99;0
"Unit";"Phoenix";"Stargate";99;2
"Building";"Gateway";NA;101;0
"Unit";"Immortal";"Robotics Facility";101;4
"Unit";"Zealot";"Gateway";105;2
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";107;0
"Building";"TemplarArchive";NA;109;0
"Building";"Pylon";NA;110;0
"Building";"Assimilator";NA;112;0
"Upgrade";"Charge";"TwilightCouncil";113;0
"Building";"Assimilator";NA;113;0
"Building";"Pylon";NA;116;0
"Building";"Pylon";NA;116;0
"Building";"Gateway";NA;116;0
"Building";"Gateway";NA;116;0
"Building";"HighTemplar";NA;116;0
"Building";"HighTemplar";NA;116;0
"Building";"HighTemplar";NA;116;0
"Building";"HighTemplar";NA;116;0
"Building";"Pylon";NA;116;0
"Building";"Pylon";NA;116;0
"Unit";"Archon";"High Templar";116;0
"Unit";"Archon";"High Templar";116;0
"Unit";"Zealot";"Gateway";116;2
"Unit";"Zealot";"Gateway";118;2
"Unit";"Zealot";"Gateway";120;2
"Unit";"Zealot";"Gateway";122;2
"Building";"PhotonCannon";NA;124;0
"Building";"HighTemplar";NA;124;0
"Building";"HighTemplar";NA;124;0
"Building";"HighTemplar";NA;124;0
"Building";"HighTemplar";NA;124;0
"Unit";"Zealot";"Gateway";124;2
"Unit";"Zealot";"Gateway";126;2
"Unit";"Zealot";"Gateway";128;2
"Unit";"Zealot";"Gateway";130;2
"Unit";"Archon";"High Templar";132;0
"Unit";"Archon";"High Templar";132;0
"Unit";"Archon";"High Templar";132;0
"Building";"Pylon";NA;132;0
"Building";"OracleStasisTrap";NA;132;0
"Building";"Pylon";NA;132;0
"Unit";"Zealot";"Gateway";132;2
"Unit";"Zealot";"Gateway";134;2
"Unit";"Zealot";"Gateway";136;2
"Unit";"Zealot";"Gateway";138;2
"Unit";"Zealot";"Gateway";140;2
"Unit";"Zealot";"Gateway";142;2
"Unit";"Zealot";"Gateway";144;2
"Unit";"Zealot";"Gateway";146;2
"Unit";"Zealot";"Gateway";148;2
"Unit";"Zealot";"Gateway";150;2
"Unit";"Observer";"Robotics Facility";152;1
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";155;2
"Unit";"Zealot";"Gateway";157;2
"Unit";"Zealot";"Gateway";159;2
"Unit";"Zealot";"Gateway";161;2
"Unit";"Zealot";"Gateway";163;2
"Unit";"Zealot";"Gateway";165;2
"Unit";"Zealot";"Gateway";167;2
"Unit";"Zealot";"Gateway";169;2
"Unit";"Zealot";"Gateway";171;2
"Unit";"Zealot";"Gateway";173;2
"Unit";"Zealot";"Gateway";175;2
"Unit";"Zealot";"Gateway";177;2
"Unit";"Zealot";"Gateway";179;2
"Upgrade";"SprayProtoss";NA;181;0
"Upgrade";"WarpGateResearch";NA;181;0
"Upgrade";"SprayProtoss";NA;181;0
"Upgrade";"SprayProtoss";NA;181;0
"Upgrade";"SprayProtoss";NA;181;0
