"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;17;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Gateway";NA;20;0
"Unit";"Adept";"Gateway";24;2
"Unit";"Adept";"Gateway";24;2
"Building";"Pylon";NA;25;0
"Building";"Stargate";NA;25;0
"Unit";"Adept";"Gateway";30;2
"Unit";"Adept";"Gateway";30;2
"Unit";"Oracle";"Stargate";30;3
"Unit";"Phoenix";"Stargate";35;2
"Unit";"Phoenix";"Stargate";43;2
"Unit";"Phoenix";"Stargate";47;2
"Building";"Pylon";NA;48;0
"Building";"Pylon";NA;48;0
"Unit";"Phoenix";"Stargate";49;2
"Building";"ShieldBattery";NA;52;0
"Unit";"Phoenix";"Stargate";53;2
"Building";"Nexus";NA;48;0
"Building";"Gateway";NA;55;0
"Unit";"Phoenix";"Stargate";60;2
"Building";"Pylon";NA;63;0
"Unit";"Phoenix";"Stargate";63;2
"Unit";"Stalker";"Gateway";69;2
"Unit";"Stalker";"Gateway";69;2
"Unit";"Phoenix";"Stargate";68;2
"Building";"Assimilator";NA;76;0
"Building";"Assimilator";NA;76;0
"Unit";"Stalker";"Gateway";82;2
"Unit";"Stalker";"Gateway";82;2
"Unit";"Phoenix";"Stargate";81;2
"Unit";"Stalker";"Gateway";93;2
"Unit";"Stalker";"Gateway";93;2
"Building";"Pylon";NA;93;0
"Building";"Gateway";NA;87;0
"Unit";"Stalker";"Gateway";97;2
"Building";"Gateway";NA;87;0
"Building";"Gateway";NA;87;0
"Building";"Pylon";NA;97;0
"Building";"Pylon";NA;97;0
"Building";"Pylon";NA;97;0
"Unit";"Stalker";"Gateway";99;2
"Unit";"Stalker";"Gateway";99;2
"Unit";"Stalker";"Gateway";99;2
"Unit";"Stalker";"Gateway";99;2
"Unit";"Stalker";"Gateway";99;2
"Unit";"Stalker";"Gateway";105;2
"Unit";"Stalker";"Gateway";111;2
"Unit";"Stalker";"Gateway";111;2
"Unit";"Stalker";"Gateway";111;2
"Unit";"Stalker";"Gateway";111;2
"Unit";"Stalker";"Gateway";111;2
"Unit";"Stalker";"Gateway";121;2
