"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;21;0
"Building";"Gateway";NA;18;0
"Building";"CyberneticsCore";NA;19;0
"Building";"Pylon";NA;24;0
"Unit";"Stalker";"Gateway";23;2
"Unit";"Stalker";"Gateway";23;2
"Unit";"Sentry";"Gateway";28;2
"Unit";"Sentry";"Gateway";28;2
"Building";"Pylon";NA;28;0
"Building";"ShieldBattery";NA;28;0
"Building";"RoboticsFacility";NA;28;0
"Building";"Nexus";NA;28;0
"Unit";"Stalker";"Gateway";33;2
"Unit";"Observer";"Robotics Facility";33;1
"Unit";"Phoenix";"Stargate";37;2
"Building";"ShieldBattery";NA;37;0
"Unit";"Immortal";"Robotics Facility";37;4
"Building";"TwilightCouncil";NA;40;0
"Building";"Forge";NA;44;0
"Unit";"Phoenix";"Stargate";52;2
"Unit";"Zealot";"Gateway";63;2
"Unit";"Zealot";"Gateway";63;2
"Building";"TemplarArchive";NA;61;0
"Building";"Nexus";NA;56;0
"Building";"Pylon";NA;71;0
"Building";"Pylon";NA;71;0
"Building";"Pylon";NA;72;0
"Upgrade";"Charge";"TwilightCouncil";63;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";68;0
"Unit";"Zealot";"Gateway";81;2
"Unit";"Zealot";"Gateway";81;2
"Building";"Pylon";NA;86;0
"Building";"PhotonCannon";NA;81;0
"Unit";"Zealot";"Gateway";89;2
"Unit";"Zealot";"Gateway";89;2
"Building";"PhotonCannon";NA;88;0
"Building";"PhotonCannon";NA;88;0
"Building";"Gateway";NA;88;0
"Building";"Gateway";NA;88;0
"Building";"Pylon";NA;96;0
"Building";"HighTemplar";NA;101;0
"Building";"HighTemplar";NA;101;0
"Building";"Gateway";NA;89;0
"Building";"Pylon";NA;97;0
"Unit";"Archon";"High Templar";102;0
"Building";"HighTemplar";NA;104;0
"Unit";"Phoenix";"Stargate";99;2
"Building";"HighTemplar";NA;104;0
"Unit";"Archon";"High Templar";106;0
"Unit";"Zealot";"Gateway";106;2
"Unit";"Zealot";"Gateway";108;2
"Unit";"Zealot";"Gateway";108;2
"Unit";"Immortal";"Robotics Facility";100;4
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";87;0
"Building";"PhotonCannon";NA;104;0
"Building";"Gateway";NA;102;0
"Building";"PhotonCannon";NA;106;0
"Building";"Gateway";NA;103;0
"Unit";"Zealot";"Gateway";119;2
"Unit";"Zealot";"Gateway";119;2
"Unit";"Zealot";"Gateway";119;2
"Unit";"Immortal";"Robotics Facility";106;4
"Unit";"Observer";"Robotics Facility";125;1
"Building";"Pylon";NA;131;0
"Unit";"Zealot";"Gateway";134;2
"Unit";"Zealot";"Gateway";134;2
"Unit";"Zealot";"Gateway";134;2
"Unit";"Zealot";"Gateway";134;2
"Unit";"Zealot";"Gateway";134;2
"Building";"Assimilator";NA;131;0
"Building";"Assimilator";NA;131;0
"Unit";"Observer";"Robotics Facility";146;1
"Building";"Assimilator";NA;146;0
"Building";"Assimilator";NA;146;0
"Building";"Pylon";NA;149;0
"Unit";"Zealot";"Gateway";150;2
"Unit";"Zealot";"Gateway";150;2
"Unit";"Zealot";"Gateway";150;2
"Unit";"Zealot";"Gateway";150;2
"Building";"Pylon";NA;149;0
