"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Pylon";NA;14;0
"Building";"Gateway";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Assimilator";NA;18;0
"Building";"Gateway";NA;20;0
"Building";"CyberneticsCore";NA;21;0
"Building";"Pylon";NA;22;0
"Unit";"Stalker";"Gateway";24;2
"Unit";"Stalker";"Gateway";26;2
"Building";"Pylon";NA;28;0
"Unit";"Stalker";"Gateway";28;2
"Unit";"Stalker";"Gateway";30;2
"Building";"Gateway";NA;32;0
"Building";"TwilightCouncil";NA;32;0
"Unit";"Stalker";"Gateway";33;2
"Unit";"Stalker";"Gateway";35;2
"Building";"Pylon";NA;37;0
"Building";"DarkShrine";NA;37;0
"Building";"ShieldBattery";NA;37;0
"Unit";"Stalker";"Gateway";37;2
"Unit";"Stalker";"Gateway";39;2
"Unit";"Stalker";"Gateway";41;2
"Unit";"Adept";"Gateway";43;2
"Unit";"Adept";"Gateway";45;2
"Building";"DarkTemplar";NA;47;0
"Building";"Nexus";NA;47;0
"Building";"RoboticsFacility";NA;48;0
"Unit";"Sentry";"Gateway";48;2
"Unit";"Sentry";"Gateway";50;2
"Building";"ShieldBattery";NA;53;0
"Unit";"Sentry";"Gateway";54;2
"Unit";"Stalker";"Gateway";58;2
"Unit";"Zealot";"Gateway";60;2
"Unit";"Immortal";"Robotics Facility";62;4
"Unit";"Phoenix";"Stargate";69;2
"Building";"Assimilator";NA;71;0
"Building";"Pylon";NA;73;0
"Unit";"Immortal";"Robotics Facility";75;4
"Building";"Gateway";NA;79;0
"Building";"Gateway";NA;79;0
"Building";"Gateway";NA;79;0
"Building";"Gateway";NA;79;0
"Building";"Gateway";NA;79;0
"Unit";"Adept";"Gateway";79;2
"Unit";"Adept";"Gateway";81;2
"Unit";"Sentry";"Gateway";83;2
"Building";"Pylon";NA;85;0
"Building";"Pylon";NA;85;0
"Unit";"Adept";"Gateway";85;2
"Unit";"Adept";"Gateway";87;2
"Unit";"Adept";"Gateway";89;2
"Unit";"Adept";"Gateway";91;2
"Unit";"Adept";"Gateway";93;2
"Unit";"Adept";"Gateway";95;2
"Building";"Pylon";NA;97;0
"Unit";"Adept";"Gateway";97;2
"Unit";"Adept";"Gateway";99;2
"Unit";"Adept";"Gateway";101;2
"Unit";"Adept";"Gateway";103;2
"Unit";"Adept";"Gateway";105;2
"Unit";"Adept";"Gateway";107;2
"Unit";"Adept";"Gateway";109;2
"Unit";"Adept";"Gateway";111;2
"Unit";"Adept";"Gateway";113;2
"Unit";"Adept";"Gateway";115;2
"Unit";"Adept";"Gateway";117;2
"Unit";"Adept";"Gateway";119;2
"Upgrade";"WarpGateResearch";NA;121;0
"Upgrade";"SprayProtoss";NA;121;0
"Upgrade";"SprayProtoss";NA;121;0
"Upgrade";"AdeptPiercingAttack";NA;121;0
