"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;12;0
"Building";"Assimilator";NA;15;0
"Building";"Pylon";NA;16;0
"Building";"Gateway";NA;14;0
"Building";"Assimilator";NA;19;0
"Building";"CyberneticsCore";NA;18;0
"Building";"Gateway";NA;18;0
"Unit";"Stalker";"Gateway";22;2
"Unit";"Stalker";"Gateway";22;2
"Building";"Pylon";NA;22;0
"Unit";"Stalker";"Gateway";23;2
"Unit";"Stalker";"Gateway";28;2
"Building";"RoboticsFacility";NA;33;0
"Building";"Nexus";NA;29;0
"Building";"ShieldBattery";NA;36;0
"Unit";"Observer";"Robotics Facility";37;1
"Building";"Gateway";NA;35;0
"Unit";"Stalker";"Gateway";40;2
"Unit";"Stalker";"Gateway";40;2
"Building";"ShieldBattery";NA;37;0
"Building";"Pylon";NA;38;0
"Building";"Pylon";NA;40;0
"Unit";"Observer";"Robotics Facility";44;1
"Unit";"Stalker";"Gateway";47;2
