"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;17
"Building";"Assimilator";NA;17
"Building";"Assimilator";NA;18
"Building";"Gateway";NA;20
"Building";"CyberneticsCore";NA;21
"Building";"Pylon";NA;22
"Unit";"Sentry";"Gateway";24
"Unit";"Stalker";"Gateway";26
"Building";"Pylon";NA;29
"Building";"Pylon";NA;29
"Unit";"Stalker";"Gateway";30
"Unit";"Stalker";"Gateway";32
"Building";"Nexus";NA;34
"Unit";"Phoenix";"Stargate";35
"Building";"ShieldBattery";NA;38
"Building";"Pylon";NA;38
"Building";"ShieldBattery";NA;38
"Building";"RoboticsFacility";NA;39
"Building";"TwilightCouncil";NA;41
"Unit";"Sentry";"Gateway";45
"Unit";"Sentry";"Gateway";47
"Unit";"Observer";"Robotics Facility";51
"Building";"Assimilator";NA;52
"Unit";"Immortal";"Robotics Facility";54
"Unit";"Stalker";"Gateway";59
"Unit";"Stalker";"Gateway";61
"Building";"Pylon";NA;64
"Building";"Pylon";NA;64
"Unit";"Phoenix";"Stargate";64
"Building";"ShieldBattery";NA;66
"Building";"Pylon";NA;66
"Unit";"Stalker";"Gateway";66
"Unit";"Stalker";"Gateway";68
"Building";"Gateway";NA;70
"Building";"Gateway";NA;70
"Building";"Gateway";NA;72
"Building";"Gateway";NA;72
"Building";"Pylon";NA;72
"Building";"Assimilator";NA;72
"Unit";"Stalker";"Gateway";72
"Unit";"Stalker";"Gateway";74
"Building";"Pylon";NA;78
"Unit";"Stalker";"Gateway";78
"Unit";"Stalker";"Gateway";80
"Unit";"Stalker";"Gateway";82
"Unit";"Stalker";"Gateway";84
"Building";"DarkShrine";NA;86
"Unit";"Stalker";"Gateway";86
"Unit";"Stalker";"Gateway";88
"Unit";"Stalker";"Gateway";90
"Unit";"Stalker";"Gateway";92
"Unit";"Stalker";"Gateway";94
"Unit";"Stalker";"Gateway";96
"Building";"Pylon";NA;98
"Unit";"Stalker";"Gateway";98
"Unit";"Stalker";"Gateway";100
"Unit";"Stalker";"Gateway";102
"Unit";"Stalker";"Gateway";104
"Unit";"Stalker";"Gateway";106
"Unit";"Stalker";"Gateway";108
"Unit";"Stalker";"Gateway";110
"Unit";"Stalker";"Gateway";112
"Unit";"Stalker";"Gateway";114
"Unit";"Stalker";"Gateway";116
"Unit";"Stalker";"Gateway";118
"Unit";"Stalker";"Gateway";120
"Building";"DarkTemplar";NA;122
"Building";"DarkTemplar";NA;122
"Building";"DarkTemplar";NA;122
"Unit";"Zealot";"Gateway";122
"Unit";"Zealot";"Gateway";124
"Unit";"Stalker";"Gateway";126
"Unit";"Stalker";"Gateway";128
"Upgrade";"SprayProtoss";NA;130
"Upgrade";"WarpGateResearch";NA;130
"Upgrade";"SprayProtoss";NA;130
"Upgrade";"BlinkTech";NA;130
