"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Forge";NA;15;0
"Building";"Pylon";NA;16;0
"Building";"Pylon";NA;16;0
"Building";"PhotonCannon";NA;16;0
"Building";"PhotonCannon";NA;17;0
"Building";"PhotonCannon";NA;17;0
"Building";"PhotonCannon";NA;17;0
"Building";"PhotonCannon";NA;17;0
"Building";"PhotonCannon";NA;17;0
"Building";"Assimilator";NA;18;0
"Building";"Assimilator";NA;18;0
"Building";"Gateway";NA;17;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;22;0
"Building";"PhotonCannon";NA;24;0
"Unit";"Stalker";"Gateway";25;2
"Building";"Gateway";NA;24;0
"Building";"ShieldBattery";NA;25;0
"Unit";"Stalker";"Gateway";25;2
"Building";"Gateway";NA;25;0
"Unit";"Stalker";"Gateway";27;2
"Building";"Pylon";NA;29;0
"Building";"ShieldBattery";NA;29;0
"Unit";"Stalker";"Gateway";29;2
"Unit";"Stalker";"Gateway";31;2
"Building";"ShieldBattery";NA;31;0
"Unit";"Stalker";"Gateway";35;2
"Unit";"Stalker";"Gateway";35;2
"Unit";"Stalker";"Gateway";35;2
"Building";"Pylon";NA;35;0
"Building";"TwilightCouncil";NA;35;0
"Building";"Gateway";NA;35;0
"Unit";"Stalker";"Gateway";41;2
"Unit";"Stalker";"Gateway";41;2
"Unit";"Stalker";"Gateway";45;2
"Unit";"Stalker";"Gateway";47;2
"Unit";"Stalker";"Gateway";47;2
"Unit";"Stalker";"Gateway";51;2
"Unit";"Stalker";"Gateway";53;2
"Building";"DarkShrine";NA;41;0
"Building";"Pylon";NA;53;0
"Building";"DarkTemplar";NA;55;0
"Building";"DarkTemplar";NA;55;0
"Unit";"Stalker";"Gateway";55;2
