"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Pylon";NA;14;0
"Building";"Gateway";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Assimilator";NA;18;0
"Building";"Gateway";NA;20;0
"Building";"CyberneticsCore";NA;21;0
"Building";"Pylon";NA;22;0
"Unit";"Stalker";"Gateway";24;2
"Unit";"Sentry";"Gateway";26;2
"Building";"Pylon";NA;28;0
"Building";"TwilightCouncil";NA;28;0
"Unit";"Stalker";"Gateway";28;2
"Unit";"Stalker";"Gateway";30;2
"Building";"Pylon";NA;32;0
"Building";"DarkShrine";NA;32;0
"Unit";"Phoenix";"Stargate";32;2
"Building";"Nexus";NA;34;0
"Building";"ShieldBattery";NA;35;0
"Unit";"Adept";"Gateway";37;2
"Unit";"Adept";"Gateway";39;2
"Building";"DarkTemplar";NA;44;0
"Building";"DarkTemplar";NA;45;0
"Upgrade";"SprayProtoss";NA;50;0
"Upgrade";"WarpGateResearch";NA;50;0
"Upgrade";"SprayProtoss";NA;50;0
