"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;20;0
"Building";"Gateway";NA;18;0
"Building";"CyberneticsCore";NA;19;0
"Building";"Pylon";NA;23;0
"Unit";"Stalker";"Gateway";22;2
"Unit";"Stalker";"Gateway";22;2
"Building";"Stargate";NA;23;0
"Unit";"Stalker";"Gateway";29;2
"Unit";"Stalker";"Gateway";29;2
"Unit";"Phoenix";"Stargate";35;2
"Unit";"Phoenix";"Stargate";37;2
"Building";"Nexus";NA;34;0
"Unit";"Stalker";"Gateway";44;2
"Unit";"Stalker";"Gateway";44;2
"Unit";"Phoenix";"Stargate";42;2
"Building";"ShieldBattery";NA;54;0
"Building";"RoboticsFacility";NA;52;0
"Building";"Gateway";NA;54;0
"Unit";"Phoenix";"Stargate";55;2
"Building";"Pylon";NA;57;0
"Building";"TwilightCouncil";NA;55;0
"Unit";"Observer";"Robotics Facility";59;1
"Building";"Pylon";NA;61;0
"Unit";"Zealot";"Gateway";68;2
"Unit";"Zealot";"Gateway";68;2
"Unit";"Zealot";"Gateway";68;2
"Unit";"Immortal";"Robotics Facility";65;4
"Building";"Pylon";NA;74;0
"Unit";"Sentry";"Gateway";78;2
"Unit";"Zealot";"Gateway";80;2
"Building";"ShieldBattery";NA;74;0
"Unit";"Zealot";"Gateway";82;2
"Building";"Pylon";NA;74;0
"Unit";"Immortal";"Robotics Facility";74;4
"Unit";"Zealot";"Gateway";86;2
"Unit";"Zealot";"Gateway";86;2
"Upgrade";"Charge";"TwilightCouncil";66;0
"Unit";"Zealot";"Gateway";94;2
"Unit";"Zealot";"Gateway";96;2
"Unit";"Zealot";"Gateway";96;2
"Unit";"Zealot";"Gateway";102;2
"Unit";"Zealot";"Gateway";102;2
"Unit";"Zealot";"Gateway";102;2
"Unit";"Immortal";"Robotics Facility";96;4
"Unit";"Zealot";"Gateway";108;2
"Unit";"Zealot";"Gateway";108;2
"Unit";"Zealot";"Gateway";108;2
"Building";"Gateway";NA;96;0
"Building";"Gateway";NA;96;0
"Unit";"Zealot";"Gateway";118;2
"Unit";"Zealot";"Gateway";118;2
"Unit";"Zealot";"Gateway";118;2
"Unit";"Zealot";"Gateway";118;2
"Unit";"Zealot";"Gateway";118;2
"Building";"Pylon";NA;118;0
"Unit";"Zealot";"Gateway";128;2
"Unit";"Zealot";"Gateway";128;2
"Building";"Pylon";NA;128;0
"Unit";"Immortal";"Robotics Facility";118;4
"Unit";"Zealot";"Gateway";136;2
"Unit";"Zealot";"Gateway";136;2
"Unit";"Zealot";"Gateway";136;2
