"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;17
"Building";"Assimilator";NA;18
"Building";"Gateway";NA;20
"Building";"CyberneticsCore";NA;21
"Building";"Pylon";NA;22
"Unit";"Sentry";"Gateway";24
"Unit";"Stalker";"Gateway";26
"Building";"Pylon";NA;28
"Building";"Pylon";NA;28
"Building";"Stargate";NA;28
"Building";"Nexus";NA;28
"Unit";"Stalker";"Gateway";28
"Unit";"Stalker";"Gateway";30
"Unit";"Phoenix";"Stargate";32
"Unit";"Phoenix";"Stargate";34
"Building";"ShieldBattery";NA;38
"Unit";"Phoenix";"Stargate";38
"Building";"Pylon";NA;40
"Building";"RoboticsFacility";NA;41
"Unit";"Phoenix";"Stargate";47
"Unit";"Phoenix";"Stargate";51
"Unit";"Observer";"Robotics Facility";55
"Building";"Forge";NA;56
"Building";"Pylon";NA;59
"Unit";"Phoenix";"Stargate";60
"Building";"TwilightCouncil";NA;65
"Building";"Assimilator";NA;65
"Building";"Assimilator";NA;66
"Unit";"Adept";"Gateway";66
"Unit";"Adept";"Gateway";68
"Unit";"Immortal";"Robotics Facility";70
"Building";"Gateway";NA;74
"Building";"Gateway";NA;74
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";74
"Building";"Pylon";NA;74
"Building";"Gateway";NA;74
"Building";"Gateway";NA;74
"Building";"Gateway";NA;74
"Building";"Gateway";NA;74
"Unit";"Immortal";"Robotics Facility";74
"Unit";"Phoenix";"Stargate";78
"Building";"Pylon";NA;80
"Building";"TemplarArchive";NA;80
"Building";"Pylon";NA;80
"Building";"Pylon";NA;80
"Upgrade";"Charge";"TwilightCouncil";80
"Unit";"Zealot";"Gateway";80
"Unit";"Zealot";"Gateway";82
"Unit";"Zealot";"Gateway";84
"Unit";"Zealot";"Gateway";86
"Unit";"Immortal";"Robotics Facility";88
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";92
"Building";"Nexus";NA;92
"Building";"HighTemplar";NA;92
"Building";"HighTemplar";NA;92
"Unit";"Archon";"High Templar";92
"Unit";"Zealot";"Gateway";92
"Unit";"Zealot";"Gateway";94
"Unit";"Zealot";"Gateway";96
"Unit";"Zealot";"Gateway";98
"Unit";"Phoenix";"Stargate";100
"Building";"Pylon";NA;102
"Building";"HighTemplar";NA;102
"Building";"HighTemplar";NA;102
"Building";"Pylon";NA;102
"Unit";"Archon";"High Templar";102
"Building";"Pylon";NA;102
"Unit";"Zealot";"Gateway";102
"Unit";"Zealot";"Gateway";104
"Unit";"Immortal";"Robotics Facility";106
"Unit";"Zealot";"Gateway";110
"Unit";"Zealot";"Gateway";112
"Unit";"Zealot";"Gateway";114
"Building";"Pylon";NA;116
"Building";"HighTemplar";NA;116
"Building";"HighTemplar";NA;116
"Unit";"Archon";"High Templar";116
"Building";"Pylon";NA;119
"Building";"HighTemplar";NA;119
"Building";"HighTemplar";NA;119
"Unit";"Zealot";"Gateway";119
"Unit";"Zealot";"Gateway";121
"Unit";"Zealot";"Gateway";123
"Unit";"Zealot";"Gateway";125
"Unit";"Archon";"High Templar";127
"Unit";"Observer";"Robotics Facility";127
"Building";"Pylon";NA;128
"Unit";"Zealot";"Gateway";128
"Unit";"Zealot";"Gateway";130
"Unit";"Zealot";"Gateway";132
"Unit";"Zealot";"Gateway";134
"Unit";"Zealot";"Gateway";136
"Unit";"Zealot";"Gateway";138
"Building";"Pylon";NA;140
"Building";"HighTemplar";NA;140
"Building";"HighTemplar";NA;140
"Unit";"Zealot";"Gateway";140
"Unit";"Zealot";"Gateway";142
"Unit";"Zealot";"Gateway";144
"Unit";"Zealot";"Gateway";146
"Unit";"Zealot";"Gateway";148
"Unit";"Archon";"High Templar";150
"Unit";"Zealot";"Gateway";150
"Unit";"Zealot";"Gateway";152
"Unit";"Zealot";"Gateway";154
"Unit";"Zealot";"Gateway";156
"Unit";"Zealot";"Gateway";158
"Unit";"Zealot";"Gateway";160
"Unit";"Zealot";"Gateway";162
"Upgrade";"SprayProtoss";NA;164
"Upgrade";"WarpGateResearch";NA;164
"Upgrade";"SprayProtoss";NA;164
"Upgrade";"SprayProtoss";NA;164
"Upgrade";"SprayProtoss";NA;164
