"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;17
"Building";"Assimilator";NA;18
"Building";"Gateway";NA;19
"Building";"CyberneticsCore";NA;21
"Building";"Pylon";NA;22
"Unit";"Stalker";"Gateway";23
"Unit";"Stalker";"Gateway";25
"Building";"Pylon";NA;27
"Building";"Stargate";NA;27
"Unit";"Adept";"Gateway";27
"Unit";"Adept";"Gateway";29
"Unit";"Oracle";"Stargate";31
"Building";"Nexus";NA;34
"Unit";"Oracle";"Stargate";35
"Building";"ShieldBattery";NA;38
"Building";"ShieldBattery";NA;38
"Building";"Pylon";NA;39
"Building";"TwilightCouncil";NA;40
"Unit";"Stalker";"Gateway";43
"Unit";"Stalker";"Gateway";47
"Unit";"Stalker";"Gateway";51
"Building";"Assimilator";NA;55
"Unit";"Stalker";"Gateway";55
"Unit";"Stalker";"Gateway";59
"Building";"Pylon";NA;62
"Unit";"Stalker";"Gateway";63
"Building";"RoboticsFacility";NA;68
"Unit";"Stalker";"Gateway";69
"Unit";"Stalker";"Gateway";72
"Building";"Pylon";NA;74
"Building";"Pylon";NA;74
"Building";"Nexus";NA;74
"Unit";"Sentry";"Gateway";74
"Unit";"Sentry";"Gateway";77
"Unit";"Observer";"Robotics Facility";79
"Building";"Forge";NA;80
"Building";"Gateway";NA;81
"Building";"Gateway";NA;81
"Unit";"Stalker";"Gateway";81
"Unit";"Stalker";"Gateway";83
"Building";"Gateway";NA;85
"Building";"Gateway";NA;85
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";85
"Building";"Pylon";NA;87
"Upgrade";"Charge";"TwilightCouncil";87
"Unit";"Stalker";"Gateway";89
"Unit";"Stalker";"Gateway";91
"Unit";"Stalker";"Gateway";94
"Unit";"Stalker";"Gateway";98
"Building";"Pylon";NA;100
"Unit";"Stalker";"Gateway";100
"Unit";"Stalker";"Gateway";102
"Unit";"Stalker";"Gateway";104
"Building";"Pylon";NA;109
"Unit";"Stalker";"Gateway";109
"Unit";"Stalker";"Gateway";112
"Building";"Pylon";NA;114
"Building";"Assimilator";NA;116
"Building";"Assimilator";NA;117
"Unit";"Stalker";"Gateway";117
"Unit";"Stalker";"Gateway";119
"Unit";"Phoenix";"Stargate";127
"Building";"Assimilator";NA;131
"Building";"Nexus";NA;131
"Building";"RoboticsBay";NA;131
"Building";"RoboticsFacility";NA;131
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";132
"Building";"DarkShrine";NA;133
"Building";"Pylon";NA;135
"Unit";"Phoenix";"Stargate";136
"Building";"Pylon";NA;138
"Unit";"Zealot";"Gateway";138
"Unit";"Zealot";"Gateway";140
"Unit";"Zealot";"Gateway";142
"Unit";"Zealot";"Gateway";144
"Unit";"Colossus";"Robotics Facility";146
"Building";"Pylon";NA;152
"Unit";"Colossus";"Robotics Facility";156
"Building";"DarkTemplar";NA;164
"Building";"DarkTemplar";NA;164
"Building";"DarkTemplar";NA;164
"Building";"DarkTemplar";NA;164
"Unit";"Zealot";"Gateway";164
"Unit";"Zealot";"Gateway";166
"Unit";"Colossus";"Robotics Facility";168
"Upgrade";"ExtendedThermalLance";"RoboticsBay";174
"Unit";"Colossus";"Robotics Facility";176
"Building";"PhotonCannon";NA;183
"Building";"ShieldBattery";NA;183
"Building";"ShieldBattery";NA;183
"Building";"DarkTemplar";NA;183
"Unit";"Zealot";"Gateway";183
"Unit";"Zealot";"Gateway";185
"Unit";"Zealot";"Gateway";187
"Unit";"Zealot";"Gateway";189
"Building";"ShieldBattery";NA;191
"Building";"Assimilator";NA;191
"Unit";"Colossus";"Robotics Facility";191
"Building";"Assimilator";NA;197
"Unit";"Zealot";"Gateway";197
"Building";"DarkTemplar";NA;199
"Building";"DarkTemplar";NA;199
"Unit";"Zealot";"Gateway";199
"Unit";"Zealot";"Gateway";201
"Unit";"Zealot";"Gateway";203
"Unit";"Zealot";"Gateway";205
"Unit";"Archon";"High Templar";207
"Building";"Pylon";NA;207
"Building";"Pylon";NA;207
"Building";"Pylon";NA;207
