"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Pylon";NA;14;0
"Building";"Gateway";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;18;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Pylon";NA;21;0
"Unit";"Adept";"Gateway";23;2
"Unit";"Adept";"Gateway";25;2
"Building";"Pylon";NA;27;0
"Unit";"Sentry";"Gateway";28;2
"Unit";"Stalker";"Gateway";30;2
"Building";"Nexus";NA;32;0
"Unit";"Stalker";"Gateway";33;2
"Building";"TwilightCouncil";NA;35;0
"Building";"Pylon";NA;37;0
"Unit";"Phoenix";"Stargate";38;2
"Unit";"Stalker";"Gateway";41;2
"Unit";"Stalker";"Gateway";43;2
"Building";"Forge";NA;49;0
"Unit";"Stalker";"Gateway";51;2
"Unit";"Stalker";"Gateway";53;2
"Building";"Pylon";NA;59;0
"Unit";"Sentry";"Gateway";61;2
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";63;0
"Unit";"Sentry";"Gateway";63;2
"Building";"RoboticsFacility";NA;67;0
"Building";"Pylon";NA;69;0
"Building";"Assimilator";NA;69;0
"Building";"Assimilator";NA;71;0
"Building";"Gateway";NA;71;0
"Unit";"Stalker";"Gateway";72;2
"Unit";"Stalker";"Gateway";74;2
"Unit";"Phoenix";"Stargate";78;2
"Building";"Pylon";NA;80;0
"Unit";"Immortal";"Robotics Facility";84;4
"Building";"Gateway";NA;88;0
"Building";"Gateway";NA;89;0
"Building";"Pylon";NA;91;0
"Unit";"Phoenix";"Stargate";92;2
"Building";"Nexus";NA;94;0
"Building";"Pylon";NA;96;0
"Building";"Pylon";NA;96;0
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";96;0
"Building";"RoboticsBay";NA;96;0
"Building";"RoboticsFacility";NA;98;0
"Unit";"Observer";"Robotics Facility";100;1
"Unit";"Stalker";"Gateway";101;2
"Unit";"Stalker";"Gateway";103;2
"Unit";"Stalker";"Gateway";105;2
"Unit";"Stalker";"Gateway";108;2
"Unit";"Stalker";"Gateway";110;2
"Unit";"Disruptor";"Robotics Facility";114;3
"Building";"PhotonCannon";NA;117;0
"Unit";"Disruptor";"Robotics Facility";117;3
"Building";"Pylon";NA;120;0
"Building";"Pylon";NA;123;0
"Unit";"Stalker";"Gateway";123;2
"Unit";"Stalker";"Gateway";125;2
"Building";"Assimilator";NA;128;0
"Building";"Assimilator";NA;128;0
"Unit";"Disruptor";"Robotics Facility";128;3
"Building";"Pylon";NA;131;0
"Building";"Pylon";NA;131;0
"Unit";"Disruptor";"Robotics Facility";134;3
"Building";"Pylon";NA;137;0
"Unit";"Stalker";"Gateway";137;2
"Unit";"Disruptor";"Robotics Facility";139;3
"Building";"Stargate";NA;142;0
"Building";"PhotonCannon";NA;142;0
"Unit";"Immortal";"Robotics Facility";142;4
"Building";"Nexus";NA;146;0
"Building";"Pylon";NA;149;0
"Upgrade";"ProtossGroundWeaponsLevel3";"Forge";149;0
"Upgrade";"Charge";"TwilightCouncil";149;0
"Unit";"Stalker";"Gateway";149;2
"Unit";"Stalker";"Gateway";151;2
"Unit";"Oracle";"Stargate";153;3
"Unit";"Disruptor";"Robotics Facility";156;3
"Building";"Gateway";NA;159;0
"Building";"Gateway";NA;159;0
"Unit";"Disruptor";"Robotics Facility";159;3
"Unit";"Stalker";"Gateway";162;2
"Unit";"Stalker";"Gateway";164;2
"Unit";"Stalker";"Gateway";166;2
"Unit";"Stalker";"Gateway";168;2
"Unit";"Stalker";"Gateway";170;2
"Building";"Gateway";NA;172;0
"Unit";"Disruptor";"Robotics Facility";172;3
"Building";"Assimilator";NA;178;0
"Building";"Assimilator";NA;178;0
"Unit";"Oracle";"Stargate";178;3
"Unit";"Stalker";"Gateway";181;2
"Unit";"Stalker";"Gateway";183;2
"Unit";"Stalker";"Gateway";185;2
"Unit";"Stalker";"Gateway";187;2
"Unit";"Stalker";"Gateway";189;2
"Building";"Pylon";NA;191;0
"Unit";"Disruptor";"Robotics Facility";191;3
"Unit";"Disruptor";"Robotics Facility";194;3
"Unit";"Stalker";"Gateway";197;2
"Unit";"Stalker";"Gateway";199;2
"Unit";"Stalker";"Gateway";201;2
"Unit";"Stalker";"Gateway";203;2
"Unit";"Stalker";"Gateway";205;2
"Unit";"Zealot";"Gateway";207;2
"Unit";"Zealot";"Gateway";209;2
"Unit";"Zealot";"Gateway";211;2
"Unit";"Zealot";"Gateway";213;2
"Unit";"Zealot";"Gateway";215;2
"Unit";"Zealot";"Gateway";217;2
"Unit";"Zealot";"Gateway";219;2
"Unit";"Zealot";"Gateway";221;2
"Unit";"Disruptor";"Robotics Facility";223;3
"Building";"FleetBeacon";NA;226;0
"Building";"PhotonCannon";NA;226;0
"Building";"PhotonCannon";NA;226;0
"Unit";"Disruptor";"Robotics Facility";226;3
"Unit";"Zealot";"Gateway";229;2
"Unit";"Zealot";"Gateway";231;2
"Unit";"Zealot";"Gateway";233;2
"Unit";"Zealot";"Gateway";235;2
"Upgrade";"ProtossShieldsLevel1";"Forge";237;0
"Building";"Stargate";NA;237;0
"Building";"Stargate";NA;237;0
"Building";"Nexus";NA;237;0
"Unit";"Zealot";"Gateway";237;2
"Unit";"Zealot";"Gateway";239;2
"Unit";"Zealot";"Gateway";241;2
"Unit";"Zealot";"Gateway";243;2
"Unit";"Zealot";"Gateway";245;2
"Unit";"Zealot";"Gateway";247;2
"Unit";"Zealot";"Gateway";249;2
"Unit";"Zealot";"Gateway";251;2
"Building";"Pylon";NA;253;0
"Building";"Pylon";NA;253;0
"Upgrade";"ProtossAirWeaponsLevel1";"CyberneticsCore";253;0
"Building";"OracleStasisTrap";NA;253;0
"Building";"Pylon";NA;253;0
"Unit";"Carrier";"Stargate";253;6
"Unit";"Carrier";"Stargate";259;6
"Unit";"Carrier";"Stargate";265;6
"Building";"Nexus";NA;271;0
"Building";"Assimilator";NA;272;0
"Building";"Assimilator";NA;272;0
"Building";"PhotonCannon";NA;272;0
"Building";"PhotonCannon";NA;272;0
"Building";"PhotonCannon";NA;272;0
