"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Pylon";NA;14;0
"Building";"Gateway";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Nexus";NA;19;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Assimilator";NA;21;0
"Building";"Pylon";NA;22;0
"Unit";"Adept";"Gateway";23;2
"Building";"Stargate";NA;26;0
"Unit";"Adept";"Gateway";29;2
"Unit";"Oracle";"Stargate";33;3
"Building";"Gateway";NA;40;0
"Building";"Gateway";NA;40;0
"Building";"Pylon";NA;40;0
"Unit";"Oracle";"Stargate";43;3
"Building";"Pylon";NA;48;0
"Building";"Pylon";NA;48;0
"Building";"Gateway";NA;49;0
"Building";"Pylon";NA;50;0
"Unit";"Adept";"Gateway";50;2
"Building";"Pylon";NA;52;0
"Unit";"Adept";"Gateway";52;2
"Unit";"Adept";"Gateway";54;2
"Unit";"Oracle";"Stargate";56;3
"Unit";"Adept";"Gateway";61;2
"Unit";"Adept";"Gateway";63;2
"Unit";"Adept";"Gateway";65;2
"Building";"Nexus";NA;69;0
"Building";"Pylon";NA;69;0
"Unit";"Adept";"Gateway";69;2
"Unit";"Adept";"Gateway";71;2
"Unit";"Adept";"Gateway";73;2
"Building";"Assimilator";NA;77;0
"Building";"Forge";NA;77;0
"Building";"TwilightCouncil";NA;77;0
"Unit";"Phoenix";"Stargate";78;2
"Building";"Assimilator";NA;81;0
"Unit";"Adept";"Gateway";83;2
"Unit";"Adept";"Gateway";85;2
"Unit";"Adept";"Gateway";87;2
"Unit";"Adept";"Gateway";89;2
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";97;0
"Unit";"Adept";"Gateway";97;2
"Unit";"Adept";"Gateway";99;2
"Unit";"Adept";"Gateway";101;2
"Unit";"Adept";"Gateway";103;2
"Unit";"Phoenix";"Stargate";107;2
"Building";"Pylon";NA;112;0
"Unit";"Phoenix";"Stargate";113;2
"Unit";"Adept";"Gateway";115;2
"Unit";"Adept";"Gateway";117;2
"Unit";"Adept";"Gateway";119;2
"Unit";"Adept";"Gateway";121;2
"Building";"Gateway";NA;124;0
"Building";"Gateway";NA;124;0
"Building";"Gateway";NA;124;0
"Building";"RoboticsFacility";NA;124;0
"Building";"Gateway";NA;124;0
"Building";"Gateway";NA;125;0
"Unit";"Phoenix";"Stargate";125;2
"Building";"Gateway";NA;127;0
"Building";"Pylon";NA;127;0
"Unit";"Adept";"Gateway";127;2
"Unit";"Adept";"Gateway";129;2
"Unit";"Adept";"Gateway";131;2
"Building";"Pylon";NA;134;0
"Unit";"Phoenix";"Stargate";134;2
"Building";"Assimilator";NA;138;0
"Building";"Pylon";NA;139;0
"Unit";"Phoenix";"Stargate";139;2
"Building";"Pylon";NA;141;0
"Unit";"Adept";"Gateway";141;2
"Unit";"Adept";"Gateway";143;2
"Unit";"Adept";"Gateway";145;2
"Unit";"Adept";"Gateway";147;2
"Unit";"Adept";"Gateway";149;2
"Unit";"Phoenix";"Stargate";153;2
"Unit";"Observer";"Robotics Facility";155;1
"Building";"PhotonCannon";NA;156;0
"Building";"PhotonCannon";NA;156;0
"Building";"PhotonCannon";NA;156;0
"Building";"Assimilator";NA;156;0
"Unit";"Phoenix";"Stargate";156;2
"Unit";"Adept";"Gateway";158;2
"Unit";"Adept";"Gateway";160;2
"Unit";"Adept";"Gateway";162;2
"Unit";"Phoenix";"Stargate";164;2
"Unit";"Adept";"Gateway";166;2
"Unit";"Adept";"Gateway";168;2
"Unit";"Adept";"Gateway";170;2
"Unit";"Adept";"Gateway";172;2
"Unit";"Adept";"Gateway";174;2
"Unit";"Adept";"Gateway";176;2
"Unit";"Phoenix";"Stargate";178;2
"Building";"PhotonCannon";NA;181;0
"Unit";"Phoenix";"Stargate";182;2
"Unit";"Adept";"Gateway";184;2
"Unit";"Adept";"Gateway";186;2
"Unit";"Adept";"Gateway";188;2
"Unit";"Adept";"Gateway";190;2
"Unit";"Adept";"Gateway";192;2
"Unit";"Adept";"Gateway";194;2
"Unit";"Adept";"Gateway";196;2
"Unit";"Adept";"Gateway";198;2
"Unit";"Adept";"Gateway";200;2
"Unit";"Phoenix";"Stargate";202;2
"Unit";"Adept";"Gateway";204;2
"Unit";"Adept";"Gateway";206;2
"Unit";"Adept";"Gateway";208;2
"Unit";"Adept";"Gateway";210;2
"Unit";"Adept";"Gateway";212;2
"Unit";"Adept";"Gateway";214;2
"Unit";"Adept";"Gateway";216;2
"Building";"RoboticsBay";NA;218;0
"Building";"RoboticsFacility";NA;218;0
"Building";"Pylon";NA;218;0
"Unit";"Phoenix";"Stargate";218;2
"Unit";"Stalker";"Gateway";220;2
"Unit";"Stalker";"Gateway";222;2
"Unit";"Stalker";"Gateway";224;2
"Unit";"Stalker";"Gateway";226;2
"Unit";"Stalker";"Gateway";228;2
"Unit";"Stalker";"Gateway";230;2
"Unit";"Adept";"Gateway";232;2
"Unit";"Adept";"Gateway";234;2
"Unit";"Adept";"Gateway";236;2
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";238;0
"Unit";"Adept";"Gateway";238;2
"Unit";"Adept";"Gateway";240;2
"Unit";"Adept";"Gateway";242;2
"Unit";"Adept";"Gateway";244;2
"Unit";"Adept";"Gateway";246;2
"Unit";"Adept";"Gateway";248;2
"Unit";"Colossus";"Robotics Facility";250;6
"Unit";"Adept";"Gateway";256;2
"Unit";"Adept";"Gateway";258;2
"Unit";"Colossus";"Robotics Facility";260;6
"Building";"Pylon";NA;266;0
"Building";"Pylon";NA;266;0
"Unit";"Adept";"Gateway";266;2
"Unit";"Adept";"Gateway";268;2
"Unit";"Adept";"Gateway";270;2
"Unit";"Adept";"Gateway";272;2
"Unit";"Adept";"Gateway";274;2
"Unit";"Adept";"Gateway";276;2
"Unit";"Colossus";"Robotics Facility";278;6
"Unit";"Stalker";"Gateway";284;2
"Unit";"Stalker";"Gateway";286;2
"Unit";"Stalker";"Gateway";288;2
"Unit";"Stalker";"Gateway";290;2
"Unit";"Stalker";"Gateway";292;2
"Unit";"Stalker";"Gateway";294;2
"Upgrade";"ExtendedThermalLance";"RoboticsBay";296;0
