"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;17
"Building";"Nexus";NA;20
"Building";"CyberneticsCore";NA;20
"Building";"Assimilator";NA;21
"Building";"Pylon";NA;22
"Unit";"Adept";"Gateway";23
"Building";"TwilightCouncil";NA;26
"Unit";"Stalker";"Gateway";26
"Building";"DarkShrine";NA;35
"Building";"Gateway";NA;36
"Unit";"Stalker";"Gateway";38
"Building";"Pylon";NA;42
"Building";"Assimilator";NA;42
"Building";"Pylon";NA;46
"Building";"Gateway";NA;47
"Building";"Pylon";NA;48
"Building";"Assimilator";NA;49
"Building";"DarkTemplar";NA;49
"Unit";"Stalker";"Gateway";51
"Unit";"Stalker";"Gateway";57
"Unit";"Stalker";"Gateway";59
"Building";"Nexus";NA;62
"Building";"Pylon";NA;63
"Unit";"Stalker";"Gateway";63
"Unit";"Stalker";"Gateway";67
"Unit";"Stalker";"Gateway";69
"Building";"Pylon";NA;72
"Building";"RoboticsFacility";NA;72
"Unit";"Stalker";"Gateway";72
"Unit";"Stalker";"Gateway";74
"Unit";"Stalker";"Gateway";77
"Upgrade";"Charge";"TwilightCouncil";80
"Building";"Forge";NA;81
"Building";"Forge";NA;81
"Building";"Pylon";NA;81
"Unit";"Sentry";"Gateway";81
"Unit";"Sentry";"Gateway";83
"Unit";"Observer";"Robotics Facility";85
"Building";"Gateway";NA;86
"Building";"Gateway";NA;86
"Unit";"Sentry";"Gateway";86
"Building";"Gateway";NA;88
"Building";"Gateway";NA;88
"Building";"Gateway";NA;88
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";88
"Unit";"Observer";"Robotics Facility";91
"Unit";"Stalker";"Gateway";92
"Building";"Pylon";NA;96
"Building";"Pylon";NA;97
"Building";"Assimilator";NA;100
"Unit";"Zealot";"Gateway";100
"Unit";"Zealot";"Gateway";102
"Unit";"Zealot";"Gateway";104
"Building";"Assimilator";NA;106
"Unit";"Zealot";"Gateway";108
"Unit";"Zealot";"Gateway";110
"Building";"Pylon";NA;114
"Building";"Pylon";NA;114
"Building";"Pylon";NA;114
"Unit";"Zealot";"Gateway";114
"Unit";"Zealot";"Gateway";116
"Unit";"Zealot";"Gateway";118
"Unit";"Zealot";"Gateway";120
"Unit";"Zealot";"Gateway";122
"Unit";"Zealot";"Gateway";124
"Unit";"Zealot";"Gateway";126
"Unit";"Zealot";"Gateway";128
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";130
"Unit";"Sentry";"Gateway";131
"Unit";"Sentry";"Gateway";133
"Unit";"Zealot";"Gateway";135
"Unit";"Zealot";"Gateway";137
"Unit";"Zealot";"Gateway";139
"Unit";"Zealot";"Gateway";141
"Building";"TemplarArchive";NA;144
"Building";"Nexus";NA;144
"Unit";"Zealot";"Gateway";144
"Unit";"Zealot";"Gateway";146
"Unit";"Zealot";"Gateway";148
"Unit";"Zealot";"Gateway";150
"Unit";"Stalker";"Gateway";152
"Unit";"Stalker";"Gateway";154
"Unit";"Stalker";"Gateway";156
"Unit";"Stalker";"Gateway";158
"Building";"Pylon";NA;160
"Building";"HighTemplar";NA;160
"Building";"HighTemplar";NA;160
"Building";"HighTemplar";NA;160
"Building";"HighTemplar";NA;160
"Unit";"Archon";"High Templar";163
"Unit";"Archon";"High Templar";163
"Unit";"Immortal";"Robotics Facility";163
"Building";"Gateway";NA;167
"Building";"Pylon";NA;167
"Building";"Gateway";NA;167
"Building";"Gateway";NA;167
"Building";"DarkTemplar";NA;167
"Unit";"Zealot";"Gateway";167
"Unit";"Zealot";"Gateway";169
"Building";"Gateway";NA;171
"Building";"Pylon";NA;171
"Building";"Pylon";NA;171
"Building";"DarkTemplar";NA;171
"Unit";"Zealot";"Gateway";171
"Unit";"Zealot";"Gateway";173
"Unit";"Zealot";"Gateway";175
"Building";"DarkTemplar";NA;177
"Unit";"Zealot";"Gateway";177
"Building";"HighTemplar";NA;179
"Building";"HighTemplar";NA;179
"Building";"HighTemplar";NA;179
"Building";"HighTemplar";NA;179
"Unit";"Zealot";"Gateway";179
