"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Pylon";NA;17;0
"Building";"Assimilator";NA;18;0
"Building";"Gateway";NA;15;0
"Building";"Gateway";NA;19;0
"Unit";"Zealot";"Gateway";21;2
"Building";"CyberneticsCore";NA;20;0
"Building";"Pylon";NA;22;0
"Unit";"Stalker";"Gateway";22;2
"Unit";"Stalker";"Gateway";22;2
"Unit";"Stalker";"Gateway";30;2
"Unit";"Stalker";"Gateway";30;2
"Building";"Pylon";NA;37;0
"Building";"ShieldBattery";NA;38;0
"Building";"Pylon";NA;38;0
"Building";"ShieldBattery";NA;38;0
"Building";"Stargate";NA;38;0
"Unit";"Sentry";"Gateway";38;2
"Unit";"Sentry";"Gateway";38;2
"Building";"ShieldBattery";NA;38;0
"Building";"ShieldBattery";NA;38;0
"Building";"ShieldBattery";NA;38;0
"Unit";"Stalker";"Gateway";42;2
"Unit";"Stalker";"Gateway";42;2
"Building";"Gateway";NA;42;0
"Unit";"Stalker";"Gateway";46;2
