"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Pylon";NA;18;0
"Building";"Gateway";NA;15;0
"Unit";"Zealot";"Gateway";20;2
"Building";"CyberneticsCore";NA;19;0
"Unit";"Stalker";"Gateway";25;2
"Building";"Pylon";NA;26;0
"Building";"Assimilator";NA;26;0
"Building";"Nexus";NA;25;0
"Unit";"Stalker";"Gateway";31;2
"Building";"TwilightCouncil";NA;31;0
"Unit";"Stalker";"Gateway";38;2
"Building";"Pylon";NA;41;0
"Building";"ShieldBattery";NA;40;0
"Building";"Gateway";NA;39;0
"Unit";"Stalker";"Gateway";50;2
"Unit";"Stalker";"Gateway";50;2
"Building";"Pylon";NA;48;0
"Building";"DarkShrine";NA;39;0
"Building";"ShieldBattery";NA;48;0
"Building";"Gateway";NA;46;0
"Building";"Gateway";NA;47;0
"Building";"Pylon";NA;56;0
"Building";"DarkTemplar";NA;57;0
"Building";"DarkTemplar";NA;57;0
"Building";"DarkTemplar";NA;57;0
"Unit";"Sentry";"Gateway";57;2
"Building";"Assimilator";NA;57;0
"Building";"Assimilator";NA;57;0
"Building";"Pylon";NA;62;0
"Unit";"Stalker";"Gateway";64;2
"Unit";"Stalker";"Gateway";64;2
"Unit";"Stalker";"Gateway";64;2
"Building";"Nexus";NA;57;0
"Building";"Pylon";NA;70;0
"Building";"Pylon";NA;70;0
"Unit";"Stalker";"Gateway";73;2
"Unit";"Stalker";"Gateway";73;2
"Unit";"Stalker";"Gateway";73;2
"Building";"RoboticsFacility";NA;62;0
"Unit";"Immortal";"Robotics Facility";81;4
"Building";"Pylon";NA;89;0
"Building";"Pylon";NA;89;0
"Unit";"Sentry";"Gateway";96;2
"Unit";"Sentry";"Gateway";96;2
"Upgrade";"Charge";"TwilightCouncil";73;0
"Building";"Gateway";NA;81;0
"Building";"Gateway";NA;83;0
"Unit";"Observer";"Robotics Facility";91;1
"Building";"Gateway";NA;84;0
"Building";"Assimilator";NA;100;0
"Unit";"Observer";"Robotics Facility";100;1
"Building";"Assimilator";NA;101;0
"Building";"Gateway";NA;89;0
"Building";"Gateway";NA;91;0
"Building";"Gateway";NA;91;0
"Building";"Gateway";NA;92;0
"Building";"Pylon";NA;104;0
"Unit";"Zealot";"Gateway";107;2
"Unit";"Zealot";"Gateway";107;2
"Unit";"Zealot";"Gateway";107;2
"Unit";"Zealot";"Gateway";107;2
"Unit";"Zealot";"Gateway";107;2
"Unit";"Zealot";"Gateway";107;2
"Unit";"Zealot";"Gateway";107;2
"Unit";"Zealot";"Gateway";107;2
"Unit";"Zealot";"Gateway";107;2
"Unit";"Zealot";"Gateway";107;2
"Unit";"Zealot";"Gateway";107;2
"Building";"Forge";NA;107;0
"Building";"Forge";NA;107;0
"Building";"Pylon";NA;129;0
"Building";"Pylon";NA;129;0
"Building";"Pylon";NA;129;0
"Unit";"Zealot";"Gateway";129;2
"Unit";"Zealot";"Gateway";129;2
"Unit";"Zealot";"Gateway";129;2
"Unit";"Zealot";"Gateway";129;2
"Unit";"Zealot";"Gateway";129;2
"Unit";"Zealot";"Gateway";129;2
"Unit";"Zealot";"Gateway";129;2
"Unit";"Zealot";"Gateway";129;2
"Unit";"Zealot";"Gateway";129;2
"Unit";"Zealot";"Gateway";129;2
"Unit";"Immortal";"Robotics Facility";107;4
"Building";"TemplarArchive";NA;129;0
"Building";"HighTemplar";NA;153;0
"Building";"HighTemplar";NA;153;0
"Building";"HighTemplar";NA;153;0
"Building";"HighTemplar";NA;153;0
"Building";"HighTemplar";NA;153;0
"Building";"HighTemplar";NA;153;0
"Building";"HighTemplar";NA;153;0
"Building";"HighTemplar";NA;153;0
"Unit";"Sentry";"Gateway";153;2
"Unit";"Archon";"High Templar";155;0
"Unit";"Archon";"High Templar";155;0
"Unit";"Archon";"High Templar";155;0
"Unit";"Archon";"High Templar";155;0
"Building";"Pylon";NA;155;0
"Building";"Pylon";NA;155;0
"Unit";"Zealot";"Gateway";155;2
"Unit";"Zealot";"Gateway";155;2
"Unit";"Immortal";"Robotics Facility";153;4
"Building";"Pylon";NA;159;0
"Unit";"Zealot";"Gateway";163;2
"Unit";"Zealot";"Gateway";163;2
"Unit";"Zealot";"Gateway";163;2
"Unit";"Zealot";"Gateway";163;2
"Unit";"Zealot";"Gateway";163;2
"Unit";"Zealot";"Gateway";163;2
"Building";"Pylon";NA;159;0
"Building";"Pylon";NA;163;0
