"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;18;0
"Unit";"Zealot";"Gateway";20;2
"Building";"CyberneticsCore";NA;19;0
"Unit";"Stalker";"Gateway";22;2
"Building";"Assimilator";NA;24;0
"Building";"Pylon";NA;27;0
"Unit";"Stalker";"Gateway";24;2
"Building";"Nexus";NA;22;0
"Unit";"Stalker";"Gateway";29;2
"Building";"TwilightCouncil";NA;31;0
"Building";"Pylon";NA;38;0
"Unit";"Stalker";"Gateway";38;2
"Building";"Gateway";NA;38;0
"Building";"Gateway";NA;38;0
"Unit";"Stalker";"Gateway";44;2
"Unit";"Stalker";"Gateway";44;2
"Unit";"Stalker";"Gateway";44;2
"Building";"Assimilator";NA;44;0
"Building";"Assimilator";NA;44;0
"Building";"Pylon";NA;46;0
"Unit";"Stalker";"Gateway";54;2
"Unit";"Stalker";"Gateway";54;2
"Unit";"Stalker";"Gateway";54;2
"Building";"Gateway";NA;44;0
"Building";"Gateway";NA;44;0
