"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Pylon";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"CyberneticsCore";NA;19;0
"Building";"Assimilator";NA;22;0
"Unit";"Adept";"Gateway";23;2
"Building";"Nexus";NA;21;0
"Building";"RoboticsFacility";NA;23;0
"Unit";"Immortal";"Robotics Facility";27;4
"Unit";"Stalker";"Gateway";28;2
"Unit";"Observer";"Robotics Facility";35;1
"Building";"Gateway";NA;31;0
"Building";"Pylon";NA;42;0
"Building";"ShieldBattery";NA;40;0
"Building";"Gateway";NA;39;0
"Unit";"Stalker";"Gateway";44;2
"Unit";"Stalker";"Gateway";44;2
"Unit";"Stalker";"Gateway";44;2
"Unit";"Immortal";"Robotics Facility";44;4
"Building";"Pylon";NA;50;0
"Unit";"Observer";"Robotics Facility";54;1
"Unit";"Sentry";"Gateway";60;2
"Building";"Pylon";NA;56;0
"Unit";"Sentry";"Gateway";61;2
"Unit";"Stalker";"Gateway";61;2
"Unit";"Observer";"Robotics Facility";58;1
"Building";"Pylon";NA;61;0
"Building";"ShieldBattery";NA;58;0
"Building";"Pylon";NA;69;0
"Building";"ShieldBattery";NA;68;0
"Unit";"Stalker";"Gateway";73;2
"Unit";"Stalker";"Gateway";73;2
"Unit";"Stalker";"Gateway";73;2
"Building";"Assimilator";NA;71;0
"Building";"TwilightCouncil";NA;73;0
"Unit";"Stalker";"Gateway";84;2
"Unit";"Stalker";"Gateway";84;2
"Unit";"Stalker";"Gateway";84;2
"Building";"Assimilator";NA;82;0
"Building";"Pylon";NA;82;0
