"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;14;0
"Building";"Pylon";NA;19;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;20;0
"Unit";"Stalker";"Gateway";23;2
"Building";"Pylon";NA;24;0
"Unit";"Stalker";"Gateway";27;2
"Building";"Nexus";NA;23;0
"Building";"TwilightCouncil";NA;27;0
"Building";"Gateway";NA;28;0
"Unit";"Sentry";"Gateway";31;2
"Building";"RoboticsFacility";NA;31;0
"Building";"Pylon";NA;40;0
"Unit";"Stalker";"Gateway";42;2
"Unit";"Stalker";"Gateway";42;2
"Unit";"Observer";"Robotics Facility";40;1
"Building";"ShieldBattery";NA;40;0
"Building";"Pylon";NA;42;0
"Building";"Assimilator";NA;41;0
"Unit";"Observer";"Robotics Facility";49;1
"Building";"Forge";NA;49;0
"Unit";"Stalker";"Gateway";55;2
"Unit";"Stalker";"Gateway";55;2
"Unit";"Zealot";"Gateway";62;2
"Unit";"Zealot";"Gateway";62;2
"Building";"Gateway";NA;54;0
"Building";"Gateway";NA;54;0
"Building";"ShieldBattery";NA;62;0
"Building";"Pylon";NA;68;0
"Unit";"Zealot";"Gateway";68;2
"Unit";"Zealot";"Gateway";68;2
"Building";"Pylon";NA;68;0
"Building";"Pylon";NA;68;0
"Unit";"Zealot";"Gateway";74;2
"Unit";"Zealot";"Gateway";74;2
"Building";"TemplarArchive";NA;68;0
"Building";"Assimilator";NA;73;0
"Building";"HighTemplar";NA;78;0
"Unit";"Immortal";"Robotics Facility";68;4
"Building";"HighTemplar";NA;82;0
"Unit";"Zealot";"Gateway";82;2
"Unit";"Zealot";"Gateway";82;2
"Upgrade";"ProtossGroundArmorsLevel1";"Forge";61;0
"Upgrade";"Charge";"TwilightCouncil";68;0
"Building";"HighTemplar";NA;86;0
"Unit";"Zealot";"Gateway";86;2
"Unit";"Zealot";"Gateway";88;2
"Unit";"Zealot";"Gateway";88;2
"Building";"Pylon";NA;86;0
"Unit";"Immortal";"Robotics Facility";86;4
"Building";"Nexus";NA;78;0
"Building";"HighTemplar";NA;96;0
"Building";"HighTemplar";NA;96;0
"Building";"Pylon";NA;92;0
"Building";"HighTemplar";NA;96;0
"Unit";"Zealot";"Gateway";96;2
"Building";"ShieldBattery";NA;92;0
"Building";"PhotonCannon";NA;92;0
"Building";"Gateway";NA;92;0
"Building";"Gateway";NA;92;0
"Building";"Gateway";NA;92;0
"Building";"Gateway";NA;92;0
"Unit";"Zealot";"Gateway";98;2
"Unit";"Zealot";"Gateway";98;2
"Unit";"Zealot";"Gateway";98;2
"Unit";"Archon";"High Templar";98;0
"Building";"HighTemplar";NA;104;0
"Unit";"Stalker";"Gateway";104;2
"Unit";"Stalker";"Gateway";104;2
"Unit";"Stalker";"Gateway";104;2
"Unit";"Zealot";"Gateway";104;2
"Unit";"Zealot";"Gateway";104;2
"Unit";"Zealot";"Gateway";104;2
"Unit";"Zealot";"Gateway";104;2
