"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;16
"Building";"Nexus";NA;19
"Building";"CyberneticsCore";NA;19
"Building";"Assimilator";NA;20
"Building";"Pylon";NA;21
"Unit";"Adept";"Gateway";22
"Unit";"Adept";"Gateway";25
"Building";"RoboticsFacility";NA;28
"Building";"Pylon";NA;30
"Unit";"Stalker";"Gateway";30
"Building";"Gateway";NA;32
"Building";"Gateway";NA;32
"Building";"Pylon";NA;34
"Unit";"Observer";"Robotics Facility";34
"Unit";"Stalker";"Gateway";37
"Building";"Pylon";NA;41
"Unit";"Stalker";"Gateway";45
"Unit";"Stalker";"Gateway";47
"Unit";"Stalker";"Gateway";49
"Building";"RoboticsBay";NA;53
"Building";"Assimilator";NA;53
"Building";"Assimilator";NA;53
"Unit";"Stalker";"Gateway";53
"Unit";"Stalker";"Gateway";55
"Unit";"Stalker";"Gateway";57
"Unit";"Immortal";"Robotics Facility";61
"Unit";"Zealot";"Gateway";65
"Unit";"Zealot";"Gateway";67
"Unit";"Zealot";"Gateway";69
"Unit";"Stalker";"Gateway";73
"Unit";"Stalker";"Gateway";75
"Unit";"Stalker";"Gateway";77
"Upgrade";"SprayProtoss";NA;79
"Upgrade";"SprayProtoss";NA;79
"Upgrade";"WarpGateResearch";NA;79
