"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;17;0
"Building";"Pylon";NA;18;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Pylon";NA;22;0
"Unit";"Stalker";"Gateway";23;2
"Building";"RoboticsFacility";NA;23;0
"Building";"Gateway";NA;23;0
"Unit";"Immortal";"Robotics Facility";25;4
"Building";"Gateway";NA;25;0
"Building";"Pylon";NA;25;0
"Building";"Gateway";NA;25;0
"Unit";"Stalker";"Gateway";29;2
"Unit";"Stalker";"Gateway";29;2
"Unit";"Stalker";"Gateway";29;2
"Unit";"Stalker";"Gateway";29;2
"Unit";"Stalker";"Gateway";37;2
"Unit";"Stalker";"Gateway";37;2
"Unit";"Stalker";"Gateway";37;2
"Unit";"Stalker";"Gateway";37;2
"Building";"Pylon";NA;37;0
"Unit";"Sentry";"Gateway";45;2
"Unit";"Sentry";"Gateway";45;2
"Building";"Pylon";NA;45;0
"Building";"Pylon";NA;49;0
"Unit";"Immortal";"Robotics Facility";45;4
"Unit";"Sentry";"Gateway";53;2
"Unit";"Zealot";"Gateway";55;2
"Unit";"Zealot";"Gateway";55;2
"Unit";"Zealot";"Gateway";55;2
"Unit";"Observer";"Robotics Facility";49;1
"Building";"TwilightCouncil";NA;49;0
"Unit";"Zealot";"Gateway";62;2
"Unit";"Zealot";"Gateway";62;2
"Building";"Pylon";NA;62;0
"Unit";"Zealot";"Gateway";66;2
"Unit";"Zealot";"Gateway";66;2
"Unit";"Observer";"Robotics Facility";70;1
"Unit";"Stalker";"Gateway";71;2
"Unit";"Stalker";"Gateway";71;2
"Upgrade";"Charge";"TwilightCouncil";66;0
"Building";"Pylon";NA;75;0
"Building";"Pylon";NA;75;0
"Unit";"Zealot";"Gateway";75;2
"Unit";"Zealot";"Gateway";75;2
"Unit";"Stalker";"Gateway";79;2
"Unit";"Stalker";"Gateway";79;2
"Unit";"Stalker";"Gateway";79;2
"Building";"Nexus";NA;75;0
"Unit";"Zealot";"Gateway";85;2
"Unit";"Zealot";"Gateway";87;2
"Unit";"Zealot";"Gateway";87;2
"Unit";"Zealot";"Gateway";87;2
