"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;15;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Pylon";NA;21;0
"Unit";"Adept";"Gateway";22;2
"Building";"Nexus";NA;20;0
"Unit";"Adept";"Gateway";24;2
"Building";"Pylon";NA;28;0
"Unit";"Adept";"Gateway";28;2
"Building";"RoboticsFacility";NA;28;0
"Unit";"Adept";"Gateway";35;2
"Unit";"Immortal";"Robotics Facility";39;4
"Building";"ShieldBattery";NA;44;0
"Building";"Gateway";NA;40;0
"Building";"Assimilator";NA;44;0
"Building";"Gateway";NA;40;0
"Building";"Assimilator";NA;44;0
"Building";"Pylon";NA;50;0
"Building";"Pylon";NA;50;0
"Unit";"Sentry";"Gateway";52;2
"Unit";"Sentry";"Gateway";52;2
"Unit";"Sentry";"Gateway";52;2
"Unit";"Observer";"Robotics Facility";52;1
"Building";"Forge";NA;52;0
"Building";"RoboticsBay";NA;52;0
"Building";"Pylon";NA;62;0
"Unit";"Stalker";"Gateway";64;2
"Unit";"Stalker";"Gateway";64;2
"Unit";"Stalker";"Gateway";64;2
"Building";"Pylon";NA;64;0
"Unit";"Adept";"Gateway";70;2
"Unit";"Adept";"Gateway";70;2
"Unit";"Adept";"Gateway";70;2
"Building";"Nexus";NA;64;0
"Unit";"Sentry";"Gateway";82;2
"Unit";"Sentry";"Gateway";82;2
"Unit";"Sentry";"Gateway";82;2
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";68;0
"Unit";"Adept";"Gateway";95;2
"Unit";"Adept";"Gateway";100;2
"Unit";"Adept";"Gateway";102;2
"Unit";"Colossus";"Robotics Facility";89;6
"Unit";"Stalker";"Gateway";110;2
"Unit";"Stalker";"Gateway";110;2
"Unit";"Stalker";"Gateway";110;2
"Building";"Pylon";NA;124;0
"Building";"Pylon";NA;124;0
"Unit";"Sentry";"Gateway";125;2
"Unit";"Sentry";"Gateway";125;2
"Unit";"Sentry";"Gateway";125;2
"Unit";"Colossus";"Robotics Facility";124;6
"Building";"Assimilator";NA;125;0
"Building";"Assimilator";NA;125;0
"Building";"Pylon";NA;125;0
"Upgrade";"ExtendedThermalLance";"RoboticsBay";124;0
"Upgrade";"ProtossGroundArmorsLevel1";"Forge";109;0
"Building";"Forge";NA;125;0
"Building";"TwilightCouncil";NA;125;0
"Unit";"Stalker";"Gateway";143;2
"Unit";"Stalker";"Gateway";143;2
"Unit";"Stalker";"Gateway";143;2
"Unit";"Colossus";"Robotics Facility";133;6
"Building";"Pylon";NA;150;0
"Building";"Gateway";NA;141;0
"Building";"Gateway";NA;142;0
"Building";"Gateway";NA;142;0
"Building";"Pylon";NA;156;0
