"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;16
"Building";"Nexus";NA;20
"Building";"CyberneticsCore";NA;20
"Building";"Assimilator";NA;21
"Building";"Pylon";NA;22
"Unit";"Stalker";"Gateway";24
"Building";"TwilightCouncil";NA;27
"Unit";"Stalker";"Gateway";29
"Unit";"Stalker";"Gateway";34
"Building";"ShieldBattery";NA;36
"Unit";"Stalker";"Gateway";39
"Building";"Gateway";NA;44
"Building";"Gateway";NA;44
"Building";"Pylon";NA;46
"Unit";"Stalker";"Gateway";47
"Building";"RoboticsFacility";NA;49
"Building";"Pylon";NA;50
"Building";"Assimilator";NA;51
"Unit";"Stalker";"Gateway";52
"Building";"Pylon";NA;54
"Unit";"Stalker";"Gateway";54
"Unit";"Stalker";"Gateway";56
"Unit";"Immortal";"Robotics Facility";58
"Unit";"Stalker";"Gateway";62
"Unit";"Stalker";"Gateway";64
"Unit";"Stalker";"Gateway";66
"Unit";"Stalker";"Gateway";68
"Unit";"Stalker";"Gateway";70
"Building";"Pylon";NA;72
"Unit";"Stalker";"Gateway";72
"Upgrade";"SprayProtoss";NA;74
"Upgrade";"SprayProtoss";NA;74
"Upgrade";"WarpGateResearch";NA;74
"Upgrade";"BlinkTech";NA;74
