"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;19;0
"Unit";"Stalker";"Gateway";21;2
"Building";"Nexus";NA;19;0
"Unit";"Stalker";"Gateway";25;2
"Building";"Pylon";NA;30;0
"Building";"Pylon";NA;35;0
"Unit";"Stalker";"Gateway";32;2
"Building";"Pylon";NA;45;0
"Unit";"Stalker";"Gateway";48;2
"Building";"Gateway";NA;42;0
"Building";"Gateway";NA;42;0
"Building";"Assimilator";NA;47;0
"Building";"TwilightCouncil";NA;45;0
"Unit";"Stalker";"Gateway";54;2
"Unit";"Stalker";"Gateway";54;2
"Unit";"Stalker";"Gateway";61;2
"Building";"Nexus";NA;43;0
"Unit";"Stalker";"Gateway";65;2
"Building";"Forge";NA;53;0
"Unit";"Stalker";"Gateway";67;2
"Building";"Forge";NA;60;0
"Unit";"Stalker";"Gateway";74;2
"Unit";"Stalker";"Gateway";74;2
"Building";"Pylon";NA;84;0
"Unit";"Stalker";"Gateway";85;2
"Unit";"Stalker";"Gateway";85;2
"Unit";"Stalker";"Gateway";85;2
"Building";"RoboticsFacility";NA;81;0
"Building";"Pylon";NA;85;0
"Unit";"Sentry";"Gateway";94;2
"Unit";"Sentry";"Gateway";94;2
"Unit";"Zealot";"Gateway";94;2
"Building";"Gateway";NA;85;0
"Building";"Gateway";NA;85;0
"Unit";"Observer";"Robotics Facility";92;1
"Building";"Pylon";NA;98;0
"Building";"Pylon";NA;98;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";81;0
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";101;2
"Building";"RoboticsFacility";NA;92;0
"Building";"Gateway";NA;92;0
"Upgrade";"ProtossGroundArmorsLevel1";"Forge";85;0
"Building";"Gateway";NA;92;0
"Unit";"Immortal";"Robotics Facility";101;4
"Building";"Pylon";NA;115;0
"Building";"Gateway";NA;100;0
"Unit";"Zealot";"Gateway";118;2
"Unit";"Zealot";"Gateway";118;2
"Unit";"Zealot";"Gateway";118;2
"Building";"Assimilator";NA;114;0
"Upgrade";"Charge";"TwilightCouncil";94;0
"Building";"Pylon";NA;117;0
"Building";"Assimilator";NA;116;0
"Building";"Assimilator";NA;122;0
"Unit";"Zealot";"Gateway";130;2
"Unit";"Observer";"Robotics Facility";123;1
"Unit";"Zealot";"Gateway";130;2
"Unit";"Zealot";"Gateway";130;2
"Unit";"Zealot";"Gateway";130;2
"Building";"Pylon";NA;130;0
"Unit";"Zealot";"Gateway";139;2
"Unit";"Zealot";"Gateway";139;2
"Unit";"Zealot";"Gateway";143;2
"Unit";"Zealot";"Gateway";143;2
"Unit";"Zealot";"Gateway";143;2
"Unit";"Zealot";"Gateway";143;2
"Unit";"Zealot";"Gateway";143;2
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";157;2
"Unit";"Stalker";"Gateway";159;2
"Unit";"Stalker";"Gateway";159;2
"Building";"RoboticsBay";NA;139;0
"Unit";"Stalker";"Gateway";159;2
"Unit";"Stalker";"Gateway";159;2
