"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;17
"Building";"Nexus";NA;20
"Building";"CyberneticsCore";NA;20
"Building";"Assimilator";NA;21
"Building";"Pylon";NA;22
"Unit";"Stalker";"Gateway";22
"Building";"Stargate";NA;26
"Unit";"Stalker";"Gateway";29
"Unit";"Oracle";"Stargate";35
"Building";"Pylon";NA;40
"Building";"Gateway";NA;42
"Building";"Gateway";NA;42
"Unit";"Oracle";"Stargate";42
"Building";"Pylon";NA;47
"Unit";"Zealot";"Gateway";49
"Building";"Nexus";NA;51
"Unit";"Phoenix";"Stargate";51
"Building";"Assimilator";NA;57
"Building";"Assimilator";NA;57
"Building";"Forge";NA;59
"Building";"TwilightCouncil";NA;59
"Building";"Pylon";NA;61
"Unit";"Sentry";"Gateway";68
"Unit";"Sentry";"Gateway";70
"Building";"Gateway";NA;74
"Building";"Gateway";NA;75
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";75
"Building";"Gateway";NA;75
"Unit";"Sentry";"Gateway";77
"Building";"RoboticsFacility";NA;80
"Building";"Pylon";NA;80
"Building";"Pylon";NA;80
"Building";"OracleStasisTrap";NA;82
"Building";"Gateway";NA;82
"Building";"Gateway";NA;82
"Building";"PhotonCannon";NA;82
"Unit";"Stalker";"Gateway";85
"Unit";"Stalker";"Gateway";87
"Unit";"Stalker";"Gateway";89
"Building";"Pylon";NA;91
"Building";"Assimilator";NA;93
"Building";"Pylon";NA;94
"Building";"Assimilator";NA;95
"Unit";"Observer";"Robotics Facility";97
"Building";"PhotonCannon";NA;98
"Building";"Pylon";NA;98
"Unit";"Stalker";"Gateway";98
"Unit";"Stalker";"Gateway";100
"Unit";"Stalker";"Gateway";102
"Unit";"Stalker";"Gateway";104
"Unit";"Stalker";"Gateway";106
"Unit";"Stalker";"Gateway";108
"Building";"Pylon";NA;110
"Unit";"Zealot";"Gateway";110
"Building";"Pylon";NA;112
"Unit";"Zealot";"Gateway";112
"Building";"TemplarArchive";NA;117
"Upgrade";"Charge";"TwilightCouncil";117
"Unit";"Stalker";"Gateway";122
"Unit";"Stalker";"Gateway";124
"Unit";"Stalker";"Gateway";126
"Unit";"Zealot";"Gateway";128
"Unit";"Zealot";"Gateway";130
"Unit";"Zealot";"Gateway";132
"Unit";"Zealot";"Gateway";134
"Unit";"Observer";"Robotics Facility";136
"Unit";"Zealot";"Gateway";137
"Building";"Pylon";NA;139
"Building";"HighTemplar";NA;139
"Building";"HighTemplar";NA;139
"Building";"HighTemplar";NA;139
"Building";"HighTemplar";NA;139
"Building";"HighTemplar";NA;139
"Building";"HighTemplar";NA;139
"Unit";"Zealot";"Gateway";139
"Unit";"Zealot";"Gateway";141
"Unit";"Archon";"High Templar";143
"Building";"Pylon";NA;143
"Unit";"Archon";"High Templar";143
"Unit";"Archon";"High Templar";143
"Building";"Pylon";NA;143
"Unit";"Stalker";"Gateway";146
"Unit";"Zealot";"Gateway";148
"Unit";"Zealot";"Gateway";150
"Unit";"Zealot";"Gateway";152
"Unit";"Zealot";"Gateway";154
"Unit";"Zealot";"Gateway";156
"Unit";"Zealot";"Gateway";158
"Unit";"Zealot";"Gateway";160
"Upgrade";"SprayProtoss";NA;162
"Upgrade";"SprayProtoss";NA;162
"Upgrade";"SprayProtoss";NA;162
"Upgrade";"WarpGateResearch";NA;162
"Upgrade";"SprayProtoss";NA;162
"Upgrade";"BlinkTech";NA;162
"Upgrade";"ProtossGroundArmorsLevel1";NA;162
