"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;15;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Pylon";NA;21;0
"Building";"Nexus";NA;19;0
"Unit";"Stalker";"Gateway";23;2
"Unit";"Stalker";"Gateway";28;2
"Building";"Pylon";NA;36;0
"Building";"Gateway";NA;31;0
"Building";"Gateway";NA;31;0
"Unit";"Stalker";"Gateway";34;2
"Building";"Pylon";NA;47;0
"Building";"TwilightCouncil";NA;44;0
"Building";"Assimilator";NA;47;0
"Unit";"Stalker";"Gateway";50;2
"Unit";"Stalker";"Gateway";51;2
"Unit";"Stalker";"Gateway";51;2
"Building";"ShieldBattery";NA;47;0
"Building";"Nexus";NA;42;0
"Unit";"Stalker";"Gateway";62;2
"Unit";"Stalker";"Gateway";62;2
"Unit";"Stalker";"Gateway";62;2
"Building";"Pylon";NA;61;0
"Building";"Pylon";NA;62;0
"Unit";"Stalker";"Gateway";74;2
"Unit";"Stalker";"Gateway";74;2
"Unit";"Stalker";"Gateway";74;2
"Building";"Pylon";NA;71;0
"Building";"Forge";NA;72;0
"Building";"Pylon";NA;81;0
"Building";"Forge";NA;74;0
"Unit";"Stalker";"Gateway";83;2
"Unit";"Stalker";"Gateway";83;2
"Unit";"Stalker";"Gateway";83;2
"Building";"RoboticsFacility";NA;81;0
"Building";"Pylon";NA;83;0
"Building";"Pylon";NA;89;0
"Building";"Gateway";NA;83;0
"Unit";"Sentry";"Gateway";94;2
"Building";"Gateway";NA;83;0
"Unit";"Sentry";"Gateway";94;2
"Unit";"Sentry";"Gateway";94;2
"Building";"Gateway";NA;83;0
"Building";"Gateway";NA;83;0
"Building";"Gateway";NA;83;0
"Building";"Pylon";NA;92;0
"Unit";"Zealot";"Gateway";100;2
"Unit";"Zealot";"Gateway";100;2
"Unit";"Zealot";"Gateway";100;2
"Unit";"Immortal";"Robotics Facility";89;4
"Building";"ShieldBattery";NA;92;0
"Building";"ShieldBattery";NA;94;0
"Unit";"Zealot";"Gateway";110;2
"Unit";"Zealot";"Gateway";110;2
"Unit";"Zealot";"Gateway";110;2
"Unit";"Zealot";"Gateway";110;2
"Unit";"Zealot";"Gateway";110;2
"Unit";"Zealot";"Gateway";118;2
"Unit";"Zealot";"Gateway";120;2
"Building";"Pylon";NA;110;0
"Building";"Pylon";NA;110;0
"Upgrade";"Charge";"TwilightCouncil";83;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";83;0
"Unit";"Zealot";"Gateway";124;2
"Upgrade";"ProtossGroundArmorsLevel1";"Forge";83;0
"Building";"Pylon";NA;120;0
"Unit";"Immortal";"Robotics Facility";100;4
"Unit";"Zealot";"Gateway";126;2
