"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;20;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Assimilator";NA;21;0
"Building";"Nexus";NA;19;0
"Unit";"Stalker";"Gateway";21;2
"Building";"ShieldBattery";NA;23;0
"Unit";"Stalker";"Gateway";25;2
"Unit";"Stalker";"Gateway";29;2
"Building";"Gateway";NA;27;0
"Building";"Pylon";NA;34;0
"Unit";"Stalker";"Gateway";42;2
"Unit";"Stalker";"Gateway";42;2
"Building";"ShieldBattery";NA;40;0
"Building";"ShieldBattery";NA;40;0
"Building";"ShieldBattery";NA;40;0
"Building";"RoboticsFacility";NA;38;0
"Unit";"Stalker";"Gateway";48;2
"Unit";"Stalker";"Gateway";48;2
"Building";"Pylon";NA;46;0
"Unit";"Sentry";"Gateway";52;2
"Unit";"Stalker";"Gateway";52;2
"Building";"Pylon";NA;52;0
"Unit";"Immortal";"Robotics Facility";48;4
"Building";"Pylon";NA;58;0
"Unit";"Observer";"Robotics Facility";58;1
"Building";"Assimilator";NA;58;0
"Building";"Assimilator";NA;58;0
"Unit";"Stalker";"Gateway";64;2
"Unit";"Stalker";"Gateway";64;2
"Building";"Pylon";NA;64;0
"Building";"Pylon";NA;71;0
"Unit";"Sentry";"Gateway";71;2
"Unit";"Stalker";"Gateway";71;2
"Unit";"Immortal";"Robotics Facility";63;4
"Building";"Gateway";NA;71;0
"Unit";"Immortal";"Robotics Facility";71;4
"Building";"TwilightCouncil";NA;79;0
