"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;19;0
"Building";"Nexus";NA;19;0
"Unit";"Stalker";"Gateway";22;2
"Building";"TwilightCouncil";NA;24;0
"Unit";"Stalker";"Gateway";26;2
"Building";"Pylon";NA;38;0
"Unit";"Stalker";"Gateway";36;2
"Building";"Gateway";NA;38;0
"Building";"Pylon";NA;46;0
"Building";"Gateway";NA;39;0
"Unit";"Stalker";"Gateway";49;2
"Unit";"Stalker";"Gateway";52;2
"Unit";"Stalker";"Gateway";52;2
"Building";"Pylon";NA;52;0
"Unit";"Stalker";"Gateway";59;2
"Building";"Assimilator";NA;52;0
"Building";"Pylon";NA;58;0
"Unit";"Stalker";"Gateway";62;2
"Unit";"Stalker";"Gateway";62;2
"Building";"Nexus";NA;45;0
"Unit";"Stalker";"Gateway";67;2
"Unit";"Stalker";"Gateway";69;2
"Unit";"Stalker";"Gateway";69;2
"Unit";"Sentry";"Gateway";76;2
"Building";"Forge";NA;73;0
"Building";"Forge";NA;73;0
"Building";"Pylon";NA;81;0
"Building";"Pylon";NA;81;0
"Building";"ShieldBattery";NA;78;0
"Building";"RoboticsFacility";NA;73;0
"Unit";"Zealot";"Gateway";90;2
"Unit";"Zealot";"Gateway";90;2
"Unit";"Zealot";"Gateway";90;2
"Upgrade";"Charge";"TwilightCouncil";69;0
"Building";"Pylon";NA;97;0
"Unit";"Observer";"Robotics Facility";97;1
"Building";"Pylon";NA;97;0
"Building";"Gateway";NA;87;0
"Building";"Gateway";NA;87;0
"Building";"Gateway";NA;90;0
"Building";"Gateway";NA;90;0
"Building";"Assimilator";NA;97;0
"Building";"Assimilator";NA;97;0
"Building";"Pylon";NA;97;0
"Building";"Gateway";NA;90;0
"Building";"Assimilator";NA;97;0
"Unit";"Observer";"Robotics Facility";101;1
"Unit";"Zealot";"Gateway";104;2
"Unit";"Zealot";"Gateway";104;2
"Unit";"Zealot";"Gateway";104;2
"Unit";"Zealot";"Gateway";115;2
"Unit";"Zealot";"Gateway";115;2
"Unit";"Zealot";"Gateway";115;2
"Unit";"Zealot";"Gateway";115;2
"Unit";"Zealot";"Gateway";115;2
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";90;0
"Building";"RoboticsFacility";NA;101;0
"Building";"RoboticsFacility";NA;101;0
"Upgrade";"ProtossGroundArmorsLevel1";"Forge";91;0
"Building";"Pylon";NA;125;0
"Building";"Pylon";NA;125;0
"Unit";"Immortal";"Robotics Facility";106;4
"Building";"Nexus";NA;97;0
"Building";"PhotonCannon";NA;125;0
"Building";"PhotonCannon";NA;125;0
"Unit";"Immortal";"Robotics Facility";125;4
"Unit";"Immortal";"Robotics Facility";125;4
"Unit";"Immortal";"Robotics Facility";132;4
"Building";"Assimilator";NA;133;0
"Building";"Assimilator";NA;137;0
"Building";"PhotonCannon";NA;133;0
"Building";"PhotonCannon";NA;137;0
"Building";"Pylon";NA;141;0
"Unit";"Immortal";"Robotics Facility";133;4
"Unit";"Immortal";"Robotics Facility";141;4
"Building";"TemplarArchive";NA;145;0
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";153;2
"Building";"Pylon";NA;149;0
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";153;2
"Unit";"Immortal";"Robotics Facility";145;4
"Unit";"Immortal";"Robotics Facility";149;4
"Unit";"Zealot";"Gateway";177;2
"Unit";"Zealot";"Gateway";177;2
"Unit";"Zealot";"Gateway";177;2
"Unit";"Zealot";"Gateway";177;2
"Unit";"Zealot";"Gateway";177;2
"Unit";"Zealot";"Gateway";177;2
"Unit";"Zealot";"Gateway";177;2
