"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;22;0
"Building";"Assimilator";NA;21;0
"Building";"CyberneticsCore";NA;20;0
"Unit";"Stalker";"Gateway";23;2
"Building";"Nexus";NA;20;0
"Unit";"Stalker";"Gateway";24;2
"Building";"TwilightCouncil";NA;24;0
"Unit";"Stalker";"Gateway";29;2
"Building";"Pylon";NA;34;0
"Unit";"Stalker";"Gateway";39;2
"Building";"ShieldBattery";NA;41;0
"Building";"Assimilator";NA;47;0
"Unit";"Stalker";"Gateway";51;2
"Building";"Gateway";NA;46;0
"Building";"Gateway";NA;47;0
"Building";"Pylon";NA;52;0
"Building";"RoboticsFacility";NA;49;0
"Building";"Pylon";NA;54;0
"Unit";"Sentry";"Gateway";54;2
"Unit";"Sentry";"Gateway";54;2
"Unit";"Sentry";"Gateway";54;2
"Building";"Pylon";NA;54;0
"Building";"Forge";NA;54;0
"Building";"Forge";NA;54;0
"Unit";"Observer";"Robotics Facility";54;1
"Unit";"Stalker";"Gateway";61;2
"Unit";"Stalker";"Gateway";61;2
"Unit";"Stalker";"Gateway";61;2
"Building";"Nexus";NA;52;0
"Building";"Gateway";NA;54;0
"Building";"Gateway";NA;54;0
"Building";"Gateway";NA;54;0
"Unit";"Zealot";"Gateway";72;2
"Unit";"Zealot";"Gateway";72;2
"Unit";"Zealot";"Gateway";72;2
"Unit";"Zealot";"Gateway";72;2
"Unit";"Zealot";"Gateway";72;2
"Unit";"Stalker";"Gateway";84;2
"Unit";"Stalker";"Gateway";87;2
"Unit";"Stalker";"Gateway";87;2
"Unit";"Stalker";"Gateway";87;2
"Unit";"Stalker";"Gateway";87;2
"Unit";"Stalker";"Gateway";87;2
"Unit";"Stalker";"Gateway";97;2
"Unit";"Stalker";"Gateway";105;2
"Unit";"Stalker";"Gateway";105;2
"Unit";"Zealot";"Gateway";105;2
"Unit";"Sentry";"Gateway";105;2
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";71;0
"Upgrade";"ProtossGroundArmorsLevel1";"Forge";71;0
"Building";"Assimilator";NA;102;0
"Upgrade";"Charge";"TwilightCouncil";87;0
"Building";"Pylon";NA;115;0
"Building";"Gateway";NA;99;0
"Building";"Gateway";NA;99;0
"Building";"Assimilator";NA;116;0
"Building";"Gateway";NA;101;0
"Building";"Assimilator";NA;116;0
"Building";"Gateway";NA;102;0
"Building";"Gateway";NA;102;0
"Unit";"Immortal";"Robotics Facility";115;4
"Building";"Pylon";NA;118;0
"Building";"Pylon";NA;118;0
"Unit";"Stalker";"Gateway";125;2
"Unit";"Stalker";"Gateway";125;2
"Unit";"Stalker";"Gateway";125;2
"Unit";"Stalker";"Gateway";125;2
"Unit";"Stalker";"Gateway";125;2
"Building";"Pylon";NA;118;0
"Building";"Pylon";NA;136;0
"Building";"Pylon";NA;136;0
"Building";"Pylon";NA;136;0
"Unit";"Stalker";"Gateway";139;2
"Unit";"Stalker";"Gateway";139;2
"Unit";"Zealot";"Gateway";139;2
"Unit";"Zealot";"Gateway";139;2
"Unit";"Zealot";"Gateway";139;2
"Unit";"Zealot";"Gateway";139;2
"Unit";"Zealot";"Gateway";139;2
"Unit";"Zealot";"Gateway";139;2
"Unit";"Zealot";"Gateway";139;2
"Unit";"Zealot";"Gateway";139;2
