"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;14;0
"Building";"Pylon";NA;20;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;19;0
"Unit";"Zealot";"Gateway";20;2
"Unit";"Stalker";"Gateway";21;2
"Building";"Pylon";NA;24;0
"Building";"Gateway";NA;21;0
"Unit";"Stalker";"Gateway";26;2
"Unit";"Stalker";"Gateway";26;2
"Unit";"Stalker";"Gateway";26;2
"Building";"Gateway";NA;26;0
"Building";"Pylon";NA;32;0
"Building";"Gateway";NA;28;0
"Unit";"Sentry";"Gateway";32;2
"Unit";"Sentry";"Gateway";32;2
"Unit";"Adept";"Gateway";32;2
"Unit";"Adept";"Gateway";32;2
"Building";"Nexus";NA;32;0
"Unit";"Stalker";"Gateway";43;2
"Unit";"Stalker";"Gateway";43;2
"Unit";"Stalker";"Gateway";43;2
"Unit";"Stalker";"Gateway";50;2
"Building";"RoboticsFacility";NA;40;0
"Unit";"Stalker";"Gateway";52;2
"Unit";"Observer";"Robotics Facility";52;1
"Unit";"Stalker";"Gateway";60;2
"Unit";"Stalker";"Gateway";61;2
"Unit";"Stalker";"Gateway";65;2
"Unit";"Observer";"Robotics Facility";65;1
"Unit";"Stalker";"Gateway";72;2
"Building";"Pylon";NA;72;0
"Building";"Pylon";NA;72;0
"Unit";"Stalker";"Gateway";76;2
"Unit";"Stalker";"Gateway";84;2
"Unit";"Stalker";"Gateway";84;2
"Unit";"Stalker";"Gateway";84;2
