"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Pylon";NA;21;0
"Unit";"Adept";"Gateway";22;2
"Building";"Nexus";NA;19;0
"Unit";"Adept";"Gateway";24;2
"Building";"Stargate";NA;23;0
"Unit";"Oracle";"Stargate";31;3
"Building";"Pylon";NA;36;0
"Unit";"Oracle";"Stargate";41;3
"Building";"Nexus";NA;35;0
"Building";"Assimilator";NA;50;0
"Unit";"Zealot";"Gateway";52;2
"Building";"Assimilator";NA;51;0
"Building";"Pylon";NA;51;0
"Unit";"Phoenix";"Stargate";51;2
"Building";"Forge";NA;50;0
"Building";"TwilightCouncil";NA;47;0
"Building";"Gateway";NA;46;0
"Building";"Gateway";NA;46;0
"Unit";"Sentry";"Gateway";64;2
"Building";"OracleStasisTrap";NA;69;0
"Building";"OracleStasisTrap";NA;69;0
"Unit";"Zealot";"Gateway";71;2
"Unit";"Zealot";"Gateway";71;2
"Building";"OracleStasisTrap";NA;77;0
"Unit";"Zealot";"Gateway";77;2
"Building";"OracleStasisTrap";NA;80;0
"Building";"Pylon";NA;79;0
"Building";"ShieldBattery";NA;77;0
"Building";"Gateway";NA;69;0
"Building";"Gateway";NA;69;0
"Building";"Pylon";NA;80;0
"Building";"Gateway";NA;70;0
"Unit";"Zealot";"Gateway";81;2
"Unit";"Zealot";"Gateway";81;2
"Unit";"Zealot";"Gateway";81;2
"Building";"Pylon";NA;81;0
"Unit";"Sentry";"Gateway";90;2
"Upgrade";"Charge";"TwilightCouncil";68;0
"Building";"Pylon";NA;90;0
"Building";"TemplarArchive";NA;81;0
"Building";"Pylon";NA;90;0
"Unit";"Zealot";"Gateway";92;2
"Unit";"Zealot";"Gateway";92;2
"Unit";"Zealot";"Gateway";92;2
"Unit";"Zealot";"Gateway";92;2
"Unit";"Zealot";"Gateway";92;2
"Upgrade";"ProtossGroundArmorsLevel1";"Forge";69;0
"Building";"Gateway";NA;81;0
"Building";"Gateway";NA;81;0
"Unit";"Phoenix";"Stargate";92;2
"Building";"RoboticsFacility";NA;90;0
"Building";"Assimilator";NA;102;0
"Building";"Pylon";NA;102;0
"Building";"HighTemplar";NA;106;0
"Building";"HighTemplar";NA;107;0
"Building";"Assimilator";NA;102;0
"Building";"HighTemplar";NA;107;0
"Unit";"Zealot";"Gateway";107;2
"Unit";"Zealot";"Gateway";107;2
"Unit";"Zealot";"Gateway";107;2
"Building";"Pylon";NA;106;0
"Unit";"Zealot";"Gateway";107;2
"Building";"Pylon";NA;106;0
"Unit";"Phoenix";"Stargate";106;2
"Building";"HighTemplar";NA;116;0
"Building";"Pylon";NA;116;0
"Building";"Pylon";NA;116;0
"Building";"Pylon";NA;118;0
"Unit";"Zealot";"Gateway";119;2
"Unit";"Zealot";"Gateway";119;2
"Unit";"Zealot";"Gateway";119;2
"Unit";"Zealot";"Gateway";119;2
"Unit";"Zealot";"Gateway";119;2
"Unit";"Zealot";"Gateway";119;2
"Unit";"Stalker";"Gateway";131;2
"Unit";"Immortal";"Robotics Facility";116;4
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";106;0
"Unit";"Stalker";"Gateway";138;2
"Unit";"Stalker";"Gateway";138;2
"Unit";"Stalker";"Gateway";138;2
