"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;15;0
"Building";"Gateway";NA;14;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Pylon";NA;21;0
"Building";"Nexus";NA;19;0
"Unit";"Adept";"Gateway";22;2
"Building";"ShieldBattery";NA;23;0
"Building";"Stargate";NA;23;0
"Unit";"Adept";"Gateway";28;2
"Building";"Gateway";NA;23;0
"Building";"Pylon";NA;31;0
"Unit";"Oracle";"Stargate";30;3
"Unit";"Adept";"Gateway";34;2
"Unit";"Oracle";"Stargate";36;3
"Building";"Pylon";NA;47;0
"Building";"Assimilator";NA;50;0
"Building";"Gateway";NA;45;0
"Unit";"Phoenix";"Stargate";50;2
"Building";"Assimilator";NA;50;0
"Building";"Pylon";NA;51;0
"Unit";"Sentry";"Gateway";57;2
"Unit";"Sentry";"Gateway";57;2
"Building";"Pylon";NA;55;0
"Unit";"Sentry";"Gateway";57;2
"Building";"Nexus";NA;46;0
"Building";"Forge";NA;56;0
"Building";"Forge";NA;57;0
"Building";"Pylon";NA;64;0
"Building";"RoboticsFacility";NA;55;0
"Building";"Gateway";NA;64;0
"Unit";"Observer";"Robotics Facility";64;1
"Building";"Gateway";NA;64;0
"Building";"OracleStasisTrap";NA;71;0
"Building";"Pylon";NA;67;0
"Unit";"Stalker";"Gateway";71;2
"Unit";"Stalker";"Gateway";71;2
"Unit";"Stalker";"Gateway";71;2
"Building";"Pylon";NA;71;0
"Building";"ShieldBattery";NA;67;0
"Building";"RoboticsBay";NA;64;0
"Unit";"Stalker";"Gateway";80;2
"Unit";"Stalker";"Gateway";80;2
"Unit";"Immortal";"Robotics Facility";67;4
"Unit";"Stalker";"Gateway";92;2
"Unit";"Stalker";"Gateway";92;2
"Unit";"Stalker";"Gateway";92;2
"Unit";"Stalker";"Gateway";92;2
"Building";"OracleStasisTrap";NA;100;0
"Unit";"Phoenix";"Stargate";89;2
"Building";"Pylon";NA;100;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";71;0
"Unit";"Colossus";"Robotics Facility";85;6
"Building";"PhotonCannon";NA;92;0
"Upgrade";"ProtossGroundArmorsLevel1";"Forge";71;0
"Building";"Assimilator";NA;103;0
"Building";"ShieldBattery";NA;100;0
"Building";"Assimilator";NA;105;0
"Unit";"Stalker";"Gateway";116;2
"Building";"TwilightCouncil";NA;106;0
"Unit";"Stalker";"Gateway";118;2
"Unit";"Stalker";"Gateway";118;2
"Unit";"Stalker";"Gateway";118;2
"Unit";"Colossus";"Robotics Facility";105;6
"Building";"Pylon";NA;131;0
"Building";"Pylon";NA;131;0
"Building";"Pylon";NA;131;0
"Unit";"Stalker";"Gateway";131;2
"Unit";"Observer";"Robotics Facility";131;1
