"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;18;0
"Building";"CyberneticsCore";NA;19;0
"Unit";"Stalker";"Gateway";22;2
"Building";"Assimilator";NA;23;0
"Building";"Nexus";NA;22;0
"Unit";"Stalker";"Gateway";28;2
"Building";"RoboticsFacility";NA;27;0
"Unit";"Sentry";"Gateway";31;2
"Building";"Gateway";NA;28;0
"Building";"ShieldBattery";NA;29;0
"Unit";"Observer";"Robotics Facility";33;1
"Building";"Gateway";NA;29;0
"Building";"Pylon";NA;35;0
"Building";"Pylon";NA;36;0
"Unit";"Observer";"Robotics Facility";40;1
"Unit";"Stalker";"Gateway";44;2
"Unit";"Stalker";"Gateway";44;2
"Unit";"Stalker";"Gateway";44;2
"Building";"Pylon";NA;42;0
"Building";"Pylon";NA;54;0
"Unit";"Stalker";"Gateway";56;2
"Unit";"Immortal";"Robotics Facility";52;4
"Building";"Assimilator";NA;54;0
"Building";"Assimilator";NA;54;0
"Building";"TwilightCouncil";NA;54;0
"Unit";"Stalker";"Gateway";68;2
"Unit";"Stalker";"Gateway";68;2
"Unit";"Stalker";"Gateway";68;2
"Building";"Pylon";NA;68;0
"Building";"Nexus";NA;54;0
"Building";"Pylon";NA;76;0
"Unit";"Zealot";"Gateway";76;2
"Unit";"Zealot";"Gateway";76;2
"Unit";"Zealot";"Gateway";76;2
"Building";"Forge";NA;76;0
"Building";"Gateway";NA;76;0
"Building";"Gateway";NA;76;0
"Building";"Gateway";NA;76;0
"Building";"Gateway";NA;76;0
"Unit";"Zealot";"Gateway";82;2
"Unit";"Zealot";"Gateway";82;2
"Unit";"Zealot";"Gateway";82;2
"Upgrade";"Charge";"TwilightCouncil";76;0
"Unit";"Zealot";"Gateway";91;2
"Unit";"Zealot";"Gateway";91;2
"Unit";"Zealot";"Gateway";91;2
"Unit";"Zealot";"Gateway";91;2
"Unit";"Sentry";"Gateway";102;2
"Unit";"Sentry";"Gateway";102;2
"Unit";"Zealot";"Gateway";102;2
"Unit";"Immortal";"Robotics Facility";82;4
"Unit";"Zealot";"Gateway";115;2
"Unit";"Zealot";"Gateway";117;2
"Unit";"Zealot";"Gateway";117;2
"Building";"Pylon";NA;113;0
"Building";"Assimilator";NA;109;0
"Building";"TemplarArchive";NA;99;0
"Building";"Assimilator";NA;115;0
"Unit";"Zealot";"Gateway";123;2
"Unit";"Zealot";"Gateway";123;2
"Unit";"Zealot";"Gateway";123;2
"Building";"Pylon";NA;117;0
"Building";"Pylon";NA;123;0
"Building";"HighTemplar";NA;129;0
"Building";"HighTemplar";NA;129;0
"Building";"HighTemplar";NA;129;0
"Building";"Pylon";NA;123;0
"Building";"HighTemplar";NA;129;0
"Unit";"Archon";"High Templar";129;0
"Unit";"Archon";"High Templar";129;0
"Unit";"Zealot";"Gateway";129;2
"Unit";"Zealot";"Gateway";129;2
"Unit";"Zealot";"Gateway";129;2
"Upgrade";"ProtossGroundArmorsLevel1";"Forge";91;0
"Building";"HighTemplar";NA;135;0
"Building";"HighTemplar";NA;135;0
"Building";"HighTemplar";NA;135;0
"Building";"HighTemplar";NA;135;0
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";141;2
"Unit";"Zealot";"Gateway";141;2
"Unit";"Zealot";"Gateway";141;2
"Unit";"Immortal";"Robotics Facility";135;4
"Unit";"Zealot";"Gateway";141;2
"Building";"Pylon";NA;141;0
"Building";"Pylon";NA;141;0
"Building";"Pylon";NA;141;0
"Building";"Pylon";NA;153;0
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";153;2
"Unit";"Zealot";"Gateway";153;2
