"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;17
"Building";"Nexus";NA;20
"Building";"CyberneticsCore";NA;21
"Building";"Pylon";NA;22
"Building";"Assimilator";NA;22
"Unit";"Stalker";"Gateway";23
"Building";"TwilightCouncil";NA;27
"Unit";"Stalker";"Gateway";30
"Building";"Pylon";NA;35
"Unit";"Stalker";"Gateway";35
"Building";"ShieldBattery";NA;38
"Unit";"Stalker";"Gateway";39
"Building";"Gateway";NA;44
"Building";"Gateway";NA;44
"Building";"RoboticsFacility";NA;46
"Building";"Assimilator";NA;46
"Building";"Pylon";NA;48
"Building";"Assimilator";NA;48
"Unit";"Stalker";"Gateway";48
"Unit";"Observer";"Robotics Facility";56
"Unit";"Stalker";"Gateway";57
"Unit";"Stalker";"Gateway";59
"Unit";"Stalker";"Gateway";61
"Building";"RoboticsBay";NA;63
"Building";"Pylon";NA;64
"Building";"Pylon";NA;64
"Unit";"Observer";"Robotics Facility";64
"Building";"Nexus";NA;67
"Unit";"Observer";"Robotics Facility";69
"Building";"Gateway";NA;70
"Building";"Gateway";NA;70
"Unit";"Disruptor";"Robotics Facility";71
"Building";"Gateway";NA;74
"Unit";"Stalker";"Gateway";75
"Unit";"Stalker";"Gateway";77
"Unit";"Stalker";"Gateway";79
"Building";"Pylon";NA;81
"Building";"Pylon";NA;81
"Unit";"Disruptor";"Robotics Facility";81
"Building";"Pylon";NA;86
"Unit";"Disruptor";"Robotics Facility";88
"Building";"Gateway";NA;92
"Building";"Gateway";NA;92
"Building";"Pylon";NA;92
"Unit";"Stalker";"Gateway";95
"Unit";"Stalker";"Gateway";97
"Unit";"Disruptor";"Robotics Facility";99
"Unit";"Stalker";"Gateway";105
"Unit";"Stalker";"Gateway";107
"Unit";"Stalker";"Gateway";109
"Unit";"Stalker";"Gateway";111
"Unit";"Stalker";"Gateway";114
"Unit";"Stalker";"Gateway";116
"Unit";"Disruptor";"Robotics Facility";118
"Building";"Pylon";NA;122
"Unit";"Stalker";"Gateway";122
"Unit";"Stalker";"Gateway";124
"Building";"Forge";NA;126
"Building";"Pylon";NA;126
"Building";"Nexus";NA;126
"Building";"Pylon";NA;126
"Building";"Pylon";NA;126
"Unit";"Disruptor";"Robotics Facility";126
"Building";"Pylon";NA;129
"Building";"Pylon";NA;129
"Upgrade";"Charge";"TwilightCouncil";129
"Unit";"Disruptor";"Robotics Facility";129
"Unit";"Stalker";"Gateway";132
"Unit";"Stalker";"Gateway";134
"Unit";"Stalker";"Gateway";136
"Unit";"Stalker";"Gateway";138
"Unit";"Stalker";"Gateway";140
"Unit";"Stalker";"Gateway";142
"Building";"ShieldBattery";NA;144
"Building";"Assimilator";NA;144
"Building";"ShieldBattery";NA;144
"Building";"Assimilator";NA;144
"Unit";"Zealot";"Gateway";144
"Unit";"Zealot";"Gateway";146
"Unit";"Zealot";"Gateway";148
"Unit";"Zealot";"Gateway";150
"Unit";"Zealot";"Gateway";152
"Unit";"Zealot";"Gateway";154
"Unit";"Zealot";"Gateway";156
"Unit";"Zealot";"Gateway";158
"Unit";"Observer";"Robotics Facility";160
"Building";"PhotonCannon";NA;165
"Unit";"Zealot";"Gateway";166
"Building";"Forge";NA;168
"Unit";"Adept";"Gateway";168
"Unit";"Adept";"Gateway";170
"Unit";"Adept";"Gateway";172
"Unit";"Adept";"Gateway";174
"Unit";"Adept";"Gateway";176
"Unit";"Adept";"Gateway";178
"Unit";"Adept";"Gateway";180
"Unit";"Stalker";"Gateway";183
"Unit";"Stalker";"Gateway";185
"Unit";"Stalker";"Gateway";187
"Unit";"Stalker";"Gateway";189
"Unit";"Stalker";"Gateway";191
"Unit";"Stalker";"Gateway";193
"Unit";"Disruptor";"Robotics Facility";197
"Unit";"Zealot";"Gateway";200
"Unit";"Zealot";"Gateway";202
"Unit";"Zealot";"Gateway";204
"Unit";"Zealot";"Gateway";206
"Unit";"Zealot";"Gateway";208
"Unit";"Zealot";"Gateway";210
"Unit";"Zealot";"Gateway";212
"Unit";"Stalker";"Gateway";214
