"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;14;0
"Building";"Assimilator";NA;15;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;21;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;21;0
"Unit";"Adept";"Gateway";23;2
"Building";"Nexus";NA;20;0
"Building";"RoboticsFacility";NA;23;0
"Unit";"Adept";"Gateway";26;2
"Unit";"Adept";"Gateway";33;2
"Building";"RoboticsBay";NA;29;0
"Building";"Pylon";NA;35;0
"Building";"Pylon";NA;41;0
"Unit";"Colossus";"Robotics Facility";38;6
"Building";"Gateway";NA;41;0
"Building";"Gateway";NA;41;0
"Unit";"Stalker";"Gateway";52;2
"Unit";"Stalker";"Gateway";52;2
"Building";"Assimilator";NA;57;0
"Unit";"Colossus";"Robotics Facility";50;6
"Building";"Pylon";NA;57;0
"Building";"Pylon";NA;58;0
"Building";"Assimilator";NA;57;0
"Unit";"Stalker";"Gateway";65;2
"Unit";"Stalker";"Gateway";65;2
"Unit";"Stalker";"Gateway";65;2
"Upgrade";"ExtendedThermalLance";"RoboticsBay";57;0
"Unit";"Stalker";"Gateway";79;2
"Unit";"Stalker";"Gateway";79;2
"Unit";"Stalker";"Gateway";79;2
"Building";"Pylon";NA;93;0
"Unit";"Sentry";"Gateway";96;2
"Unit";"Sentry";"Gateway";96;2
"Unit";"Sentry";"Gateway";96;2
"Building";"TwilightCouncil";NA;91;0
"Building";"Pylon";NA;96;0
"Building";"Pylon";NA;103;0
"Building";"Nexus";NA;91;0
"Unit";"Colossus";"Robotics Facility";103;6
"Building";"Assimilator";NA;108;0
"Building";"Assimilator";NA;111;0
"Building";"DarkShrine";NA;104;0
"Upgrade";"Charge";"TwilightCouncil";106;0
"Unit";"Colossus";"Robotics Facility";111;6
"Building";"DarkTemplar";NA;130;0
"Building";"DarkTemplar";NA;130;0
"Building";"DarkTemplar";NA;130;0
"Building";"Forge";NA;127;0
"Building";"Forge";NA;127;0
"Building";"Pylon";NA;141;0
"Building";"Pylon";NA;141;0
"Building";"DarkTemplar";NA;143;0
"Building";"DarkTemplar";NA;143;0
"Unit";"Zealot";"Gateway";145;2
"Unit";"Colossus";"Robotics Facility";138;6
"Unit";"Stalker";"Gateway";163;2
"Unit";"Stalker";"Gateway";163;2
"Unit";"Stalker";"Gateway";163;2
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";145;0
"Upgrade";"ProtossGroundArmorsLevel1";"Forge";145;0
"Building";"DarkShrine";NA;149;0
"Building";"DarkTemplar";NA;174;0
"Building";"DarkTemplar";NA;174;0
"Building";"DarkTemplar";NA;174;0
"Unit";"Colossus";"Robotics Facility";169;6
"Building";"Gateway";NA;171;0
"Building";"Gateway";NA;171;0
"Building";"DarkTemplar";NA;186;0
"Building";"DarkTemplar";NA;186;0
"Building";"DarkTemplar";NA;187;0
"Building";"DarkTemplar";NA;188;0
"Building";"DarkTemplar";NA;189;0
"Building";"Pylon";NA;189;0
"Building";"Pylon";NA;190;0
"Building";"Pylon";NA;190;0
"Building";"Pylon";NA;190;0
"Building";"DarkTemplar";NA;192;0
"Building";"DarkTemplar";NA;192;0
"Building";"DarkTemplar";NA;192;0
"Building";"DarkTemplar";NA;192;0
"Building";"DarkTemplar";NA;192;0
"Unit";"Colossus";"Robotics Facility";186;6
"Unit";"Phoenix";"Stargate";190;2
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";174;0
"Upgrade";"ProtossGroundArmorsLevel2";"Forge";174;0
"Building";"DarkTemplar";NA;202;0
"Building";"DarkTemplar";NA;202;0
"Building";"DarkTemplar";NA;202;0
"Building";"DarkTemplar";NA;202;0
"Unit";"Colossus";"Robotics Facility";192;6
