"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;15;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;18;0
"Building";"Pylon";NA;19;0
"Building";"CyberneticsCore";NA;19;0
"Unit";"Stalker";"Gateway";21;2
"Unit";"Stalker";"Gateway";24;2
"Building";"Stargate";NA;23;0
"Building";"Pylon";NA;27;0
"Unit";"Stalker";"Gateway";27;2
"Unit";"Phoenix";"Stargate";30;2
"Building";"Nexus";NA;24;0
"Building";"ShieldBattery";NA;30;0
"Unit";"Phoenix";"Stargate";35;2
"Unit";"Stalker";"Gateway";33;2
"Unit";"Phoenix";"Stargate";38;2
"Unit";"Phoenix";"Stargate";44;2
"Unit";"Stalker";"Gateway";51;2
"Building";"Assimilator";NA;52;0
"Building";"Assimilator";NA;54;0
"Building";"RoboticsFacility";NA;47;0
"Building";"Pylon";NA;57;0
"Unit";"Phoenix";"Stargate";56;2
"Building";"Pylon";NA;57;0
"Building";"Pylon";NA;57;0
"Building";"ShieldBattery";NA;57;0
"Unit";"Observer";"Robotics Facility";58;1
"Unit";"Stalker";"Gateway";64;2
"Building";"Forge";NA;61;0
"Building";"TwilightCouncil";NA;61;0
"Building";"Pylon";NA;67;0
"Building";"Pylon";NA;68;0
"Unit";"Immortal";"Robotics Facility";64;4
"Building";"RoboticsBay";NA;68;0
"Unit";"Immortal";"Robotics Facility";73;4
"Unit";"Sentry";"Gateway";82;2
"Unit";"Oracle";"Stargate";76;3
"Building";"Pylon";NA;88;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";69;0
"Unit";"Immortal";"Robotics Facility";78;4
"Unit";"Zealot";"Gateway";88;2
"Upgrade";"Charge";"TwilightCouncil";75;0
"Building";"Gateway";NA;77;0
"Building";"Gateway";NA;78;0
"Building";"Gateway";NA;78;0
"Building";"Nexus";NA;76;0
"Unit";"Zealot";"Gateway";95;2
"Unit";"Immortal";"Robotics Facility";92;4
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";101;2
"Building";"Gateway";NA;94;0
"Unit";"Phoenix";"Stargate";97;2
"Building";"Pylon";NA;107;0
"Unit";"Zealot";"Gateway";112;2
"Unit";"Zealot";"Gateway";112;2
"Unit";"Zealot";"Gateway";112;2
"Unit";"Zealot";"Gateway";112;2
"Unit";"Immortal";"Robotics Facility";97;4
"Building";"Pylon";NA;109;0
"Upgrade";"ProtossGroundArmorsLevel1";"Forge";95;0
"Building";"RoboticsFacility";NA;112;0
"Building";"Assimilator";NA;130;0
"Building";"Assimilator";NA;130;0
"Building";"Pylon";NA;133;0
"Unit";"Disruptor";"Robotics Facility";130;3
"Building";"PhotonCannon";NA;130;0
"Building";"PhotonCannon";NA;131;0
