"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Unit";"Zealot";"Gateway";20;2
"Building";"CyberneticsCore";NA;19;0
"Building";"Pylon";NA;21;0
"Unit";"Adept";"Gateway";21;2
"Building";"Nexus";NA;19;0
"Building";"Pylon";NA;28;0
"Unit";"Adept";"Gateway";27;2
"Building";"Stargate";NA;35;0
"Building";"Pylon";NA;45;0
"Unit";"Oracle";"Stargate";43;3
"Building";"Gateway";NA;41;0
"Building";"Gateway";NA;41;0
"Unit";"Adept";"Gateway";50;2
"Building";"Gateway";NA;41;0
"Building";"Pylon";NA;47;0
"Building";"Pylon";NA;47;0
"Unit";"Adept";"Gateway";54;2
"Unit";"Adept";"Gateway";56;2
"Unit";"Adept";"Gateway";56;2
"Unit";"Adept";"Gateway";60;2
"Unit";"Oracle";"Stargate";47;3
"Building";"TwilightCouncil";NA;47;0
"Unit";"Adept";"Gateway";67;2
"Unit";"Adept";"Gateway";67;2
"Unit";"Adept";"Gateway";67;2
"Unit";"Adept";"Gateway";73;2
"Unit";"Adept";"Gateway";76;2
"Unit";"Adept";"Gateway";76;2
"Unit";"Adept";"Gateway";76;2
"Building";"ShieldBattery";NA;73;0
"Building";"ShieldBattery";NA;73;0
"Unit";"Adept";"Gateway";84;2
"Unit";"Adept";"Gateway";87;2
"Unit";"Oracle";"Stargate";80;3
"Unit";"Adept";"Gateway";91;2
"Unit";"Adept";"Gateway";103;2
"Building";"Gateway";NA;96;0
"Unit";"Adept";"Gateway";107;2
"Unit";"Adept";"Gateway";107;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Adept";"Gateway";115;2
"Building";"Pylon";NA;123;0
"Unit";"Adept";"Gateway";124;2
"Unit";"Adept";"Gateway";124;2
"Unit";"Adept";"Gateway";124;2
"Unit";"Adept";"Gateway";124;2
"Unit";"Adept";"Gateway";134;2
"Unit";"Adept";"Gateway";134;2
"Unit";"Adept";"Gateway";134;2
"Unit";"Adept";"Gateway";134;2
"Unit";"Adept";"Gateway";146;2
"Unit";"Adept";"Gateway";146;2
"Unit";"Adept";"Gateway";146;2
"Unit";"Adept";"Gateway";146;2
"Building";"Nexus";NA;123;0
"Unit";"Phoenix";"Stargate";144;2
"Building";"ShieldBattery";NA;144;0
"Unit";"Adept";"Gateway";159;2
"Unit";"Adept";"Gateway";159;2
"Unit";"Adept";"Gateway";159;2
"Unit";"Adept";"Gateway";159;2
