"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;17
"Building";"Nexus";NA;20
"Building";"CyberneticsCore";NA;21
"Building";"Assimilator";NA;22
"Building";"Pylon";NA;23
"Unit";"Adept";"Gateway";23
"Building";"Stargate";NA;26
"Unit";"Stalker";"Gateway";28
"Unit";"Oracle";"Stargate";34
"Unit";"Adept";"Gateway";39
"Building";"Pylon";NA;44
"Building";"Gateway";NA;45
"Building";"Gateway";NA;47
"Building";"TwilightCouncil";NA;48
"Unit";"Oracle";"Stargate";49
"Building";"Pylon";NA;57
"Building";"Assimilator";NA;57
"Building";"Assimilator";NA;57
"Building";"Nexus";NA;59
"Building";"Pylon";NA;59
"Unit";"Phoenix";"Stargate";60
"Unit";"Adept";"Gateway";63
"Unit";"Adept";"Gateway";65
"Unit";"Adept";"Gateway";67
"Building";"Gateway";NA;69
"Building";"Gateway";NA;71
"Unit";"Adept";"Gateway";73
"Unit";"Adept";"Gateway";75
"Unit";"Adept";"Gateway";77
"Building";"Pylon";NA;80
"Building";"Pylon";NA;80
"Unit";"Adept";"Gateway";83
"Unit";"Adept";"Gateway";85
"Unit";"Adept";"Gateway";87
"Unit";"Adept";"Gateway";89
"Building";"Pylon";NA;94
"Building";"Assimilator";NA;94
"Building";"Assimilator";NA;95
"Unit";"Adept";"Gateway";95
"Building";"RoboticsFacility";NA;99
"Unit";"Adept";"Gateway";103
"Unit";"Adept";"Gateway";105
"Unit";"Adept";"Gateway";107
"Unit";"Adept";"Gateway";109
"Unit";"Adept";"Gateway";111
"Unit";"Adept";"Gateway";119
"Unit";"Adept";"Gateway";121
"Unit";"Adept";"Gateway";123
"Building";"RoboticsFacility";NA;126
"Unit";"Adept";"Gateway";127
"Unit";"Adept";"Gateway";129
"Unit";"Adept";"Gateway";134
"Unit";"Adept";"Gateway";136
"Unit";"Adept";"Gateway";140
"Unit";"Adept";"Gateway";142
"Building";"TemplarArchive";NA;144
"Building";"Gateway";NA;144
"Building";"Gateway";NA;145
"Building";"Gateway";NA;145
"Building";"Forge";NA;146
"Building";"Pylon";NA;146
"Building";"Pylon";NA;146
"Building";"Pylon";NA;146
"Unit";"Immortal";"Robotics Facility";146
"Unit";"Immortal";"Robotics Facility";150
"Building";"Nexus";NA;154
"Building";"Pylon";NA;154
"Building";"Pylon";NA;154
"Unit";"Adept";"Gateway";154
"Unit";"Adept";"Gateway";156
"Unit";"Adept";"Gateway";158
"Unit";"Adept";"Gateway";160
"Unit";"Adept";"Gateway";162
"Unit";"Adept";"Gateway";168
"Unit";"Adept";"Gateway";170
"Unit";"Adept";"Gateway";172
"Unit";"Adept";"Gateway";174
"Unit";"Adept";"Gateway";176
"Building";"Pylon";NA;179
"Building";"Pylon";NA;179
"Building";"Assimilator";NA;179
"Building";"Assimilator";NA;179
"Unit";"Adept";"Gateway";179
"Unit";"Adept";"Gateway";184
"Unit";"Adept";"Gateway";186
"Unit";"Adept";"Gateway";188
"Unit";"Adept";"Gateway";190
"Unit";"Adept";"Gateway";192
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";194
"Building";"HighTemplar";NA;194
"Building";"HighTemplar";NA;194
"Building";"HighTemplar";NA;194
"Building";"HighTemplar";NA;194
"Building";"HighTemplar";NA;194
"Building";"HighTemplar";NA;194
"Unit";"Immortal";"Robotics Facility";194
"Unit";"Immortal";"Robotics Facility";198
"Unit";"Archon";"High Templar";202
"Unit";"Archon";"High Templar";202
"Unit";"Archon";"High Templar";202
"Building";"HighTemplar";NA;202
"Building";"HighTemplar";NA;202
"Unit";"Immortal";"Robotics Facility";203
"Building";"HighTemplar";NA;207
"Building";"HighTemplar";NA;207
"Building";"HighTemplar";NA;207
"Building";"HighTemplar";NA;207
"Building";"HighTemplar";NA;207
"Building";"HighTemplar";NA;207
"Building";"Gateway";NA;207
"Unit";"Immortal";"Robotics Facility";207
"Building";"Gateway";NA;211
"Building";"Gateway";NA;211
"Building";"Gateway";NA;211
"Building";"PhotonCannon";NA;211
"Building";"PhotonCannon";NA;211
