"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;17
"Building";"Nexus";NA;19
"Building";"CyberneticsCore";NA;19
"Building";"Assimilator";NA;20
"Building";"Pylon";NA;22
"Unit";"Zealot";"Gateway";24
"Unit";"Stalker";"Gateway";28
"Building";"TwilightCouncil";NA;34
"Building";"RoboticsFacility";NA;36
"Building";"Pylon";NA;39
"Building";"DarkShrine";NA;41
"Building";"Gateway";NA;43
"Building";"Gateway";NA;43
"Building";"Gateway";NA;43
"Building";"Assimilator";NA;45
"Building";"Assimilator";NA;45
"Building";"Pylon";NA;45
"Building";"Pylon";NA;47
"Building";"Pylon";NA;49
"Unit";"Observer";"Robotics Facility";49
"Building";"DarkTemplar";NA;54
"Building";"DarkTemplar";NA;54
"Building";"DarkTemplar";NA;54
"Building";"DarkTemplar";NA;54
"Building";"Nexus";NA;54
"Building";"Pylon";NA;54
"Building";"Pylon";NA;54
"Unit";"Sentry";"Gateway";56
"Unit";"Sentry";"Gateway";58
"Building";"RoboticsBay";NA;61
"Building";"Forge";NA;61
"Building";"Gateway";NA;61
"Unit";"Immortal";"Robotics Facility";62
"Building";"Gateway";NA;68
"Building";"Gateway";NA;68
"Unit";"Stalker";"Gateway";69
"Unit";"Stalker";"Gateway";71
"Unit";"Stalker";"Gateway";73
"Unit";"Disruptor";"Robotics Facility";78
"Unit";"Stalker";"Gateway";82
"Unit";"Zealot";"Gateway";84
"Unit";"Zealot";"Gateway";86
"Building";"Pylon";NA;88
"Unit";"Stalker";"Gateway";88
"Unit";"Stalker";"Gateway";90
"Building";"Pylon";NA;92
"Building";"Pylon";NA;93
"Upgrade";"SprayProtoss";NA;94
"Upgrade";"SprayProtoss";NA;94
"Upgrade";"WarpGateResearch";NA;94
"Upgrade";"SprayProtoss";NA;94
"Upgrade";"SprayProtoss";NA;94
