"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;17
"Building";"Nexus";NA;19
"Building";"CyberneticsCore";NA;20
"Building";"Assimilator";NA;21
"Building";"Pylon";NA;22
"Unit";"Stalker";"Gateway";23
"Building";"TwilightCouncil";NA;26
"Unit";"Adept";"Gateway";28
"Building";"Pylon";NA;32
"Building";"RoboticsFacility";NA;35
"Unit";"Sentry";"Gateway";37
"Building";"Gateway";NA;41
"Building";"Gateway";NA;41
"Building";"Pylon";NA;43
"Building";"Pylon";NA;46
"Building";"Assimilator";NA;47
"Unit";"Adept";"Gateway";49
"Unit";"Adept";"Gateway";52
"Unit";"Immortal";"Robotics Facility";54
"Unit";"Sentry";"Gateway";58
"Building";"Pylon";NA;60
"Building";"Nexus";NA;60
"Building";"Pylon";NA;60
"Unit";"Sentry";"Gateway";60
"Unit";"Adept";"Gateway";62
"Unit";"Adept";"Gateway";64
"Unit";"Immortal";"Robotics Facility";66
"Building";"Gateway";NA;70
"Unit";"Sentry";"Gateway";70
"Unit";"Sentry";"Gateway";72
"Building";"Gateway";NA;74
"Building";"Gateway";NA;74
"Building";"Gateway";NA;74
"Building";"Gateway";NA;74
"Building";"Pylon";NA;74
"Unit";"Immortal";"Robotics Facility";74
"Unit";"Adept";"Gateway";78
"Building";"Pylon";NA;80
"Unit";"Adept";"Gateway";80
"Unit";"Adept";"Gateway";82
"Building";"Pylon";NA;85
"Unit";"Sentry";"Gateway";87
"Unit";"Sentry";"Gateway";89
"Unit";"Sentry";"Gateway";91
"Unit";"Adept";"Gateway";93
"Unit";"Adept";"Gateway";98
"Unit";"Adept";"Gateway";100
"Unit";"Adept";"Gateway";102
"Building";"Pylon";NA;104
"Unit";"Observer";"Robotics Facility";104
"Unit";"Adept";"Gateway";105
"Unit";"Adept";"Gateway";107
"Unit";"Adept";"Gateway";109
"Unit";"Adept";"Gateway";111
"Unit";"Adept";"Gateway";113
"Building";"Pylon";NA;116
"Building";"Pylon";NA;116
"Unit";"Adept";"Gateway";118
"Unit";"Adept";"Gateway";120
"Unit";"Adept";"Gateway";122
"Unit";"Adept";"Gateway";124
"Unit";"Adept";"Gateway";126
"Unit";"Adept";"Gateway";128
"Unit";"Adept";"Gateway";130
"Unit";"Adept";"Gateway";132
"Unit";"Adept";"Gateway";136
"Unit";"Adept";"Gateway";138
"Unit";"Adept";"Gateway";140
"Unit";"Adept";"Gateway";142
"Unit";"Adept";"Gateway";144
"Unit";"Adept";"Gateway";146
"Unit";"Adept";"Gateway";148
"Upgrade";"SprayProtoss";NA;150
"Upgrade";"SprayProtoss";NA;150
"Upgrade";"WarpGateResearch";NA;150
"Upgrade";"AdeptPiercingAttack";NA;150
"Upgrade";"SprayProtoss";NA;150
"Upgrade";"SprayProtoss";NA;150
