"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;14;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Pylon";NA;21;0
"Unit";"Adept";"Gateway";22;2
"Building";"Nexus";NA;20;0
"Building";"TwilightCouncil";NA;23;0
"Unit";"Adept";"Gateway";23;2
"Unit";"Adept";"Gateway";31;2
"Building";"Gateway";NA;28;0
"Building";"Pylon";NA;35;0
"Unit";"Adept";"Gateway";35;2
"Building";"Gateway";NA;33;0
"Unit";"Adept";"Gateway";44;2
"Unit";"Adept";"Gateway";44;2
"Building";"Pylon";NA;43;0
"Unit";"Adept";"Gateway";49;2
"Unit";"Adept";"Gateway";51;2
"Unit";"Adept";"Gateway";53;2
"Unit";"Sentry";"Gateway";57;2
"Building";"Pylon";NA;59;0
"Building";"Pylon";NA;62;0
"Building";"RoboticsFacility";NA;57;0
"Building";"Assimilator";NA;62;0
"Unit";"Adept";"Gateway";66;2
"Building";"Nexus";NA;57;0
"Unit";"Adept";"Gateway";66;2
"Building";"Assimilator";NA;62;0
"Unit";"Adept";"Gateway";66;2
"Building";"ShieldBattery";NA;62;0
"Building";"ShieldBattery";NA;62;0
"Building";"RoboticsFacility";NA;61;0
"Building";"TemplarArchive";NA;64;0
"Building";"HighTemplar";NA;76;0
"Building";"HighTemplar";NA;76;0
"Unit";"Immortal";"Robotics Facility";72;4
"Unit";"Immortal";"Robotics Facility";72;4
"Unit";"Archon";"High Templar";78;0
"Building";"ShieldBattery";NA;75;0
"Building";"HighTemplar";NA;92;0
"Unit";"Phoenix";"Stargate";89;2
"Building";"HighTemplar";NA;92;0
"Building";"Gateway";NA;76;0
"Unit";"Immortal";"Robotics Facility";87;4
"Unit";"Archon";"High Templar";94;0
"Building";"Assimilator";NA;92;0
"Building";"Forge";NA;89;0
"Building";"Assimilator";NA;92;0
"Building";"Gateway";NA;89;0
"Building";"Pylon";NA;100;0
"Building";"Gateway";NA;92;0
"Building";"PhotonCannon";NA;101;0
"Building";"PhotonCannon";NA;101;0
"Unit";"Immortal";"Robotics Facility";101;4
"Building";"Pylon";NA;105;0
"Building";"Pylon";NA;105;0
"Building";"Pylon";NA;105;0
"Building";"HighTemplar";NA;109;0
"Building";"HighTemplar";NA;109;0
"Building";"HighTemplar";NA;109;0
"Building";"HighTemplar";NA;109;0
"Unit";"Observer";"Robotics Facility";109;1
"Upgrade";"Charge";"TwilightCouncil";101;0
"Building";"HighTemplar";NA;113;0
"Building";"HighTemplar";NA;113;0
"Building";"Pylon";NA;109;0
"Unit";"Immortal";"Robotics Facility";105;4
"Building";"Pylon";NA;112;0
"Building";"Gateway";NA;105;0
"Building";"Gateway";NA;105;0
"Building";"Pylon";NA;113;0
"Unit";"Zealot";"Gateway";118;2
"Unit";"Zealot";"Gateway";118;2
"Unit";"Zealot";"Gateway";118;2
"Unit";"Archon";"High Templar";118;0
"Unit";"Zealot";"Gateway";118;2
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";104;0
"Building";"PhotonCannon";NA;118;0
"Building";"ShieldBattery";NA;118;0
