"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"Assimilator";NA;21;0
"Building";"Pylon";NA;22;0
"Building";"CyberneticsCore";NA;21;0
"Building";"Nexus";NA;20;0
"Unit";"Adept";"Gateway";24;2
"Building";"Forge";NA;24;0
"Building";"Gateway";NA;25;0
"Building";"ShieldBattery";NA;30;0
"Building";"Pylon";NA;30;0
"Building";"Stargate";NA;27;0
"Building";"Assimilator";NA;34;0
"Unit";"Sentry";"Gateway";34;2
"Building";"Pylon";NA;39;0
"Unit";"Oracle";"Stargate";35;3
"Building";"Assimilator";NA;39;0
"Building";"Pylon";NA;43;0
"Building";"RoboticsFacility";NA;43;0
"Unit";"Stalker";"Gateway";52;2
"Unit";"Stalker";"Gateway";53;2
"Building";"Gateway";NA;46;0
"Unit";"Oracle";"Stargate";48;3
"Building";"Pylon";NA;52;0
"Unit";"Observer";"Robotics Facility";53;1
"Building";"Pylon";NA;60;0
"Unit";"Adept";"Gateway";61;2
"Unit";"Immortal";"Robotics Facility";60;4
"Building";"Pylon";NA;61;0
"Building";"TwilightCouncil";NA;61;0
"Building";"ShieldBattery";NA;61;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";52;0
"Building";"Gateway";NA;61;0
"Unit";"Sentry";"Gateway";72;2
"Building";"Nexus";NA;60;0
"Unit";"Immortal";"Robotics Facility";65;4
"Building";"OracleStasisTrap";NA;80;0
"Building";"TemplarArchive";NA;72;0
"Building";"Gateway";NA;72;0
"Building";"Gateway";NA;72;0
"Building";"HighTemplar";NA;83;0
"Building";"OracleStasisTrap";NA;83;0
"Building";"Assimilator";NA;81;0
"Building";"Assimilator";NA;81;0
"Unit";"Immortal";"Robotics Facility";81;4
"Building";"Gateway";NA;80;0
"Building";"Gateway";NA;80;0
"Building";"HighTemplar";NA;85;0
"Building";"HighTemplar";NA;85;0
"Unit";"Zealot";"Gateway";85;2
"Building";"Pylon";NA;83;0
"Building";"HighTemplar";NA;91;0
"Unit";"Zealot";"Gateway";94;2
"Unit";"Zealot";"Gateway";94;2
"Upgrade";"Charge";"TwilightCouncil";80;0
"Building";"Gateway";NA;83;0
"Building";"PhotonCannon";NA;91;0
"Building";"ShieldBattery";NA;91;0
"Building";"Pylon";NA;94;0
"Building";"Pylon";NA;98;0
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";101;2
"Building";"Pylon";NA;99;0
"Building";"Pylon";NA;100;0
"Unit";"Archon";"High Templar";101;0
"Unit";"Archon";"High Templar";101;0
"Unit";"Zealot";"Gateway";109;2
"Unit";"Zealot";"Gateway";109;2
