"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;17;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;17;0
"Building";"Nexus";NA;17;0
"Building";"Gateway";NA;19;0
"Building";"Pylon";NA;22;0
"Building";"CyberneticsCore";NA;20;0
"Unit";"Adept";"Gateway";25;2
"Unit";"Stalker";"Gateway";25;2
"Building";"Stargate";NA;28;0
"Unit";"Sentry";"Gateway";35;2
"Building";"ShieldBattery";NA;35;0
"Unit";"Adept";"Gateway";37;2
"Building";"Assimilator";NA;37;0
"Building";"Assimilator";NA;37;0
"Building";"Pylon";NA;39;0
"Building";"Pylon";NA;46;0
"Unit";"Oracle";"Stargate";45;3
"Building";"Pylon";NA;47;0
"Building";"Pylon";NA;49;0
"Building";"TwilightCouncil";NA;47;0
"Unit";"Phoenix";"Stargate";51;2
"Building";"RoboticsFacility";NA;49;0
"Building";"TemplarArchive";NA;56;0
"Building";"Gateway";NA;56;0
"Building";"Gateway";NA;57;0
"Building";"Pylon";NA;64;0
"Building";"HighTemplar";NA;65;0
"Building";"HighTemplar";NA;65;0
"Building";"HighTemplar";NA;65;0
"Building";"HighTemplar";NA;65;0
"Unit";"Archon";"High Templar";65;0
"Unit";"Archon";"High Templar";65;0
"Unit";"Observer";"Robotics Facility";65;1
"Building";"Pylon";NA;65;0
"Building";"Pylon";NA;65;0
"Building";"Pylon";NA;66;0
"Building";"Gateway";NA;65;0
"Building";"Gateway";NA;65;0
"Building";"Gateway";NA;65;0
"Unit";"Zealot";"Gateway";69;2
"Unit";"Zealot";"Gateway";69;2
"Unit";"Zealot";"Gateway";69;2
"Unit";"Zealot";"Gateway";69;2
"Building";"Gateway";NA;65;0
"Upgrade";"Charge";"TwilightCouncil";64;0
"Unit";"Zealot";"Gateway";79;2
"Unit";"Zealot";"Gateway";79;2
"Unit";"Zealot";"Gateway";79;2
"Unit";"Zealot";"Gateway";79;2
"Unit";"Zealot";"Gateway";79;2
"Unit";"Zealot";"Gateway";79;2
"Unit";"Zealot";"Gateway";79;2
"Building";"Pylon";NA;94;0
"Building";"HighTemplar";NA;94;0
"Building";"HighTemplar";NA;94;0
"Building";"HighTemplar";NA;94;0
"Building";"HighTemplar";NA;94;0
"Unit";"Zealot";"Gateway";95;2
"Unit";"Zealot";"Gateway";95;2
"Unit";"Zealot";"Gateway";95;2
"Unit";"Zealot";"Gateway";95;2
"Building";"Pylon";NA;94;0
"Unit";"Immortal";"Robotics Facility";94;4
"Unit";"Zealot";"Gateway";103;2
"Unit";"Zealot";"Gateway";103;2
"Unit";"Zealot";"Gateway";103;2
"Unit";"Zealot";"Gateway";103;2
"Unit";"Zealot";"Gateway";103;2
"Unit";"Zealot";"Gateway";103;2
"Unit";"Zealot";"Gateway";103;2
"Building";"Nexus";NA;94;0
"Building";"RoboticsFacility";NA;103;0
"Building";"Pylon";NA;121;0
"Building";"Pylon";NA;123;0
"Building";"Pylon";NA;123;0
"Building";"Pylon";NA;124;0
"Building";"Assimilator";NA;124;0
"Building";"Assimilator";NA;124;0
"Building";"OracleStasisTrap";NA;128;0
"Building";"HighTemplar";NA;128;0
"Building";"HighTemplar";NA;128;0
"Building";"HighTemplar";NA;128;0
"Building";"HighTemplar";NA;128;0
"Building";"HighTemplar";NA;128;0
"Building";"HighTemplar";NA;128;0
"Unit";"Immortal";"Robotics Facility";123;4
"Unit";"Archon";"High Templar";128;0
"Unit";"Archon";"High Templar";128;0
"Building";"OracleStasisTrap";NA;133;0
"Unit";"Archon";"High Templar";132;0
"Unit";"Immortal";"Robotics Facility";124;4
"Building";"OracleStasisTrap";NA;137;0
"Unit";"Observer";"Robotics Facility";133;1
"Building";"OracleStasisTrap";NA;138;0
"Unit";"Zealot";"Gateway";138;2
"Unit";"Zealot";"Gateway";138;2
"Unit";"Zealot";"Gateway";138;2
"Unit";"Zealot";"Gateway";138;2
"Unit";"Zealot";"Gateway";138;2
"Unit";"Archon";"High Templar";138;0
"Unit";"Zealot";"Gateway";138;2
"Unit";"Zealot";"Gateway";138;2
"Unit";"Zealot";"Gateway";138;2
"Unit";"Archon";"High Templar";138;0
"Building";"HighTemplar";NA;154;0
"Building";"HighTemplar";NA;154;0
"Building";"HighTemplar";NA;154;0
"Building";"HighTemplar";NA;154;0
"Building";"HighTemplar";NA;154;0
"Building";"HighTemplar";NA;154;0
"Building";"HighTemplar";NA;154;0
