"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;15;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;19;0
"Building";"CyberneticsCore";NA;19;0
"Unit";"Zealot";"Gateway";20;2
"Building";"Pylon";NA;21;0
"Building";"Nexus";NA;19;0
"Unit";"Adept";"Gateway";23;2
"Building";"Stargate";NA;25;0
"Building";"Pylon";NA;32;0
"Unit";"Sentry";"Gateway";35;2
"Unit";"Oracle";"Stargate";34;3
"Building";"Assimilator";NA;38;0
"Unit";"Phoenix";"Stargate";41;2
"Building";"Gateway";NA;36;0
"Building";"Gateway";NA;36;0
"Building";"TwilightCouncil";NA;38;0
"Building";"Pylon";NA;47;0
"Unit";"Adept";"Gateway";52;2
"Unit";"Adept";"Gateway";53;2
"Unit";"Adept";"Gateway";53;2
"Building";"Pylon";NA;51;0
"Building";"Pylon";NA;59;0
"Unit";"Adept";"Gateway";61;2
"Unit";"Adept";"Gateway";61;2
"Unit";"Adept";"Gateway";61;2
"Unit";"Phoenix";"Stargate";60;2
"Building";"Pylon";NA;61;0
"Unit";"Adept";"Gateway";70;2
"Unit";"Adept";"Gateway";70;2
"Unit";"Adept";"Gateway";70;2
"Building";"Pylon";NA;68;0
"Building";"Pylon";NA;76;0
"Building";"Pylon";NA;77;0
"Unit";"Adept";"Gateway";83;2
"Unit";"Adept";"Gateway";83;2
"Unit";"Adept";"Gateway";83;2
"Building";"Nexus";NA;77;0
"Unit";"Zealot";"Gateway";95;2
"Unit";"Zealot";"Gateway";95;2
"Unit";"Zealot";"Gateway";95;2
"Building";"Assimilator";NA;93;0
"Building";"RoboticsFacility";NA;91;0
"Building";"RoboticsFacility";NA;91;0
"Unit";"Sentry";"Gateway";108;2
"Unit";"Sentry";"Gateway";108;2
"Unit";"Sentry";"Gateway";108;2
"Building";"Gateway";NA;95;0
"Building";"Gateway";NA;95;0
"Building";"Gateway";NA;95;0
"Unit";"Immortal";"Robotics Facility";103;4
"Building";"Pylon";NA;108;0
"Building";"Gateway";NA;101;0
"Unit";"Immortal";"Robotics Facility";103;4
"Building";"Assimilator";NA;108;0
"Building";"Gateway";NA;103;0
"Building";"Assimilator";NA;108;0
"Building";"Pylon";NA;124;0
"Unit";"Zealot";"Gateway";127;2
"Unit";"Zealot";"Gateway";127;2
"Unit";"Zealot";"Gateway";127;2
"Unit";"Zealot";"Gateway";127;2
"Unit";"Zealot";"Gateway";127;2
"Unit";"Zealot";"Gateway";127;2
"Unit";"Zealot";"Gateway";127;2
"Unit";"Zealot";"Gateway";127;2
"Unit";"Immortal";"Robotics Facility";116;4
"Unit";"Immortal";"Robotics Facility";116;4
"Unit";"Observer";"Robotics Facility";127;1
"Upgrade";"Charge";"TwilightCouncil";106;0
"Building";"TemplarArchive";NA;127;0
"Building";"Forge";NA;127;0
"Building";"HighTemplar";NA;153;0
"Building";"HighTemplar";NA;153;0
"Building";"Pylon";NA;153;0
"Building";"Pylon";NA;153;0
"Building";"Pylon";NA;153;0
"Building";"Pylon";NA;153;0
"Building";"HighTemplar";NA;154;0
"Building";"HighTemplar";NA;154;0
"Building";"HighTemplar";NA;154;0
"Building";"HighTemplar";NA;154;0
"Building";"HighTemplar";NA;154;0
"Building";"Pylon";NA;154;0
"Building";"HighTemplar";NA;154;0
"Building";"Pylon";NA;154;0
"Unit";"Archon";"High Templar";154;0
"Unit";"Archon";"High Templar";154;0
"Unit";"Archon";"High Templar";154;0
"Building";"Pylon";NA;154;0
"Unit";"Zealot";"Gateway";154;2
"Unit";"Zealot";"Gateway";154;2
"Unit";"Zealot";"Gateway";154;2
"Unit";"Zealot";"Gateway";154;2
"Unit";"Zealot";"Gateway";154;2
"Unit";"Zealot";"Gateway";154;2
"Unit";"Zealot";"Gateway";154;2
"Unit";"Zealot";"Gateway";154;2
"Unit";"Immortal";"Robotics Facility";154;4
"Unit";"Immortal";"Robotics Facility";154;4
"Unit";"Zealot";"Gateway";170;2
"Unit";"Zealot";"Gateway";170;2
"Unit";"Zealot";"Gateway";170;2
"Unit";"Zealot";"Gateway";170;2
"Unit";"Zealot";"Gateway";170;2
"Unit";"Zealot";"Gateway";170;2
"Unit";"Zealot";"Gateway";170;2
"Unit";"Zealot";"Gateway";170;2
"Building";"Nexus";NA;154;0
"Unit";"Observer";"Robotics Facility";170;1
"Unit";"Observer";"Robotics Facility";174;1
"Unit";"Oracle";"Stargate";170;3
"Building";"Pylon";NA;197;0
"Unit";"Zealot";"Gateway";199;2
"Unit";"Zealot";"Gateway";199;2
"Unit";"Zealot";"Gateway";199;2
"Unit";"Zealot";"Gateway";199;2
"Unit";"Zealot";"Gateway";199;2
"Unit";"Zealot";"Gateway";200;2
"Unit";"Zealot";"Gateway";201;2
"Unit";"Zealot";"Gateway";202;2
"Building";"Assimilator";NA;199;0
"Building";"Assimilator";NA;199;0
"Building";"Forge";NA;199;0
