"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;14;0
"Building";"Pylon";NA;15;0
"Building";"Forge";NA;15;0
"Building";"PhotonCannon";NA;17;0
"Building";"Pylon";NA;17;0
"Building";"Gateway";NA;17;0
"Building";"Gateway";NA;17;0
"Building";"PhotonCannon";NA;17;0
"Building";"Assimilator";NA;17;0
"Building";"Assimilator";NA;17;0
"Building";"PhotonCannon";NA;17;0
"Building";"Pylon";NA;19;0
"Building";"CyberneticsCore";NA;18;0
"Building";"PhotonCannon";NA;21;0
"Building";"ShieldBattery";NA;21;0
"Building";"ShieldBattery";NA;21;0
"Building";"ShieldBattery";NA;21;0
"Building";"RoboticsFacility";NA;21;0
"Unit";"Stalker";"Gateway";21;2
"Unit";"Immortal";"Robotics Facility";22;4
"Unit";"Stalker";"Gateway";26;2
"Building";"ShieldBattery";NA;30;0
"Unit";"Immortal";"Robotics Facility";30;4
"Unit";"Immortal";"Robotics Facility";32;4
"Building";"Pylon";NA;36;0
"Building";"Pylon";NA;40;0
"Building";"ShieldBattery";NA;36;0
"Unit";"Stalker";"Gateway";40;2
"Unit";"Immortal";"Robotics Facility";40;4
"Building";"ShieldBattery";NA;40;0
"Building";"ShieldBattery";NA;46;0
