"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Assimilator";NA;21;0
"Building";"Pylon";NA;22;0
"Building";"Nexus";NA;19;0
"Unit";"Adept";"Gateway";23;2
"Unit";"Adept";"Gateway";24;2
"Building";"Stargate";NA;23;0
"Unit";"Adept";"Gateway";32;2
"Building";"ShieldBattery";NA;34;0
"Unit";"Stalker";"Gateway";37;2
"Building";"Pylon";NA;44;0
"Building";"Gateway";NA;39;0
"Building";"Assimilator";NA;44;0
"Building";"Assimilator";NA;44;0
"Building";"Pylon";NA;44;0
"Building";"Gateway";NA;44;0
"Building";"Gateway";NA;44;0
"Building";"TwilightCouncil";NA;49;0
"Building";"Pylon";NA;50;0
"Building";"Pylon";NA;52;0
"Building";"Pylon";NA;52;0
"Building";"Pylon";NA;52;0
"Building";"Pylon";NA;52;0
"Unit";"Adept";"Gateway";53;2
"Unit";"Adept";"Gateway";53;2
"Unit";"Adept";"Gateway";53;2
"Unit";"Adept";"Gateway";53;2
"Building";"ShieldBattery";NA;52;0
"Building";"ShieldBattery";NA;53;0
"Building";"ShieldBattery";NA;53;0
"Building";"DarkShrine";NA;52;0
"Unit";"Sentry";"Gateway";64;2
"Unit";"Sentry";"Gateway";64;2
"Unit";"Sentry";"Gateway";64;2
"Building";"Gateway";NA;63;0
"Building";"Pylon";NA;64;0
"Building";"Pylon";NA;70;0
"Building";"Pylon";NA;70;0
"Building";"DarkTemplar";NA;70;0
"Building";"DarkTemplar";NA;70;0
"Upgrade";"Charge";"TwilightCouncil";63;0
"Building";"DarkTemplar";NA;70;0
"Unit";"Zealot";"Gateway";70;2
"Unit";"Zealot";"Gateway";70;2
"Building";"RoboticsFacility";NA;70;0
"Unit";"Zealot";"Gateway";74;2
"Unit";"Zealot";"Gateway";76;2
"Unit";"Zealot";"Gateway";76;2
"Unit";"Zealot";"Gateway";76;2
"Unit";"Zealot";"Gateway";76;2
"Building";"DarkTemplar";NA;84;0
"Building";"DarkTemplar";NA;84;0
"Building";"DarkTemplar";NA;84;0
"Building";"DarkTemplar";NA;84;0
"Building";"DarkTemplar";NA;84;0
"Unit";"Archon";"High Templar";84;0
"Unit";"Archon";"High Templar";84;0
"Unit";"Archon";"High Templar";84;0
"Building";"Pylon";NA;84;0
"Building";"Gateway";NA;84;0
"Building";"Gateway";NA;84;0
"Building";"Pylon";NA;84;0
"Unit";"Immortal";"Robotics Facility";84;4
"Building";"Forge";NA;84;0
"Building";"DarkTemplar";NA;90;0
"Building";"DarkTemplar";NA;90;0
"Building";"DarkTemplar";NA;90;0
"Unit";"Archon";"High Templar";92;0
"Unit";"Immortal";"Robotics Facility";84;4
"Building";"Nexus";NA;84;0
"Building";"ShieldBattery";NA;90;0
"Unit";"Immortal";"Robotics Facility";92;4
"Building";"RoboticsFacility";NA;92;0
"Building";"Assimilator";NA;96;0
"Building";"Assimilator";NA;96;0
"Building";"DarkTemplar";NA;102;0
"Building";"DarkTemplar";NA;102;0
"Unit";"Archon";"High Templar";102;0
"Building";"Gateway";NA;96;0
"Building";"Gateway";NA;96;0
"Building";"Gateway";NA;96;0
"Unit";"Immortal";"Robotics Facility";98;4
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";92;0
