"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;15;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;20;0
"Unit";"Adept";"Gateway";22;2
"Building";"Nexus";NA;19;0
"Unit";"Adept";"Gateway";24;2
"Building";"Stargate";NA;23;0
"Building";"Pylon";NA;35;0
"Unit";"Oracle";"Stargate";29;3
"Unit";"Phoenix";"Stargate";38;2
"Building";"Pylon";NA;43;0
"Building";"Assimilator";NA;44;0
"Building";"Assimilator";NA;44;0
"Building";"Gateway";NA;41;0
"Building";"Gateway";NA;42;0
"Unit";"Oracle";"Stargate";48;3
"Unit";"Adept";"Gateway";55;2
"Building";"Pylon";NA;50;0
"Unit";"Adept";"Gateway";55;2
"Unit";"Adept";"Gateway";55;2
"Building";"Pylon";NA;55;0
"Building";"RoboticsFacility";NA;49;0
"Unit";"Adept";"Gateway";64;2
"Unit";"Adept";"Gateway";64;2
"Unit";"Adept";"Gateway";64;2
"Building";"Pylon";NA;70;0
"Unit";"Observer";"Robotics Facility";64;1
"Building";"Pylon";NA;71;0
"Unit";"Sentry";"Gateway";75;2
"Unit";"Sentry";"Gateway";75;2
"Unit";"Sentry";"Gateway";75;2
"Building";"Nexus";NA;62;0
"Building";"Forge";NA;73;0
"Building";"RoboticsBay";NA;71;0
"Building";"RoboticsFacility";NA;72;0
"Unit";"Zealot";"Gateway";87;2
"Unit";"Zealot";"Gateway";87;2
"Unit";"Zealot";"Gateway";87;2
"Building";"Assimilator";NA;87;0
"Building";"Assimilator";NA;87;0
"Unit";"Colossus";"Robotics Facility";85;6
"Building";"Pylon";NA;100;0
"Building";"Pylon";NA;102;0
"Building";"PhotonCannon";NA;101;0
"Building";"Gateway";NA;101;0
"Building";"Pylon";NA;110;0
"Building";"Gateway";NA;101;0
"Building";"Gateway";NA;101;0
"Building";"OracleStasisTrap";NA;113;0
"Building";"OracleStasisTrap";NA;113;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";87;0
"Building";"Pylon";NA;111;0
"Unit";"Sentry";"Gateway";113;2
"Unit";"Sentry";"Gateway";113;2
"Building";"Pylon";NA;113;0
"Unit";"Sentry";"Gateway";113;2
"Building";"Pylon";NA;113;0
"Unit";"Colossus";"Robotics Facility";110;6
"Unit";"Sentry";"Gateway";119;2
"Unit";"Sentry";"Gateway";119;2
"Unit";"Stalker";"Gateway";119;2
"Unit";"Colossus";"Robotics Facility";110;6
"Building";"Pylon";NA;119;0
"Building";"Pylon";NA;119;0
"Upgrade";"ExtendedThermalLance";"RoboticsBay";110;0
"Building";"Forge";NA;119;0
"Building";"TwilightCouncil";NA;119;0
"Unit";"Adept";"Gateway";137;2
"Unit";"Adept";"Gateway";137;2
"Unit";"Adept";"Gateway";137;2
"Unit";"Adept";"Gateway";143;2
"Unit";"Adept";"Gateway";143;2
"Building";"Gateway";NA;119;0
"Building";"Gateway";NA;119;0
"Unit";"Colossus";"Robotics Facility";119;6
