"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Forge";NA;15;0
"Building";"Pylon";NA;18;0
"Building";"Assimilator";NA;18;0
"Building";"PhotonCannon";NA;19;0
"Building";"Gateway";NA;19;0
"Building";"PhotonCannon";NA;20;0
"Unit";"Zealot";"Gateway";21;2
"Building";"PhotonCannon";NA;21;0
"Building";"CyberneticsCore";NA;21;0
"Unit";"Zealot";"Gateway";21;2
"Building";"Pylon";NA;23;0
"Building";"Assimilator";NA;23;0
"Building";"ShieldBattery";NA;26;0
"Building";"ShieldBattery";NA;26;0
"Building";"RoboticsFacility";NA;25;0
"Building";"Pylon";NA;27;0
"Unit";"Immortal";"Robotics Facility";27;4
"Building";"ShieldBattery";NA;27;0
"Building";"Gateway";NA;27;0
"Unit";"Immortal";"Robotics Facility";27;4
