"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Pylon";NA;14;0
"Building";"Gateway";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Nexus";NA;19;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Assimilator";NA;21;0
"Building";"Pylon";NA;22;0
"Unit";"Adept";"Gateway";23;2
"Building";"TwilightCouncil";NA;27;0
"Unit";"Adept";"Gateway";28;2
"Building";"RoboticsFacility";NA;35;0
"Building";"DarkShrine";NA;38;0
"Building";"Gateway";NA;40;0
"Building";"Gateway";NA;41;0
"Building";"Gateway";NA;41;0
"Building";"Pylon";NA;43;0
"Building";"Assimilator";NA;44;0
"Building";"Assimilator";NA;44;0
"Building";"Pylon";NA;44;0
"Building";"Pylon";NA;46;0
"Unit";"Zealot";"Gateway";46;2
"Building";"Pylon";NA;50;0
"Building";"Pylon";NA;52;0
"Building";"DarkTemplar";NA;53;0
"Building";"DarkTemplar";NA;53;0
"Building";"DarkTemplar";NA;53;0
"Building";"DarkTemplar";NA;53;0
"Building";"Nexus";NA;53;0
"Building";"Pylon";NA;53;0
"Unit";"Observer";"Robotics Facility";55;1
"Unit";"Archon";"High Templar";56;0
"Unit";"Archon";"High Templar";56;0
"Building";"Pylon";NA;56;0
"Unit";"Sentry";"Gateway";56;2
"Unit";"Sentry";"Gateway";58;2
"Unit";"Zealot";"Gateway";60;2
"Unit";"Immortal";"Robotics Facility";63;4
"Upgrade";"Charge";"TwilightCouncil";67;0
"Building";"Forge";NA;71;0
"Unit";"Sentry";"Gateway";71;2
"Unit";"Sentry";"Gateway";73;2
"Unit";"Immortal";"Robotics Facility";75;4
"Building";"Pylon";NA;81;0
"Building";"Gateway";NA;85;0
"Building";"Gateway";NA;86;0
"Building";"Pylon";NA;86;0
"Unit";"Immortal";"Robotics Facility";88;4
"Building";"Assimilator";NA;92;0
"Building";"Assimilator";NA;92;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";93;0
"Building";"Gateway";NA;95;0
"Building";"TemplarArchive";NA;95;0
"Building";"Gateway";NA;95;0
"Building";"Gateway";NA;95;0
"Unit";"Zealot";"Gateway";95;2
"Unit";"Zealot";"Gateway";97;2
"Unit";"Zealot";"Gateway";99;2
"Unit";"Immortal";"Robotics Facility";101;4
"Unit";"Zealot";"Gateway";105;2
"Building";"Pylon";NA;111;0
"Building";"Pylon";NA;111;0
"Building";"Nexus";NA;111;0
"Building";"Pylon";NA;111;0
"Building";"HighTemplar";NA;111;0
"Building";"HighTemplar";NA;111;0
"Building";"HighTemplar";NA;111;0
"Building";"HighTemplar";NA;111;0
"Unit";"Immortal";"Robotics Facility";111;4
"Unit";"Phoenix";"Stargate";115;2
"Building";"PhotonCannon";NA;117;0
"Building";"PhotonCannon";NA;117;0
"Unit";"Zealot";"Gateway";117;2
"Unit";"Zealot";"Gateway";119;2
"Unit";"Zealot";"Gateway";121;2
"Unit";"Zealot";"Gateway";123;2
"Building";"HighTemplar";NA;125;0
"Building";"HighTemplar";NA;125;0
"Unit";"Archon";"High Templar";125;0
"Unit";"Immortal";"Robotics Facility";125;4
"Building";"PhotonCannon";NA;129;0
"Unit";"Zealot";"Gateway";129;2
"Unit";"Zealot";"Gateway";131;2
"Unit";"Zealot";"Gateway";133;2
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";135;0
"Building";"Pylon";NA;135;0
"Building";"Pylon";NA;135;0
"Building";"Pylon";NA;135;0
"Building";"Pylon";NA;135;0
"Building";"Pylon";NA;135;0
"Unit";"Phoenix";"Stargate";135;2
"Unit";"Zealot";"Gateway";137;2
"Unit";"Zealot";"Gateway";139;2
"Unit";"Zealot";"Gateway";141;2
"Unit";"Zealot";"Gateway";143;2
"Unit";"Zealot";"Gateway";145;2
"Unit";"Zealot";"Gateway";147;2
"Building";"HighTemplar";NA;149;0
"Building";"HighTemplar";NA;149;0
"Unit";"Zealot";"Gateway";149;2
"Unit";"Immortal";"Robotics Facility";151;4
"Building";"RoboticsFacility";NA;155;0
"Unit";"Archon";"High Templar";155;0
"Unit";"Phoenix";"Stargate";155;2
"Building";"HighTemplar";NA;157;0
"Building";"HighTemplar";NA;157;0
"Unit";"Zealot";"Gateway";157;2
"Unit";"Zealot";"Gateway";159;2
"Unit";"Zealot";"Gateway";161;2
"Unit";"Zealot";"Gateway";163;2
"Unit";"Zealot";"Gateway";165;2
"Unit";"Archon";"High Templar";167;0
"Building";"Gateway";NA;167;0
"Building";"Gateway";NA;167;0
"Unit";"Phoenix";"Stargate";167;2
"Building";"Assimilator";NA;169;0
"Building";"Assimilator";NA;169;0
"Unit";"Immortal";"Robotics Facility";169;4
"Unit";"Zealot";"Gateway";173;2
"Unit";"Immortal";"Robotics Facility";177;4
"Building";"Pylon";NA;185;0
"Building";"HighTemplar";NA;185;0
"Building";"HighTemplar";NA;185;0
"Building";"HighTemplar";NA;185;0
"Unit";"Phoenix";"Stargate";185;2
"Building";"HighTemplar";NA;187;0
"Building";"HighTemplar";NA;187;0
"Building";"Pylon";NA;188;0
"Building";"Pylon";NA;188;0
"Unit";"Archon";"High Templar";189;0
"Unit";"Phoenix";"Stargate";190;2
"Unit";"Zealot";"Gateway";192;2
"Unit";"Zealot";"Gateway";194;2
"Unit";"Zealot";"Gateway";196;2
"Building";"Stargate";NA;198;0
"Building";"PhotonCannon";NA;198;0
"Building";"PhotonCannon";NA;198;0
"Building";"Nexus";NA;198;0
"Building";"Pylon";NA;198;0
"Building";"Pylon";NA;198;0
"Unit";"Zealot";"Gateway";198;2
"Unit";"Zealot";"Gateway";200;2
"Unit";"Zealot";"Gateway";202;2
"Building";"FleetBeacon";NA;204;0
"Building";"Stargate";NA;204;0
"Building";"PhotonCannon";NA;204;0
"Building";"Stargate";NA;204;0
"Building";"PhotonCannon";NA;204;0
"Building";"Stargate";NA;204;0
"Unit";"Zealot";"Gateway";204;2
"Unit";"Zealot";"Gateway";206;2
"Unit";"Zealot";"Gateway";208;2
"Unit";"Zealot";"Gateway";210;2
"Building";"PhotonCannon";NA;212;0
"Building";"PhotonCannon";NA;212;0
"Building";"PhotonCannon";NA;212;0
