"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Pylon";NA;14;0
"Building";"Gateway";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Nexus";NA;19;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Assimilator";NA;21;0
"Building";"Pylon";NA;22;0
"Unit";"Adept";"Gateway";23;2
"Building";"Stargate";NA;27;0
"Unit";"Adept";"Gateway";28;2
"Building";"Pylon";NA;35;0
"Unit";"Adept";"Gateway";35;2
"Unit";"Oracle";"Stargate";38;3
"Unit";"Phoenix";"Stargate";46;2
"Building";"Nexus";NA;48;0
"Building";"Pylon";NA;48;0
"Building";"Assimilator";NA;50;0
"Building";"Assimilator";NA;50;0
"Unit";"Oracle";"Stargate";51;3
"Building";"Gateway";NA;57;0
"Building";"Pylon";NA;57;0
"Building";"Assimilator";NA;58;0
"Building";"Assimilator";NA;59;0
"Unit";"Oracle";"Stargate";60;3
"Building";"OracleStasisTrap";NA;64;0
"Building";"Stargate";NA;66;0
"Building";"Stargate";NA;66;0
"Building";"OracleStasisTrap";NA;69;0
"Unit";"Oracle";"Stargate";70;3
"Unit";"Zealot";"Gateway";74;2
"Building";"OracleStasisTrap";NA;78;0
"Unit";"Zealot";"Gateway";78;2
"Unit";"Zealot";"Gateway";82;2
"Building";"Pylon";NA;84;0
"Building";"Pylon";NA;86;0
"Unit";"Oracle";"Stargate";86;3
"Unit";"Oracle";"Stargate";89;3
"Building";"Pylon";NA;94;0
"Unit";"Oracle";"Stargate";94;3
"Building";"Pylon";NA;100;0
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";103;2
"Building";"TwilightCouncil";NA;105;0
"Building";"Forge";NA;105;0
"Unit";"Oracle";"Stargate";105;3
"Unit";"Oracle";"Stargate";108;3
"Building";"Pylon";NA;111;0
"Unit";"Oracle";"Stargate";113;3
"Building";"RoboticsFacility";NA;116;0
"Building";"Gateway";NA;116;0
"Building";"Gateway";NA;116;0
"Building";"Gateway";NA;116;0
"Unit";"Oracle";"Stargate";116;3
"Unit";"Zealot";"Gateway";119;2
"Unit";"Zealot";"Gateway";121;2
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";123;0
"Building";"Gateway";NA;123;0
"Building";"Gateway";NA;123;0
"Building";"Pylon";NA;123;0
"Building";"Pylon";NA;123;0
"Unit";"Stalker";"Gateway";123;2
"Unit";"Stalker";"Gateway";125;2
"Building";"Pylon";NA;127;0
"Building";"PhotonCannon";NA;127;0
"Unit";"Stalker";"Gateway";127;2
"Unit";"Stalker";"Gateway";129;2
"Unit";"Stalker";"Gateway";131;2
"Unit";"Stalker";"Gateway";133;2
"Unit";"Stalker";"Gateway";135;2
"Building";"Gateway";NA;137;0
"Building";"Gateway";NA;137;0
"Building";"Pylon";NA;137;0
"Building";"Pylon";NA;137;0
"Building";"Pylon";NA;137;0
"Building";"PhotonCannon";NA;137;0
"Unit";"Observer";"Robotics Facility";137;1
"Building";"Pylon";NA;138;0
"Unit";"Stalker";"Gateway";138;2
"Unit";"Stalker";"Gateway";140;2
"Unit";"Stalker";"Gateway";142;2
"Unit";"Stalker";"Gateway";144;2
"Unit";"Stalker";"Gateway";146;2
"Unit";"Stalker";"Gateway";148;2
"Unit";"Stalker";"Gateway";150;2
"Unit";"Stalker";"Gateway";152;2
"Unit";"Stalker";"Gateway";154;2
"Unit";"Stalker";"Gateway";156;2
"Unit";"Stalker";"Gateway";158;2
"Unit";"Stalker";"Gateway";160;2
"Unit";"Stalker";"Gateway";162;2
"Unit";"Stalker";"Gateway";164;2
"Unit";"Stalker";"Gateway";166;2
"Unit";"Stalker";"Gateway";168;2
"Unit";"Stalker";"Gateway";170;2
"Unit";"Stalker";"Gateway";172;2
"Unit";"Stalker";"Gateway";174;2
"Unit";"Stalker";"Gateway";176;2
"Unit";"Stalker";"Gateway";178;2
"Unit";"Stalker";"Gateway";180;2
"Unit";"Stalker";"Gateway";182;2
"Unit";"Stalker";"Gateway";184;2
"Unit";"Stalker";"Gateway";186;2
"Unit";"Stalker";"Gateway";188;2
"Unit";"Stalker";"Gateway";190;2
"Unit";"Stalker";"Gateway";192;2
"Unit";"Stalker";"Gateway";194;2
"Unit";"Stalker";"Gateway";196;2
"Unit";"Stalker";"Gateway";198;2
"Unit";"Stalker";"Gateway";200;2
"Unit";"Stalker";"Gateway";202;2
"Unit";"Stalker";"Gateway";204;2
"Unit";"Stalker";"Gateway";206;2
"Unit";"Stalker";"Gateway";208;2
"Unit";"Stalker";"Gateway";210;2
"Unit";"Stalker";"Gateway";212;2
"Unit";"Stalker";"Gateway";214;2
"Unit";"Stalker";"Gateway";216;2
"Unit";"Stalker";"Gateway";218;2
"Unit";"Stalker";"Gateway";220;2
"Unit";"Stalker";"Gateway";222;2
"Unit";"Stalker";"Gateway";224;2
"Unit";"Stalker";"Gateway";226;2
"Unit";"Stalker";"Gateway";228;2
"Unit";"Stalker";"Gateway";230;2
"Unit";"Stalker";"Gateway";232;2
"Unit";"Stalker";"Gateway";234;2
"Unit";"Stalker";"Gateway";236;2
"Upgrade";"SprayProtoss";NA;238;0
"Upgrade";"SprayProtoss";NA;238;0
"Upgrade";"SprayProtoss";NA;238;0
"Upgrade";"WarpGateResearch";NA;238;0
"Upgrade";"SprayProtoss";NA;238;0
"Upgrade";"BlinkTech";NA;238;0
