"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;14;0
"Building";"Gateway";NA;16;0
"Building";"Assimilator";NA;20;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;20;0
"Unit";"Adept";"Gateway";22;2
"Building";"Nexus";NA;20;0
"Building";"ShieldBattery";NA;23;0
"Unit";"Sentry";"Gateway";25;2
"Building";"Gateway";NA;23;0
"Unit";"Adept";"Gateway";25;2
"Unit";"Adept";"Gateway";32;2
"Building";"Stargate";NA;30;0
"Unit";"Oracle";"Stargate";38;3
"Building";"Pylon";NA;41;0
"Building";"Pylon";NA;41;0
"Unit";"Phoenix";"Stargate";46;2
"Building";"Pylon";NA;47;0
"Building";"ShieldBattery";NA;47;0
"Building";"Assimilator";NA;50;0
"Building";"Assimilator";NA;50;0
"Building";"Pylon";NA;52;0
"Unit";"Phoenix";"Stargate";59;2
"Building";"FleetBeacon";NA;58;0
"Building";"Pylon";NA;63;0
"Building";"Stargate";NA;61;0
"Building";"OracleStasisTrap";NA;72;0
"Building";"ShieldBattery";NA;71;0
"Building";"Forge";NA;71;0
"Building";"Pylon";NA;72;0
"Building";"Pylon";NA;72;0
"Unit";"Carrier";"Stargate";66;6
"Building";"OracleStasisTrap";NA;72;0
"Building";"Pylon";NA;72;0
"Unit";"Carrier";"Stargate";68;6
"Upgrade";"ProtossAirWeaponsLevel1";"CyberneticsCore";72;0
"Building";"Pylon";NA;86;0
"Building";"Nexus";NA;72;0
"Building";"PhotonCannon";NA;86;0
"Building";"PhotonCannon";NA;86;0
"Building";"Assimilator";NA;90;0
"Building";"Assimilator";NA;90;0
"Unit";"Carrier";"Stargate";72;6
"Building";"Pylon";NA;92;0
"Building";"Pylon";NA;92;0
"Unit";"Carrier";"Stargate";78;6
"Building";"Pylon";NA;94;0
"Building";"Stargate";NA;92;0
"Unit";"Phoenix";"Stargate";102;2
"Building";"OracleStasisTrap";NA;110;0
"Building";"Pylon";NA;102;0
"Unit";"Mothership";"Mothership Core";92;6
"Unit";"Oracle";"Stargate";110;3
"Building";"Pylon";NA;114;0
"Building";"Pylon";NA;123;0
"Upgrade";"ProtossAirWeaponsLevel2";"CyberneticsCore";92;0
"Building";"Stargate";NA;114;0
"Unit";"Carrier";"Stargate";102;6
"Unit";"Oracle";"Stargate";123;3
"Building";"PhotonCannon";NA;123;0
"Building";"PhotonCannon";NA;123;0
"Building";"PhotonCannon";NA;129;0
"Building";"PhotonCannon";NA;129;0
"Upgrade";"ProtossShieldsLevel1";"Forge";114;0
"Building";"PhotonCannon";NA;129;0
"Building";"OracleStasisTrap";NA;132;0
"Unit";"Carrier";"Stargate";114;6
"Building";"RoboticsFacility";NA;132;0
"Building";"Pylon";NA;138;0
"Unit";"Carrier";"Stargate";123;6
"Building";"Pylon";NA;138;0
"Building";"OracleStasisTrap";NA;147;0
"Building";"TwilightCouncil";NA;138;0
"Unit";"Carrier";"Stargate";129;6
"Building";"Pylon";NA;138;0
"Unit";"Observer";"Robotics Facility";138;1
"Unit";"Carrier";"Stargate";129;6
"Building";"PhotonCannon";NA;138;0
"Building";"PhotonCannon";NA;138;0
"Building";"Assimilator";NA;141;0
"Building";"ShieldBattery";NA;138;0
"Building";"PhotonCannon";NA;138;0
"Building";"Assimilator";NA;147;0
"Building";"Pylon";NA;147;0
"Building";"Nexus";NA;138;0
"Building";"OracleStasisTrap";NA;160;0
"Unit";"Carrier";"Stargate";138;6
"Upgrade";"ProtossAirWeaponsLevel3";"CyberneticsCore";132;0
"Building";"TemplarArchive";NA;160;0
"Building";"OracleStasisTrap";NA;167;0
"Building";"HighTemplar";NA;167;0
"Building";"HighTemplar";NA;167;0
"Unit";"Carrier";"Stargate";147;6
"Unit";"Carrier";"Stargate";153;6
"Building";"Gateway";NA;166;0
"Building";"Gateway";NA;166;0
"Building";"Gateway";NA;166;0
"Building";"Gateway";NA;166;0
"Building";"Gateway";NA;166;0
"Building";"HighTemplar";NA;179;0
"Building";"HighTemplar";NA;179;0
"Building";"HighTemplar";NA;179;0
"Building";"OracleStasisTrap";NA;179;0
"Unit";"Observer";"Robotics Facility";179;1
"Building";"HighTemplar";NA;180;0
"Building";"HighTemplar";NA;180;0
"Unit";"Zealot";"Gateway";180;2
"Unit";"Zealot";"Gateway";180;2
"Unit";"Zealot";"Gateway";180;2
"Unit";"Zealot";"Gateway";180;2
"Upgrade";"Charge";"TwilightCouncil";179;0
"Building";"Pylon";NA;188;0
