"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Pylon";NA;14;0
"Building";"Gateway";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Nexus";NA;20;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Assimilator";NA;21;0
"Building";"Pylon";NA;22;0
"Unit";"Adept";"Gateway";23;2
"Unit";"Adept";"Gateway";26;2
"Building";"TwilightCouncil";NA;28;0
"Unit";"Adept";"Gateway";32;2
"Unit";"Adept";"Gateway";40;2
"Building";"Gateway";NA;42;0
"Building";"Gateway";NA;42;0
"Building";"Pylon";NA;44;0
"Building";"Assimilator";NA;46;0
"Unit";"Stalker";"Gateway";46;2
"Building";"Pylon";NA;48;0
"Building";"Stargate";NA;50;0
"Building";"Stargate";NA;50;0
"Building";"Assimilator";NA;52;0
"Unit";"Adept";"Gateway";54;2
"Unit";"Adept";"Gateway";56;2
"Unit";"Adept";"Gateway";58;2
"Building";"Pylon";NA;62;0
"Building";"Pylon";NA;62;0
"Unit";"Phoenix";"Stargate";62;2
"Unit";"Phoenix";"Stargate";64;2
"Building";"Nexus";NA;66;0
"Upgrade";"ProtossAirWeaponsLevel1";"CyberneticsCore";68;0
"Unit";"Phoenix";"Stargate";68;2
"Unit";"Phoenix";"Stargate";70;2
"Building";"ShieldBattery";NA;73;0
"Unit";"Phoenix";"Stargate";74;2
"Unit";"Phoenix";"Stargate";77;2
"Building";"Pylon";NA;80;0
"Building";"Pylon";NA;81;0
"Unit";"Sentry";"Gateway";82;2
"Unit";"Phoenix";"Stargate";84;2
"Unit";"Phoenix";"Stargate";86;2
"Building";"Pylon";NA;90;0
"Building";"Pylon";NA;90;0
"Unit";"Adept";"Gateway";90;2
"Building";"RoboticsFacility";NA;95;0
"Unit";"Phoenix";"Stargate";95;2
"Unit";"Phoenix";"Stargate";100;2
"Building";"Forge";NA;102;0
"Unit";"Phoenix";"Stargate";105;2
"Unit";"Phoenix";"Stargate";107;2
"Building";"Assimilator";NA;109;0
"Building";"Assimilator";NA;109;0
"Building";"Pylon";NA;113;0
"Upgrade";"Charge";"TwilightCouncil";113;0
"Building";"Gateway";NA;114;0
"Building";"Gateway";NA;114;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";114;0
"Building";"Gateway";NA;114;0
"Unit";"Immortal";"Robotics Facility";114;4
"Building";"Gateway";NA;118;0
"Building";"Gateway";NA;118;0
"Building";"TemplarArchive";NA;118;0
"Unit";"Zealot";"Gateway";118;2
"Unit";"Zealot";"Gateway";120;2
"Unit";"Zealot";"Gateway";122;2
"Building";"Pylon";NA;124;0
"Building";"Pylon";NA;124;0
"Building";"Pylon";NA;124;0
"Unit";"Immortal";"Robotics Facility";124;4
"Unit";"Zealot";"Gateway";128;2
"Unit";"Zealot";"Gateway";130;2
"Unit";"Zealot";"Gateway";132;2
"Building";"HighTemplar";NA;134;0
"Building";"HighTemplar";NA;134;0
"Building";"HighTemplar";NA;134;0
"Building";"HighTemplar";NA;134;0
"Building";"Pylon";NA;134;0
"Unit";"Observer";"Robotics Facility";136;1
"Building";"RoboticsFacility";NA;137;0
"Building";"Nexus";NA;137;0
"Building";"Pylon";NA;137;0
"Building";"Pylon";NA;137;0
"Unit";"Immortal";"Robotics Facility";137;4
"Building";"PhotonCannon";NA;141;0
"Building";"PhotonCannon";NA;141;0
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";141;0
"Building";"PhotonCannon";NA;141;0
"Building";"HighTemplar";NA;141;0
"Building";"HighTemplar";NA;141;0
"Unit";"Archon";"High Templar";141;0
"Unit";"Immortal";"Robotics Facility";141;4
"Building";"Assimilator";NA;145;0
"Building";"Assimilator";NA;145;0
"Building";"Gateway";NA;145;0
"Building";"Gateway";NA;145;0
"Unit";"Immortal";"Robotics Facility";145;4
"Building";"HighTemplar";NA;149;0
"Building";"HighTemplar";NA;149;0
"Building";"Gateway";NA;149;0
"Building";"Pylon";NA;149;0
"Building";"ShieldBattery";NA;149;0
"Unit";"Archon";"High Templar";149;0
"Building";"PhotonCannon";NA;149;0
"Building";"HighTemplar";NA;149;0
"Building";"HighTemplar";NA;149;0
"Unit";"Immortal";"Robotics Facility";149;4
"Building";"PhotonCannon";NA;153;0
"Building";"Gateway";NA;153;0
"Unit";"Archon";"High Templar";153;0
"Unit";"Immortal";"Robotics Facility";153;4
"Building";"Gateway";NA;157;0
"Building";"Pylon";NA;157;0
"Unit";"Immortal";"Robotics Facility";157;4
"Building";"HighTemplar";NA;161;0
"Building";"HighTemplar";NA;161;0
"Unit";"Archon";"High Templar";161;0
"Building";"Gateway";NA;161;0
"Building";"Gateway";NA;161;0
"Unit";"Immortal";"Robotics Facility";161;4
"Building";"HighTemplar";NA;165;0
"Building";"HighTemplar";NA;165;0
"Unit";"Archon";"High Templar";165;0
"Building";"HighTemplar";NA;165;0
"Building";"HighTemplar";NA;165;0
"Unit";"Zealot";"Gateway";165;2
"Unit";"Zealot";"Gateway";167;2
"Unit";"Zealot";"Gateway";169;2
"Unit";"Zealot";"Gateway";171;2
"Unit";"Zealot";"Gateway";173;2
"Unit";"Zealot";"Gateway";175;2
"Unit";"Zealot";"Gateway";177;2
"Unit";"Archon";"High Templar";179;0
"Building";"HighTemplar";NA;179;0
"Building";"HighTemplar";NA;179;0
"Building";"HighTemplar";NA;179;0
"Building";"HighTemplar";NA;179;0
"Building";"Pylon";NA;179;0
"Unit";"Archon";"High Templar";179;0
"Unit";"Archon";"High Templar";179;0
"Unit";"Zealot";"Gateway";179;2
"Unit";"Zealot";"Gateway";181;2
"Unit";"Zealot";"Gateway";183;2
"Building";"HighTemplar";NA;185;0
"Building";"HighTemplar";NA;185;0
"Building";"HighTemplar";NA;185;0
"Building";"HighTemplar";NA;185;0
"Building";"Nexus";NA;185;0
"Unit";"Archon";"High Templar";185;0
"Unit";"Archon";"High Templar";185;0
"Unit";"Zealot";"Gateway";185;2
"Unit";"Zealot";"Gateway";187;2
"Unit";"Zealot";"Gateway";189;2
"Unit";"Zealot";"Gateway";191;2
"Unit";"Zealot";"Gateway";193;2
"Unit";"Zealot";"Gateway";195;2
