"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;22;0
"Building";"Pylon";NA;22;0
"Building";"CyberneticsCore";NA;21;0
"Building";"Pylon";NA;23;0
"Unit";"Adept";"Gateway";23;2
"Building";"Nexus";NA;20;0
"Building";"TwilightCouncil";NA;23;0
"Unit";"Adept";"Gateway";24;2
"Unit";"Stalker";"Gateway";32;2
"Building";"Assimilator";NA;35;0
"Unit";"Adept";"Gateway";37;2
"Building";"Gateway";NA;33;0
"Building";"DarkShrine";NA;29;0
"Building";"Pylon";NA;41;0
"Building";"Pylon";NA;45;0
"Building";"Gateway";NA;39;0
"Building";"DarkTemplar";NA;49;0
"Building";"Pylon";NA;49;0
"Building";"RoboticsFacility";NA;51;0
"Building";"Nexus";NA;49;0
"Building";"Pylon";NA;58;0
"Building";"DarkTemplar";NA;60;0
"Building";"DarkTemplar";NA;60;0
"Building";"DarkTemplar";NA;60;0
"Building";"Assimilator";NA;58;0
"Building";"Pylon";NA;61;0
"Building";"ShieldBattery";NA;61;0
"Building";"Gateway";NA;60;0
"Building";"Gateway";NA;60;0
"Building";"TemplarArchive";NA;62;0
"Unit";"Zealot";"Gateway";69;2
"Unit";"Zealot";"Gateway";69;2
"Building";"Assimilator";NA;66;0
"Building";"Assimilator";NA;66;0
"Unit";"Immortal";"Robotics Facility";66;4
"Building";"DarkTemplar";NA;80;0
"Building";"DarkTemplar";NA;80;0
"Building";"Forge";NA;66;0
"Unit";"Archon";"High Templar";76;0
"Upgrade";"Charge";"TwilightCouncil";60;0
"Building";"Gateway";NA;66;0
"Unit";"Zealot";"Gateway";83;2
"Unit";"Zealot";"Gateway";83;2
"Unit";"Zealot";"Gateway";83;2
"Unit";"Archon";"High Templar";82;0
"Building";"Gateway";NA;66;0
"Building";"HighTemplar";NA;94;0
"Unit";"Immortal";"Robotics Facility";82;4
"Building";"Pylon";NA;95;0
"Building";"Pylon";NA;95;0
"Building";"Pylon";NA;95;0
"Building";"HighTemplar";NA;101;0
"Building";"HighTemplar";NA;101;0
"Building";"HighTemplar";NA;101;0
"Building";"HighTemplar";NA;101;0
"Building";"Gateway";NA;92;0
"Building";"Gateway";NA;94;0
"Building";"Pylon";NA;101;0
"Building";"RoboticsFacility";NA;95;0
"Building";"HighTemplar";NA;105;0
"Unit";"Immortal";"Robotics Facility";101;4
"Building";"Pylon";NA;104;0
"Building";"HighTemplar";NA;111;0
"Building";"HighTemplar";NA;111;0
"Building";"HighTemplar";NA;111;0
"Unit";"Archon";"High Templar";111;0
"Unit";"Observer";"Robotics Facility";111;1
"Building";"Gateway";NA;105;0
"Building";"Gateway";NA;105;0
"Building";"Gateway";NA;105;0
"Unit";"Archon";"High Templar";111;0
"Building";"Gateway";NA;105;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";101;0
"Building";"Pylon";NA;111;0
"Building";"Pylon";NA;111;0
"Building";"Pylon";NA;111;0
"Unit";"Immortal";"Robotics Facility";111;4
"Building";"Nexus";NA;104;0
"Unit";"Zealot";"Gateway";116;2
"Unit";"Zealot";"Gateway";116;2
"Unit";"Zealot";"Gateway";116;2
"Unit";"Zealot";"Gateway";116;2
"Unit";"Zealot";"Gateway";116;2
"Unit";"Zealot";"Gateway";116;2
