"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;17
"Building";"Assimilator";NA;17
"Building";"Nexus";NA;20
"Building";"CyberneticsCore";NA;20
"Building";"Assimilator";NA;21
"Building";"Pylon";NA;22
"Unit";"Adept";"Gateway";23
"Building";"Stargate";NA;26
"Unit";"Adept";"Gateway";27
"Building";"Pylon";NA;33
"Unit";"Oracle";"Stargate";34
"Unit";"Adept";"Gateway";37
"Building";"Pylon";NA;44
"Building";"Pylon";NA;44
"Building";"Gateway";NA;44
"Unit";"Oracle";"Stargate";45
"Building";"ShieldBattery";NA;49
"Building";"Pylon";NA;49
"Unit";"Adept";"Gateway";49
"Building";"ShieldBattery";NA;51
"Building";"Pylon";NA;52
"Unit";"Phoenix";"Stargate";52
"Building";"Assimilator";NA;56
"Building";"Assimilator";NA;56
"Building";"TwilightCouncil";NA;56
"Building";"RoboticsFacility";NA;56
"Building";"Gateway";NA;59
"Building";"Gateway";NA;59
"Building";"Pylon";NA;61
"Upgrade";"Charge";"TwilightCouncil";61
"Building";"TemplarArchive";NA;61
"Building";"Gateway";NA;61
"Building";"Gateway";NA;61
"Building";"Gateway";NA;61
"Building";"Gateway";NA;61
"Building";"Pylon";NA;61
"Building";"Pylon";NA;61
"Unit";"Zealot";"Gateway";61
"Unit";"Zealot";"Gateway";63
"Unit";"Zealot";"Gateway";65
"Unit";"Zealot";"Gateway";67
"Building";"HighTemplar";NA;69
"Building";"HighTemplar";NA;69
"Building";"HighTemplar";NA;69
"Building";"HighTemplar";NA;69
"Unit";"Archon";"High Templar";69
"Unit";"Archon";"High Templar";69
"Building";"Pylon";NA;69
"Building";"HighTemplar";NA;69
"Building";"HighTemplar";NA;69
"Unit";"Zealot";"Gateway";69
"Unit";"Zealot";"Gateway";71
"Unit";"Archon";"High Templar";73
"Building";"Pylon";NA;73
"Unit";"Zealot";"Gateway";73
"Unit";"Zealot";"Gateway";75
"Unit";"Zealot";"Gateway";77
"Unit";"Zealot";"Gateway";79
"Upgrade";"SprayProtoss";NA;83
"Upgrade";"SprayProtoss";NA;83
"Upgrade";"WarpGateResearch";NA;83
"Upgrade";"SprayProtoss";NA;83
