"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;19;0
"Building";"Pylon";NA;20;0
"Building";"Nexus";NA;19;0
"Unit";"Stalker";"Gateway";21;2
"Building";"TwilightCouncil";NA;26;0
"Unit";"Zealot";"Gateway";28;2
"Building";"RoboticsFacility";NA;30;0
"Unit";"Zealot";"Gateway";37;2
"Building";"Gateway";NA;36;0
"Upgrade";"Charge";"TwilightCouncil";35;0
"Building";"Gateway";NA;36;0
"Building";"Gateway";NA;36;0
"Building";"Gateway";NA;36;0
"Building";"Gateway";NA;36;0
"Building";"Gateway";NA;37;0
"Building";"Gateway";NA;37;0
"Unit";"Zealot";"Gateway";43;2
"Unit";"Zealot";"Gateway";43;2
"Unit";"Zealot";"Gateway";43;2
"Unit";"Zealot";"Gateway";43;2
"Building";"Pylon";NA;51;0
"Building";"Pylon";NA;51;0
"Unit";"Zealot";"Gateway";53;2
"Unit";"Zealot";"Gateway";53;2
"Unit";"Zealot";"Gateway";53;2
"Unit";"Zealot";"Gateway";53;2
"Building";"Gateway";NA;41;0
"Unit";"Sentry";"Gateway";61;2
"Unit";"Zealot";"Gateway";66;2
"Building";"Pylon";NA;65;0
"Unit";"Zealot";"Gateway";69;2
"Unit";"Zealot";"Gateway";69;2
"Unit";"Zealot";"Gateway";69;2
"Building";"Pylon";NA;69;0
"Unit";"Zealot";"Gateway";77;2
"Unit";"Zealot";"Gateway";77;2
"Unit";"Zealot";"Gateway";77;2
"Unit";"Zealot";"Gateway";77;2
"Unit";"Zealot";"Gateway";77;2
"Unit";"Zealot";"Gateway";77;2
"Unit";"Zealot";"Gateway";77;2
"Unit";"Zealot";"Gateway";91;2
"Unit";"Zealot";"Gateway";91;2
"Unit";"Zealot";"Gateway";91;2
"Unit";"Zealot";"Gateway";91;2
"Unit";"Zealot";"Gateway";91;2
"Unit";"Zealot";"Gateway";91;2
"Unit";"Zealot";"Gateway";106;2
"Building";"TemplarArchive";NA;91;0
"Building";"Pylon";NA;108;0
"Unit";"Zealot";"Gateway";108;2
"Unit";"Zealot";"Gateway";108;2
"Unit";"Zealot";"Gateway";108;2
"Unit";"Zealot";"Gateway";108;2
"Building";"Pylon";NA;108;0
"Building";"Assimilator";NA;108;0
"Building";"Assimilator";NA;108;0
"Building";"HighTemplar";NA;116;0
"Building";"HighTemplar";NA;116;0
"Unit";"Zealot";"Gateway";116;2
"Unit";"Zealot";"Gateway";116;2
"Unit";"Zealot";"Gateway";116;2
"Unit";"Zealot";"Gateway";116;2
"Unit";"Zealot";"Gateway";116;2
"Unit";"Archon";"High Templar";128;0
"Building";"HighTemplar";NA;130;0
"Building";"HighTemplar";NA;130;0
"Unit";"Colossus";"Robotics Facility";108;6
"Unit";"Zealot";"Gateway";130;2
"Unit";"Zealot";"Gateway";130;2
"Unit";"Zealot";"Gateway";130;2
"Unit";"Zealot";"Gateway";131;2
"Unit";"Archon";"High Templar";131;0
"Unit";"Zealot";"Gateway";147;2
"Unit";"Zealot";"Gateway";147;2
"Unit";"Zealot";"Gateway";151;2
"Unit";"Zealot";"Gateway";151;2
"Unit";"Zealot";"Gateway";151;2
"Unit";"Zealot";"Gateway";151;2
