"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;21;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Nexus";NA;19;0
"Unit";"Adept";"Gateway";23;2
"Building";"TwilightCouncil";NA;23;0
"Unit";"Stalker";"Gateway";24;2
"Building";"Gateway";NA;28;0
"Unit";"Adept";"Gateway";33;2
"Building";"Pylon";NA;35;0
"Building";"Gateway";NA;32;0
"Building";"Pylon";NA;37;0
"Unit";"Adept";"Gateway";36;2
"Unit";"Adept";"Gateway";37;2
"Unit";"Adept";"Gateway";47;2
"Unit";"Adept";"Gateway";47;2
"Unit";"Adept";"Gateway";47;2
"Unit";"Sentry";"Gateway";55;2
"Unit";"Sentry";"Gateway";55;2
"Building";"Pylon";NA;55;0
"Building";"Pylon";NA;61;0
"Building";"RoboticsFacility";NA;55;0
"Unit";"Adept";"Gateway";64;2
"Unit";"Adept";"Gateway";64;2
"Unit";"Adept";"Gateway";64;2
"Building";"ShieldBattery";NA;62;0
"Building";"Nexus";NA;55;0
"Unit";"Adept";"Gateway";74;2
"Unit";"Adept";"Gateway";74;2
"Building";"RoboticsFacility";NA;62;0
"Building";"Assimilator";NA;72;0
"Building";"Assimilator";NA;72;0
"Building";"Pylon";NA;79;0
"Unit";"Immortal";"Robotics Facility";72;4
"Unit";"Sentry";"Gateway";82;2
"Unit";"Observer";"Robotics Facility";79;1
"Unit";"Adept";"Gateway";84;2
"Unit";"Adept";"Gateway";88;2
"Building";"Forge";NA;81;0
"Building";"Pylon";NA;97;0
"Unit";"Phoenix";"Stargate";98;2
"Upgrade";"Charge";"TwilightCouncil";80;0
"Unit";"Immortal";"Robotics Facility";95;4
"Unit";"Adept";"Gateway";113;2
"Building";"Assimilator";NA;103;0
"Building";"TemplarArchive";NA;99;0
"Building";"Assimilator";NA;103;0
