"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"Pylon";NA;20;0
"Building";"CyberneticsCore";NA;19;0
"Unit";"Adept";"Gateway";21;2
"Building";"Nexus";NA;19;0
"Unit";"Adept";"Gateway";24;2
"Building";"TwilightCouncil";NA;26;0
"Unit";"Adept";"Gateway";30;2
"Unit";"Adept";"Gateway";40;2
"Building";"Pylon";NA;49;0
"Building";"Pylon";NA;49;0
"Building";"Gateway";NA;42;0
"Building";"Gateway";NA;44;0
"Unit";"Adept";"Gateway";51;2
"Unit";"Adept";"Gateway";53;2
"Building";"Gateway";NA;47;0
"Building";"Pylon";NA;51;0
"Building";"Gateway";NA;48;0
"Building";"Pylon";NA;51;0
"Building";"Gateway";NA;48;0
"Building";"Pylon";NA;51;0
"Building";"Gateway";NA;50;0
"Unit";"Adept";"Gateway";55;2
"Unit";"Adept";"Gateway";55;2
"Unit";"Adept";"Gateway";55;2
"Unit";"Adept";"Gateway";55;2
"Building";"Pylon";NA;55;0
"Unit";"Adept";"Gateway";55;2
"Building";"Gateway";NA;51;0
"Unit";"Adept";"Gateway";65;2
"Unit";"Adept";"Gateway";65;2
"Unit";"Stalker";"Gateway";69;2
"Building";"Forge";NA;69;0
"Building";"Nexus";NA;55;0
"Unit";"Sentry";"Gateway";77;2
"Unit";"Sentry";"Gateway";77;2
"Unit";"Sentry";"Gateway";77;2
"Unit";"Sentry";"Gateway";77;2
"Unit";"Sentry";"Gateway";77;2
"Unit";"Stalker";"Gateway";91;2
"Unit";"Stalker";"Gateway";91;2
"Building";"RoboticsFacility";NA;74;0
"Building";"RoboticsFacility";NA;75;0
"Building";"Assimilator";NA;87;0
"Building";"Assimilator";NA;88;0
"Building";"Pylon";NA;97;0
"Unit";"Zealot";"Gateway";103;2
"Unit";"Zealot";"Gateway";103;2
"Unit";"Zealot";"Gateway";103;2
"Building";"Pylon";NA;101;0
"Unit";"Zealot";"Gateway";112;2
"Unit";"Immortal";"Robotics Facility";97;4
"Unit";"Immortal";"Robotics Facility";97;4
"Unit";"Zealot";"Gateway";122;2
"Unit";"Zealot";"Gateway";122;2
"Unit";"Zealot";"Gateway";122;2
"Unit";"Zealot";"Gateway";128;2
"Unit";"Zealot";"Gateway";128;2
"Building";"Pylon";NA;122;0
"Unit";"Immortal";"Robotics Facility";104;4
"Unit";"Immortal";"Robotics Facility";110;4
"Building";"ShieldBattery";NA;122;0
"Unit";"Zealot";"Gateway";140;2
"Unit";"Zealot";"Gateway";140;2
"Building";"Assimilator";NA;132;0
"Building";"Assimilator";NA;132;0
"Unit";"Zealot";"Gateway";144;2
"Unit";"Zealot";"Gateway";144;2
"Unit";"Zealot";"Gateway";144;2
"Unit";"Zealot";"Gateway";144;2
"Unit";"Zealot";"Gateway";144;2
"Unit";"Zealot";"Gateway";144;2
"Unit";"Observer";"Robotics Facility";140;1
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";110;0
"Unit";"Observer";"Robotics Facility";157;1
"Building";"Pylon";NA;157;0
"Building";"Pylon";NA;157;0
"Building";"Pylon";NA;157;0
"Building";"Pylon";NA;157;0
"Upgrade";"Charge";"TwilightCouncil";122;0
"Unit";"Observer";"Robotics Facility";157;1
"Unit";"Zealot";"Gateway";159;2
"Unit";"Zealot";"Gateway";159;2
"Unit";"Zealot";"Gateway";159;2
"Unit";"Zealot";"Gateway";159;2
"Unit";"Zealot";"Gateway";159;2
"Unit";"Zealot";"Gateway";159;2
"Unit";"Zealot";"Gateway";159;2
"Building";"TemplarArchive";NA;157;0
"Unit";"Sentry";"Gateway";173;2
"Unit";"Sentry";"Gateway";175;2
"Unit";"Sentry";"Gateway";175;2
"Unit";"Sentry";"Gateway";175;2
"Unit";"Immortal";"Robotics Facility";158;4
"Building";"HighTemplar";NA;175;0
"Building";"HighTemplar";NA;175;0
"Unit";"Zealot";"Gateway";175;2
"Unit";"Zealot";"Gateway";175;2
"Unit";"Immortal";"Robotics Facility";158;4
"Unit";"Archon";"High Templar";185;0
"Unit";"Zealot";"Gateway";194;2
"Unit";"Zealot";"Gateway";196;2
"Unit";"Zealot";"Gateway";196;2
"Unit";"Zealot";"Gateway";196;2
"Unit";"Zealot";"Gateway";196;2
"Unit";"Zealot";"Gateway";196;2
"Building";"Pylon";NA;196;0
"Building";"HighTemplar";NA;209;0
"Building";"HighTemplar";NA;209;0
"Building";"HighTemplar";NA;209;0
"Building";"HighTemplar";NA;209;0
"Unit";"Zealot";"Gateway";209;2
"Unit";"Archon";"High Templar";210;0
"Unit";"Archon";"High Templar";210;0
"Unit";"Zealot";"Gateway";212;2
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";158;0
"Unit";"Zealot";"Gateway";214;2
"Unit";"Zealot";"Gateway";214;2
"Unit";"Zealot";"Gateway";214;2
"Building";"Nexus";NA;185;0
"Unit";"Zealot";"Gateway";220;2
"Unit";"Zealot";"Gateway";220;2
"Unit";"Zealot";"Gateway";220;2
"Unit";"Zealot";"Gateway";220;2
"Unit";"Zealot";"Gateway";220;2
"Unit";"Zealot";"Gateway";230;2
"Unit";"Zealot";"Gateway";230;2
"Unit";"Zealot";"Gateway";230;2
