"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"Pylon";NA;20;0
"Building";"CyberneticsCore";NA;20;0
"Unit";"Adept";"Gateway";21;2
"Building";"Nexus";NA;20;0
"Unit";"Adept";"Gateway";26;2
"Building";"Stargate";NA;26;0
"Building";"Pylon";NA;36;0
"Unit";"Adept";"Gateway";35;2
"Unit";"Oracle";"Stargate";35;3
"Building";"Assimilator";NA;46;0
"Unit";"Phoenix";"Stargate";43;2
"Building";"Assimilator";NA;46;0
"Building";"Gateway";NA;38;0
"Building";"Gateway";NA;41;0
"Building";"Pylon";NA;54;0
"Building";"TwilightCouncil";NA;52;0
"Building";"Pylon";NA;54;0
"Unit";"Zealot";"Gateway";54;2
"Unit";"Zealot";"Gateway";54;2
"Unit";"Zealot";"Gateway";54;2
"Building";"RoboticsFacility";NA;48;0
"Building";"Gateway";NA;52;0
"Building";"TemplarArchive";NA;60;0
"Building";"Pylon";NA;62;0
"Unit";"Observer";"Robotics Facility";63;1
"Building";"HighTemplar";NA;63;0
"Building";"HighTemplar";NA;63;0
"Building";"HighTemplar";NA;63;0
"Building";"HighTemplar";NA;63;0
"Unit";"Archon";"High Templar";64;0
"Building";"Forge";NA;63;0
"Unit";"Archon";"High Templar";64;0
"Building";"Gateway";NA;63;0
"Building";"Pylon";NA;64;0
"Building";"Pylon";NA;64;0
"Building";"Gateway";NA;63;0
"Building";"Pylon";NA;64;0
"Building";"Nexus";NA;62;0
"Building";"Pylon";NA;64;0
"Building";"Assimilator";NA;69;0
"Building";"Assimilator";NA;70;0
"Building";"HighTemplar";NA;75;0
"Building";"HighTemplar";NA;75;0
"Building";"RoboticsFacility";NA;66;0
"Upgrade";"Charge";"TwilightCouncil";64;0
"Building";"Gateway";NA;66;0
"Building";"Gateway";NA;66;0
"Unit";"Immortal";"Robotics Facility";69;4
"Building";"HighTemplar";NA;83;0
"Unit";"Sentry";"Gateway";86;2
"Unit";"Zealot";"Gateway";86;2
"Unit";"Zealot";"Gateway";86;2
"Unit";"Zealot";"Gateway";86;2
"Unit";"Immortal";"Robotics Facility";75;4
"Building";"PhotonCannon";NA;83;0
"Unit";"Immortal";"Robotics Facility";78;4
"Building";"HighTemplar";NA;107;0
"Unit";"Zealot";"Gateway";107;2
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";75;0
"Unit";"Immortal";"Robotics Facility";100;4
"Building";"Pylon";NA;107;0
"Building";"Pylon";NA;109;0
"Building";"Pylon";NA;109;0
"Building";"Pylon";NA;109;0
"Building";"Pylon";NA;109;0
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Immortal";"Robotics Facility";104;4
"Unit";"Archon";"High Templar";127;0
"Unit";"Archon";"High Templar";131;0
