"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Assimilator";NA;22;0
"Unit";"Adept";"Gateway";22;2
"Building";"Nexus";NA;20;0
"Unit";"Adept";"Gateway";25;2
"Building";"Pylon";NA;30;0
"Building";"Stargate";NA;28;0
"Building";"Gateway";NA;29;0
"Unit";"Adept";"Gateway";36;2
"Unit";"Oracle";"Stargate";35;3
"Building";"Pylon";NA;40;0
"Building";"Pylon";NA;40;0
"Building";"Assimilator";NA;44;0
"Building";"Assimilator";NA;47;0
"Unit";"Phoenix";"Stargate";47;2
"Building";"TwilightCouncil";NA;47;0
"Building";"RoboticsFacility";NA;49;0
"Building";"Pylon";NA;56;0
"Unit";"Oracle";"Stargate";55;3
"Building";"TemplarArchive";NA;56;0
"Building";"Gateway";NA;56;0
"Building";"Gateway";NA;57;0
"Building";"Pylon";NA;61;0
"Building";"Pylon";NA;61;0
"Building";"Gateway";NA;58;0
"Building";"Gateway";NA;58;0
"Unit";"Observer";"Robotics Facility";61;1
"Building";"HighTemplar";NA;61;0
"Building";"HighTemplar";NA;61;0
"Building";"HighTemplar";NA;62;0
"Building";"HighTemplar";NA;62;0
"Building";"Pylon";NA;61;0
"Unit";"Archon";"High Templar";62;0
"Unit";"Archon";"High Templar";62;0
"Unit";"Zealot";"Gateway";64;2
"Unit";"Zealot";"Gateway";64;2
"Upgrade";"Charge";"TwilightCouncil";61;0
"Unit";"Zealot";"Gateway";70;2
"Unit";"Zealot";"Gateway";70;2
"Unit";"Zealot";"Gateway";74;2
"Unit";"Zealot";"Gateway";74;2
"Unit";"Immortal";"Robotics Facility";62;4
"Building";"HighTemplar";NA;85;0
"Building";"HighTemplar";NA;85;0
"Building";"Nexus";NA;61;0
"Unit";"Zealot";"Gateway";87;2
"Unit";"Zealot";"Gateway";87;2
"Unit";"Zealot";"Gateway";87;2
"Unit";"Zealot";"Gateway";87;2
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";101;2
"Unit";"Zealot";"Gateway";101;2
"Building";"Pylon";NA;98;0
"Building";"Assimilator";NA;98;0
"Building";"Assimilator";NA;98;0
"Building";"Pylon";NA;101;0
"Building";"HighTemplar";NA;112;0
"Building";"RoboticsFacility";NA;87;0
"Building";"ShieldBattery";NA;100;0
"Building";"ShieldBattery";NA;101;0
"Building";"Pylon";NA;112;0
"Building";"Pylon";NA;113;0
"Building";"HighTemplar";NA;117;0
"Building";"HighTemplar";NA;117;0
"Building";"HighTemplar";NA;117;0
"Building";"HighTemplar";NA;117;0
"Unit";"Zealot";"Gateway";117;2
"Unit";"Zealot";"Gateway";117;2
"Unit";"Archon";"High Templar";117;0
"Unit";"Archon";"High Templar";117;0
"Unit";"Immortal";"Robotics Facility";113;4
"Building";"Gateway";NA;112;0
"Building";"Pylon";NA;121;0
"Unit";"Immortal";"Robotics Facility";113;4
"Building";"Pylon";NA;121;0
"Building";"Gateway";NA;113;0
"Building";"HighTemplar";NA;129;0
"Building";"HighTemplar";NA;129;0
"Building";"Pylon";NA;125;0
"Unit";"Zealot";"Gateway";129;2
"Building";"Pylon";NA;125;0
"Unit";"Archon";"High Templar";129;0
"Building";"Forge";NA;121;0
"Unit";"Immortal";"Robotics Facility";121;4
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";137;2
"Unit";"Zealot";"Gateway";143;2
"Unit";"Immortal";"Robotics Facility";129;4
"Building";"Pylon";NA;135;0
"Unit";"Zealot";"Gateway";151;2
